Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Daytona Beach Resort 803,N/A,"{'latitude': 29.26553726196289, 'longitude': -81.02644348144531}",N/A,https://www.vacasa.com/unit/94856,N/A,33,N/A
Daytona Beach Resort 1404,N/A,"{'latitude': 29.265159606933594, 'longitude': -81.0263900756836}",N/A,https://www.vacasa.com/unit/94862,N/A,32,N/A
Oceanfront KING Suite* Indoor pool/hot tub/Elevator * Family Friendly,N/A,"{'latitude': 33.6819953918457, 'longitude': -78.88914489746094}",N/A,https://www.happyplacevacationhomerentals.com/sandy-beach-resort-orp5b67297x,N/A,11,N/A
The Heldrich Hotel & Conference Center,"Upscale property offering elegant rooms, an indoor pool, local art & 25,000 sq ft of meeting space.","{'latitude': 40.493000699999996, 'longitude': -74.4437811}",4,http://www.theheldrich.com/?&utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=GMB&utm_term=held,"[{'stars': 5, 'count': 701}, {'stars': 4, 'count': 461}, {'stars': 3, 'count': 173}, {'stars': 2, 'count': 67}, {'stars': 1, 'count': 108}]",1510,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 69, 'positive': 40, 'negative': 19, 'neutral': 10}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 130, 'positive': 34, 'negative': 81, 'neutral': 15}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 62, 'positive': 5, 'negative': 52, 'neutral': 5}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 53, 'positive': 26, 'negative': 22, 'neutral': 5}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 43, 'positive': 15, 'negative': 21, 'neutral': 7}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 154, 'positive': 134, 'negative': 9, 'neutral': 11}]"
Shangri-La Resort,"Upscale golf resort with 3 courses & a marina, plus a restaurant, condos with fireplaces & a pool.","{'latitude': 36.559933099999995, 'longitude': -94.8389626}",4,http://www.shangrilaok.com/,"[{'stars': 5, 'count': 740}, {'stars': 4, 'count': 152}, {'stars': 3, 'count': 49}, {'stars': 2, 'count': 22}, {'stars': 1, 'count': 41}]",1004,"[{'name': 'Property', 'description': 'Property', 'total_mentioned': 183, 'positive': 158, 'negative': 18, 'neutral': 7}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 160, 'positive': 136, 'negative': 12, 'neutral': 12}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 172, 'positive': 114, 'negative': 42, 'neutral': 16}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 26, 'positive': 9, 'negative': 16, 'neutral': 1}]"
1929 Hotel Seville,"Informal hotel in a 1920s building offering a casual bar & grill, plus free breakfast & a gym.","{'latitude': 36.2324194, 'longitude': -93.1074014}",3,https://www.1929hotelseville.com/,"[{'stars': 5, 'count': 323}, {'stars': 4, 'count': 116}, {'stars': 3, 'count': 61}, {'stars': 2, 'count': 15}, {'stars': 1, 'count': 19}]",534,"[{'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 20, 'positive': 12, 'negative': 3, 'neutral': 5}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 75, 'positive': 58, 'negative': 13, 'neutral': 4}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 50, 'positive': 34, 'negative': 11, 'neutral': 5}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 7, 'positive': 7, 'negative': 0, 'neutral': 0}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 66, 'positive': 36, 'negative': 23, 'neutral': 7}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 45, 'positive': 16, 'negative': 20, 'neutral': 9}]"
Hyatt Centric Delfina Santa Monica,"Modern lodging offering airy rooms, an outdoor pool & a laid-back restaurant with a terrace.","{'latitude': 34.0105023, 'longitude': -118.48559899999998}",4,https://www.hyatt.com/hyatt-centric/laxcm-hyatt-centric-delfina-santa-monica,"[{'stars': 5, 'count': 944}, {'stars': 4, 'count': 487}, {'stars': 3, 'count': 169}, {'stars': 2, 'count': 69}, {'stars': 1, 'count': 115}]",1784,"[{'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 129, 'positive': 80, 'negative': 35, 'neutral': 14}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 337, 'positive': 256, 'negative': 31, 'neutral': 50}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 57, 'positive': 41, 'negative': 12, 'neutral': 4}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 559, 'positive': 390, 'negative': 124, 'neutral': 45}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 117, 'positive': 78, 'negative': 25, 'neutral': 14}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 584, 'positive': 452, 'negative': 106, 'neutral': 26}]"
The Island Resort at Fort Walton Beach,"Lively modern hotel with 2 pools & a 5-story waterfall, plus breezy dining, bars & beach access.","{'latitude': 30.394646400000003, 'longitude': -86.5889607}",4,https://www.theislandfl.com/,"[{'stars': 5, 'count': 2268}, {'stars': 4, 'count': 897}, {'stars': 3, 'count': 456}, {'stars': 2, 'count': 258}, {'stars': 1, 'count': 418}]",4297,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 1008, 'positive': 599, 'negative': 337, 'neutral': 72}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 499, 'positive': 313, 'negative': 128, 'neutral': 58}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 1301, 'positive': 647, 'negative': 517, 'neutral': 137}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 873, 'positive': 584, 'negative': 191, 'neutral': 98}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 263, 'positive': 123, 'negative': 115, 'neutral': 25}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 864, 'positive': 640, 'negative': 128, 'neutral': 96}]"
Rosario Village,"Upscale resort with a spa, plus a marina, a cocktail bar & a refined restaurant in a mansion.","{'latitude': 48.6446417, 'longitude': -122.873425}",3,http://www.rosariovillage.com/,"[{'stars': 5, 'count': 685}, {'stars': 4, 'count': 239}, {'stars': 3, 'count': 65}, {'stars': 2, 'count': 25}, {'stars': 1, 'count': 37}]",1051,"[{'name': 'Property', 'description': 'Property', 'total_mentioned': 253, 'positive': 181, 'negative': 58, 'neutral': 14}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 208, 'positive': 158, 'negative': 38, 'neutral': 12}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 113, 'positive': 102, 'negative': 4, 'neutral': 7}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 14, 'positive': 5, 'negative': 7, 'neutral': 2}]"
Le Méridien Charlotte,"Trendy hotel offering contemporary quarters & dining, plus 2 pools, a gym & a hip rooftop bar.","{'latitude': 35.2173787, 'longitude': -80.8387142}",4,https://www.marriott.com/en-us/hotels/cltmd-le-meridien-charlotte/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 1059}, {'stars': 4, 'count': 490}, {'stars': 3, 'count': 211}, {'stars': 2, 'count': 137}, {'stars': 1, 'count': 175}]",2072,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 256, 'positive': 179, 'negative': 57, 'neutral': 20}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 145, 'positive': 37, 'negative': 91, 'neutral': 17}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 198, 'positive': 129, 'negative': 53, 'neutral': 16}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 22, 'positive': 14, 'negative': 2, 'neutral': 6}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 82, 'positive': 8, 'negative': 62, 'neutral': 12}, {'name': 'Business', 'description': 'Business', 'total_mentioned': 76, 'positive': 35, 'negative': 21, 'neutral': 20}]"
