Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Modern Hotel,"Hip lodging with sleek rooms, free continental breakfast & a buzzy bar with creative eats.","{'latitude': 43.6182842, 'longitude': -116.2104662}",3,http://www.themodernhotel.com/,"[{'stars': 5, 'count': 597}, {'stars': 4, 'count': 129}, {'stars': 3, 'count': 37}, {'stars': 2, 'count': 16}, {'stars': 1, 'count': 20}]",799,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 261, 'positive': 239, 'negative': 8, 'neutral': 14}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 227, 'positive': 205, 'negative': 10, 'neutral': 12}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 114, 'positive': 103, 'negative': 8, 'neutral': 3}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 82, 'positive': 68, 'negative': 5, 'neutral': 9}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 43, 'positive': 36, 'negative': 4, 'neutral': 3}, {'name': 'Atmosphere', 'description': 'Atmosphere', 'total_mentioned': 74, 'positive': 71, 'negative': 1, 'neutral': 2}]"
SpringHill Suites Boise ParkCenter,N/A,"{'latitude': 43.5946353, 'longitude': -116.17698139999999}",3,https://www.marriott.com/en-us/hotels/boidt-springhill-suites-boise-parkcenter/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 610}, {'stars': 4, 'count': 307}, {'stars': 3, 'count': 66}, {'stars': 2, 'count': 26}, {'stars': 1, 'count': 21}]",1030,"[{'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 159, 'positive': 126, 'negative': 18, 'neutral': 15}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 92, 'positive': 67, 'negative': 13, 'neutral': 12}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 233, 'positive': 199, 'negative': 24, 'neutral': 10}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 55, 'positive': 29, 'negative': 12, 'neutral': 14}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 64, 'positive': 17, 'negative': 34, 'neutral': 13}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 136, 'positive': 115, 'negative': 6, 'neutral': 15}]"
TownePlace Suites Boise Downtown/University,"Modest studios & suites in a casual hotel with an indoor pool & a gym, plus free breakfast & Wi-Fi.","{'latitude': 43.6042232, 'longitude': -116.21370180000001}",3,https://www.marriott.com/en-us/hotels/boits-towneplace-suites-boise-downtown-university/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 307}, {'stars': 4, 'count': 141}, {'stars': 3, 'count': 55}, {'stars': 2, 'count': 17}, {'stars': 1, 'count': 20}]",540,"[{'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 67, 'positive': 47, 'negative': 17, 'neutral': 3}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 52, 'positive': 34, 'negative': 11, 'neutral': 7}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 110, 'positive': 92, 'negative': 13, 'neutral': 5}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 30, 'positive': 20, 'negative': 8, 'neutral': 2}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 27, 'positive': 17, 'negative': 8, 'neutral': 2}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 56, 'positive': 20, 'negative': 30, 'neutral': 6}]"
TownePlace Suites Boise West/Meridian,"Relaxed all-suite hotel featuring free Wi-Fi & breakfast, plus an indoor pool & a fitness center.","{'latitude': 43.5921126, 'longitude': -116.3563047}",3,https://www.marriott.com/en-us/hotels/boibw-towneplace-suites-boise-west-meridian/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 341}, {'stars': 4, 'count': 138}, {'stars': 3, 'count': 47}, {'stars': 2, 'count': 17}, {'stars': 1, 'count': 23}]",566,"[{'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 86, 'positive': 62, 'negative': 17, 'neutral': 7}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 53, 'positive': 37, 'negative': 13, 'neutral': 3}, {'name': 'Spa', 'description': 'Spa', 'total_mentioned': 5, 'positive': 1, 'negative': 3, 'neutral': 1}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 6, 'positive': 2, 'negative': 3, 'neutral': 1}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 47, 'positive': 35, 'negative': 10, 'neutral': 2}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 10, 'positive': 4, 'negative': 5, 'neutral': 1}]"
Lotus By Hotel Inn,N/A,"{'latitude': 43.571497099999995, 'longitude': -116.21226689999999}",1,N/A,"[{'stars': 5, 'count': 97}, {'stars': 4, 'count': 65}, {'stars': 3, 'count': 85}, {'stars': 2, 'count': 63}, {'stars': 1, 'count': 354}]",664,"[{'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 222, 'positive': 19, 'negative': 194, 'neutral': 9}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 182, 'positive': 14, 'negative': 152, 'neutral': 16}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 117, 'positive': 6, 'negative': 105, 'neutral': 6}, {'name': 'Safety', 'description': 'Safety', 'total_mentioned': 44, 'positive': 5, 'negative': 38, 'neutral': 1}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 36, 'positive': 5, 'negative': 26, 'neutral': 5}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 20, 'positive': 1, 'negative': 18, 'neutral': 1}]"
Inn at 500 Capitol,Elegant rooms & suites in a polished property featuring a chic restaurant & a 24-hour gym.,"{'latitude': 43.611557999999995, 'longitude': -116.20508799999999}",3,https://www.innat500.com/?utm_source=google&utm_medium=organic&utm_campaign=business-listing,"[{'stars': 5, 'count': 485}, {'stars': 4, 'count': 95}, {'stars': 3, 'count': 21}, {'stars': 2, 'count': 12}, {'stars': 1, 'count': 26}]",639,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 23, 'positive': 18, 'negative': 3, 'neutral': 2}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 70, 'positive': 59, 'negative': 5, 'neutral': 6}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 64, 'positive': 55, 'negative': 4, 'neutral': 5}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 8, 'positive': 7, 'negative': 0, 'neutral': 1}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 51, 'positive': 22, 'negative': 21, 'neutral': 8}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 10, 'positive': 4, 'negative': 4, 'neutral': 2}]"
Courtyard Boise Downtown,"Modern hotel with a fitness center & an American restaurant, plus Wi-Fi & parking.","{'latitude': 43.607549899999995, 'longitude': -116.19143079999999}",3,https://www.marriott.com/en-us/hotels/boicy-courtyard-boise-downtown/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 360}, {'stars': 4, 'count': 164}, {'stars': 3, 'count': 51}, {'stars': 2, 'count': 9}, {'stars': 1, 'count': 17}]",601,"[{'name': 'Location', 'description': 'Location', 'total_mentioned': 134, 'positive': 119, 'negative': 4, 'neutral': 11}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 130, 'positive': 112, 'negative': 11, 'neutral': 7}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 31, 'positive': 24, 'negative': 4, 'neutral': 3}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 36, 'positive': 16, 'negative': 13, 'neutral': 7}, {'name': 'Gym', 'description': 'Gym', 'total_mentioned': 20, 'positive': 14, 'negative': 3, 'neutral': 3}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 31, 'positive': 21, 'negative': 4, 'neutral': 6}]"
The Grove Hotel,"Upmarket hotel with a spa, a fitness center & indoor pool, plus a restaurant & event space.","{'latitude': 43.6139805, 'longitude': -116.2037792}",3,http://www.grovehotelboise.com/?utm_source=local-directories&utm_medium=organic&utm_campaign=travelclick-localconnect,"[{'stars': 5, 'count': 1725}, {'stars': 4, 'count': 599}, {'stars': 3, 'count': 222}, {'stars': 2, 'count': 108}, {'stars': 1, 'count': 104}]",2758,"[{'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 71, 'positive': 49, 'negative': 16, 'neutral': 6}, {'name': 'Spa', 'description': 'Spa', 'total_mentioned': 64, 'positive': 43, 'negative': 15, 'neutral': 6}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 49, 'positive': 32, 'negative': 9, 'neutral': 8}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 209, 'positive': 161, 'negative': 28, 'neutral': 20}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 165, 'positive': 109, 'negative': 34, 'neutral': 22}, {'name': 'Gym', 'description': 'Gym', 'total_mentioned': 92, 'positive': 71, 'negative': 11, 'neutral': 10}]"
Residence Inn Boise West,"Informal all-suite hotel with free hot breakfast & an airport shuttle, plus an indoor pool & a gym.","{'latitude': 43.6097441, 'longitude': -116.27183660000001}",3,https://www.marriott.com/en-us/hotels/boiri-residence-inn-boise-west/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 282}, {'stars': 4, 'count': 143}, {'stars': 3, 'count': 54}, {'stars': 2, 'count': 22}, {'stars': 1, 'count': 27}]",528,"[{'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 82, 'positive': 59, 'negative': 15, 'neutral': 8}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 45, 'positive': 38, 'negative': 3, 'neutral': 4}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 34, 'positive': 16, 'negative': 13, 'neutral': 5}, {'name': 'Family', 'description': 'Family friendly', 'total_mentioned': 28, 'positive': 16, 'negative': 7, 'neutral': 5}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 97, 'positive': 84, 'negative': 10, 'neutral': 3}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 39, 'positive': 9, 'negative': 26, 'neutral': 4}]"
Hotel 43,"Polished rooms & suites in a modern hotel with steakhouse & coffee shop, plus a 24/7 gym.","{'latitude': 43.6155578, 'longitude': -116.2065346}",4,https://hotel43.com/?utm_source=local-directories&utm_medium=organic&utm_campaign=travelclick-localconnect,"[{'stars': 5, 'count': 441}, {'stars': 4, 'count': 133}, {'stars': 3, 'count': 43}, {'stars': 2, 'count': 21}, {'stars': 1, 'count': 31}]",669,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 9, 'positive': 7, 'negative': 2, 'neutral': 0}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 113, 'positive': 96, 'negative': 5, 'neutral': 12}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 84, 'positive': 56, 'negative': 21, 'neutral': 7}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 51, 'positive': 23, 'negative': 21, 'neutral': 7}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 98, 'positive': 79, 'negative': 18, 'neutral': 1}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 184, 'positive': 154, 'negative': 24, 'neutral': 6}]"
