Name,Description,Coordinates,Latitude,Longitude,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown,Address
Great Wolf Lodge Water Park | Arizona,"Lively, relaxed resort featuring an indoor water park, plus 6 restaurants & bars.","{'latitude': 33.5439943, 'longitude': -111.8905978}",33.5439943,-111.8905978,1,https://www.greatwolf.com/arizona?utm_source=google&utm_medium=organic&utm_campaign=gmb-arizona,"[{'stars': 5, 'count': 3201}, {'stars': 4, 'count': 866}, {'stars': 3, 'count': 338}, {'stars': 2, 'count': 222}, {'stars': 1, 'count': 382}]",5009,"[{'name': 'Family', 'description': 'Family friendly', 'total_mentioned': 1754, 'positive': 1361, 'negative': 236, 'neutral': 157}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 814, 'positive': 547, 'negative': 188, 'neutral': 79}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 490, 'positive': 356, 'negative': 102, 'neutral': 32}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 22, 'positive': 1, 'negative': 20, 'neutral': 1}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 116, 'positive': 26, 'negative': 67, 'neutral': 23}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 129, 'positive': 41, 'negative': 76, 'neutral': 12}]","Great Wolf Lodge, 7333, North Pima Road, Scottsdale, Maricopa County, Arizona, 85258, United States"
Days Inn & Suites by Wyndham Caseyville,,"{'latitude': 38.6129508, 'longitude': -90.04877139999999}",38.6129508,-90.04877139999999,2,https://www.wyndhamhotels.com/days-inn/caseyville-illinois/days-inn-and-suites-caseyville/overview?CID=LC:iqv0j1dklijly45:54534&iata=00093796,"[{'stars': 5, 'count': 85}, {'stars': 4, 'count': 58}, {'stars': 3, 'count': 63}, {'stars': 2, 'count': 64}, {'stars': 1, 'count': 302}]",572,"[{'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 200, 'positive': 14, 'negative': 181, 'neutral': 5}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 186, 'positive': 32, 'negative': 147, 'neutral': 7}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 130, 'positive': 11, 'negative': 110, 'neutral': 9}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 122, 'positive': 3, 'negative': 115, 'neutral': 4}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 17, 'positive': 2, 'negative': 14, 'neutral': 1}, {'name': 'Safety', 'description': 'Safety', 'total_mentioned': 28, 'positive': 1, 'negative': 27, 'neutral': 0}]","Days Inn, 2423, Old Country Inn Road, Caseyville, Saint Clair County, Illinois, 62232, United States"
TownePlace Suites Boulder Broomfield/Interlocken,"Relaxed all-suite hotel offering complimentary parking & breakfast, plus a fitness room.","{'latitude': 39.925810899999995, 'longitude': -105.1305503}",39.9258109,-105.1305503,2,https://www.marriott.com/en-us/hotels/dentb-towneplace-suites-boulder-broomfield-interlocken/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 301}, {'stars': 4, 'count': 193}, {'stars': 3, 'count': 85}, {'stars': 2, 'count': 48}, {'stars': 1, 'count': 73}]",700,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 15, 'positive': 9, 'negative': 6, 'neutral': 0}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 71, 'positive': 41, 'negative': 16, 'neutral': 14}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 9, 'positive': 1, 'negative': 7, 'neutral': 1}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 80, 'positive': 48, 'negative': 23, 'neutral': 9}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 21, 'positive': 5, 'negative': 15, 'neutral': 1}, {'name': 'Business', 'description': 'Business', 'total_mentioned': 25, 'positive': 17, 'negative': 5, 'neutral': 3}]","TownePlace Suites Boulder Broomfield/Interlocken, 480, Flatiron Boulevard, Flatiron Crossing, Broomfield, Colorado, 80021, United States"
Fairfield Inn & Suites Weatherford,"Bright, modern rooms with microwaves, plus an indoor/outdoor pool & complimentary hot breakfast.","{'latitude': 35.5272812, 'longitude': -98.69643490000001}",35.5272812,-98.6964349,2,https://www.marriott.com/en-us/hotels/ojafi-fairfield-inn-and-suites-weatherford/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 297}, {'stars': 4, 'count': 103}, {'stars': 3, 'count': 31}, {'stars': 2, 'count': 15}, {'stars': 1, 'count': 27}]",473,"[{'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 67, 'positive': 57, 'negative': 4, 'neutral': 6}, {'name': 'Business', 'description': 'Business', 'total_mentioned': 9, 'positive': 3, 'negative': 1, 'neutral': 5}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 39, 'positive': 34, 'negative': 2, 'neutral': 3}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 9, 'positive': 4, 'negative': 4, 'neutral': 1}, {'name': 'Family', 'description': 'Family friendly', 'total_mentioned': 10, 'positive': 5, 'negative': 3, 'neutral': 2}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 23, 'positive': 14, 'negative': 7, 'neutral': 2}]","Fairfield Inn & Suites, 201, North Nevada Street, Weatherford, Custer County, Oklahoma, 73096, United States"
Town & Country Inn,,"{'latitude': 38.731701, 'longitude': -89.91582799999999}",38.731701,-89.91582799999999,2,,"[{'stars': 5, 'count': 18}, {'stars': 4, 'count': 6}, {'stars': 3, 'count': 2}, {'stars': 2, 'count': 3}, {'stars': 1, 'count': 6}]",35,"[{'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 19, 'positive': 11, 'negative': 6, 'neutral': 2}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 18, 'positive': 13, 'negative': 3, 'neutral': 2}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 19, 'positive': 12, 'negative': 6, 'neutral': 1}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 12, 'positive': 3, 'negative': 7, 'neutral': 2}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 13, 'positive': 11, 'negative': 2, 'neutral': 0}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 9, 'positive': 3, 'negative': 4, 'neutral': 2}]","Cherry Lane, Troy, Madison County, Illinois, 62294, United States"
"Red Roof Inn St Louis - Troy, IL",Unassuming quarters in a casual budget hotel offering a heated indoor pool & a fitness center.,"{'latitude': 38.7347131, 'longitude': -89.91301349999999}",38.7347131,-89.91301349999999,2,https://www.redroof.com/property/il/troy/RRI565?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI565,"[{'stars': 5, 'count': 251}, {'stars': 4, 'count': 165}, {'stars': 3, 'count': 79}, {'stars': 2, 'count': 42}, {'stars': 1, 'count': 74}]",611,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 52, 'positive': 37, 'negative': 11, 'neutral': 4}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 46, 'positive': 31, 'negative': 9, 'neutral': 6}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 21, 'positive': 17, 'negative': 3, 'neutral': 1}, {'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 6, 'positive': 0, 'negative': 4, 'neutral': 2}, {'name': 'Business', 'description': 'Business', 'total_mentioned': 9, 'positive': 6, 'negative': 2, 'neutral': 1}, {'name': 'Safety', 'description': 'Safety', 'total_mentioned': 5, 'positive': 3, 'negative': 1, 'neutral': 1}]","Red Roof Inn St Louis - Troy, IL, 2030, Formosa Road, Troy, Madison County, Illinois, 62294, United States"
Boardwalk Hotel Charlee Beach Hotel & Beach House rentals,Relaxed rooms & suites with free Wi-Fi in a beachfront hotel offering a sundeck with ocean views.,"{'latitude': 39.9449979, 'longitude': -74.0700037}",39.9449979,-74.0700037,2,http://www.boardwalkseaport.com/,"[{'stars': 5, 'count': 146}, {'stars': 4, 'count': 71}, {'stars': 3, 'count': 57}, {'stars': 2, 'count': 34}, {'stars': 1, 'count': 120}]",428,"[{'name': 'Property', 'description': 'Property', 'total_mentioned': 145, 'positive': 45, 'negative': 86, 'neutral': 14}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 76, 'positive': 6, 'negative': 67, 'neutral': 3}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 13, 'positive': 1, 'negative': 11, 'neutral': 1}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 22, 'positive': 5, 'negative': 13, 'neutral': 4}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 75, 'positive': 3, 'negative': 64, 'neutral': 8}, {'name': 'Business', 'description': 'Business', 'total_mentioned': 6, 'positive': 1, 'negative': 3, 'neutral': 2}]","Jersey Shore Cafe, Seaside Heights Boardwalk, Seaside Heights, Ocean County, New Jersey, 08751, United States"
Inn of the Dove at Bensalem-Jacuzzi & Fireplace Suites,"All-suites hotel featuring themed, romantic quarters with whirlpool tubs, fireplaces & kitchenettes.","{'latitude': 40.127098, 'longitude': -74.96726509999999}",40.127098,-74.96726509999999,2,https://www.dovesuites.com/,"[{'stars': 5, 'count': 593}, {'stars': 4, 'count': 222}, {'stars': 3, 'count': 87}, {'stars': 2, 'count': 49}, {'stars': 1, 'count': 143}]",1094,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 112, 'positive': 88, 'negative': 13, 'neutral': 11}, {'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 110, 'positive': 60, 'negative': 42, 'neutral': 8}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 28, 'positive': 14, 'negative': 6, 'neutral': 8}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 6, 'positive': 2, 'negative': 4, 'neutral': 0}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 10, 'positive': 2, 'negative': 6, 'neutral': 2}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 24, 'positive': 7, 'negative': 10, 'neutral': 7}]","3995, Old Street Road, Nottingham, Bensalem Township, Bucks County, Pennsylvania, 19020, United States"
Elk Forge Bed & Breakfast Inn,"Regal rooms & suites in a stately B&B offering a spa, a hot tub & a putting green, plus a tea room.","{'latitude': 39.6578747, 'longitude': -75.823439}",39.6578747,-75.823439,2,http://www.elkforge.com/,"[{'stars': 5, 'count': 150}, {'stars': 4, 'count': 41}, {'stars': 3, 'count': 15}, {'stars': 2, 'count': 15}, {'stars': 1, 'count': 20}]",241,"[{'name': 'Property', 'description': 'Property', 'total_mentioned': 110, 'positive': 82, 'negative': 20, 'neutral': 8}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 90, 'positive': 64, 'negative': 19, 'neutral': 7}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 70, 'positive': 51, 'negative': 13, 'neutral': 6}]","Elk Forge Bed & Breakfast Inn, 807, Elk Mills Road, Elk Mills, Cecil County, Maryland, 21920, United States"
Tudor Court Hotel,"No-frills rooms with Wi-Fi in an unfussy hotel, plus free breakfast, a bar & a game room.","{'latitude': 51.613470899999996, 'longitude': -3.9546453}",51.6134709,-3.9546453,2,,"[{'stars': 5, 'count': 40}, {'stars': 4, 'count': 30}, {'stars': 3, 'count': 30}, {'stars': 2, 'count': 15}, {'stars': 1, 'count': 18}]",133,"[{'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 13, 'positive': 11, 'negative': 0, 'neutral': 2}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 17, 'positive': 3, 'negative': 13, 'neutral': 1}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 14, 'positive': 2, 'negative': 10, 'neutral': 2}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 28, 'positive': 19, 'negative': 4, 'neutral': 5}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 17, 'positive': 14, 'negative': 1, 'neutral': 2}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 7, 'positive': 2, 'negative': 1, 'neutral': 4}]","Tudor Court Hotel, 300-306, Oystermouth Road, Mount Pleasant, Castle, Swansea, Cymru / Wales, SA1 3UJ, United Kingdom"
