Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
The Sea Ranch Resort,"Oceanfront hotel with homey quarters, plus an indoor pool, yoga classes & a restaurant.","{'latitude': 36.0341105, 'longitude': -75.6677349}",2,http://www.searanchresort.com/,"[{'stars': 5, 'count': 653}, {'stars': 4, 'count': 326}, {'stars': 3, 'count': 127}, {'stars': 2, 'count': 64}, {'stars': 1, 'count': 61}]",1231,"[{'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 120, 'positive': 97, 'negative': 13, 'neutral': 10}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 32, 'positive': 22, 'negative': 8, 'neutral': 2}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 51, 'positive': 8, 'negative': 37, 'neutral': 6}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 86, 'positive': 73, 'negative': 7, 'neutral': 6}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 45, 'positive': 32, 'negative': 10, 'neutral': 3}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 337, 'positive': 258, 'negative': 64, 'neutral': 15}]"
Luxury Hot Tub Suite in Downtown Berlin #305,N/A,"{'latitude': 40.56108856201172, 'longitude': -81.79478454589844}",N/A,https://www.theatleesuites.com/listings/190609?googleVR=1,N/A,40,N/A
Boardwalk Hotel Charlee Beach Hotel & Beach House rentals,Relaxed rooms & suites with free Wi-Fi in a beachfront hotel offering a sundeck with ocean views.,"{'latitude': 39.9449979, 'longitude': -74.0700037}",2,http://www.boardwalkseaport.com/,"[{'stars': 5, 'count': 146}, {'stars': 4, 'count': 71}, {'stars': 3, 'count': 57}, {'stars': 2, 'count': 34}, {'stars': 1, 'count': 120}]",428,"[{'name': 'Property', 'description': 'Property', 'total_mentioned': 145, 'positive': 45, 'negative': 86, 'neutral': 14}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 76, 'positive': 6, 'negative': 67, 'neutral': 3}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 13, 'positive': 1, 'negative': 11, 'neutral': 1}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 22, 'positive': 5, 'negative': 13, 'neutral': 4}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 75, 'positive': 3, 'negative': 64, 'neutral': 8}, {'name': 'Business', 'description': 'Business', 'total_mentioned': 6, 'positive': 1, 'negative': 3, 'neutral': 2}]"
The Woodlands Inn and Resort,"Hotel on creekside with conference rooms, plus a pool & hot tub as well as restaurants & nightclub.","{'latitude': 41.254509000000006, 'longitude': -75.82453699999999}",3,http://stayinthewoods.com/,"[{'stars': 5, 'count': 1406}, {'stars': 4, 'count': 599}, {'stars': 3, 'count': 251}, {'stars': 2, 'count': 80}, {'stars': 1, 'count': 128}]",2464,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 429, 'positive': 327, 'negative': 76, 'neutral': 26}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 511, 'positive': 362, 'negative': 109, 'neutral': 40}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 264, 'positive': 199, 'negative': 36, 'neutral': 29}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 12, 'positive': 1, 'negative': 10, 'neutral': 1}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 18, 'positive': 2, 'negative': 12, 'neutral': 4}, {'name': 'Safety', 'description': 'Safety', 'total_mentioned': 28, 'positive': 6, 'negative': 21, 'neutral': 1}]"
Somerset Lakeside Resort,"Refined accommodations in a casual lakefront resort offering a hot tub, event space & nightly fires.","{'latitude': 44.962824, 'longitude': -78.0052469}",3,http://somersetlakesideresort.ca/,"[{'stars': 5, 'count': 131}, {'stars': 4, 'count': 32}, {'stars': 3, 'count': 7}, {'stars': 2, 'count': 4}, {'stars': 1, 'count': 9}]",183,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 64, 'positive': 56, 'negative': 6, 'neutral': 2}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 62, 'positive': 57, 'negative': 4, 'neutral': 1}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 37, 'positive': 36, 'negative': 1, 'neutral': 0}]"
The Farrington Inn,"Simple rooms & suites, some with kitchenettes, in an unpretentious hotel with free Wi-Fi & parking.","{'latitude': 42.354261799999996, 'longitude': -71.13088789999999}",2,http://www.farringtoninn.com/,"[{'stars': 5, 'count': 210}, {'stars': 4, 'count': 152}, {'stars': 3, 'count': 120}, {'stars': 2, 'count': 100}, {'stars': 1, 'count': 177}]",759,"[{'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 147, 'positive': 24, 'negative': 101, 'neutral': 22}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 165, 'positive': 45, 'negative': 106, 'neutral': 14}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 126, 'positive': 23, 'negative': 84, 'neutral': 19}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 161, 'positive': 107, 'negative': 44, 'neutral': 10}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 233, 'positive': 90, 'negative': 119, 'neutral': 24}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 107, 'positive': 76, 'negative': 18, 'neutral': 13}]"
The Heldrich Hotel & Conference Center,"Upscale property offering elegant rooms, an indoor pool, local art & 25,000 sq ft of meeting space.","{'latitude': 40.493000699999996, 'longitude': -74.4437811}",4,http://www.theheldrich.com/?&utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=GMB&utm_term=held,"[{'stars': 5, 'count': 701}, {'stars': 4, 'count': 461}, {'stars': 3, 'count': 173}, {'stars': 2, 'count': 67}, {'stars': 1, 'count': 108}]",1510,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 69, 'positive': 40, 'negative': 19, 'neutral': 10}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 130, 'positive': 34, 'negative': 81, 'neutral': 15}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 62, 'positive': 5, 'negative': 52, 'neutral': 5}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 53, 'positive': 26, 'negative': 22, 'neutral': 5}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 43, 'positive': 15, 'negative': 21, 'neutral': 7}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 154, 'positive': 134, 'negative': 9, 'neutral': 11}]"
The Inn Starlight Lake & Restaurant,"Lakeside inn dating back to 1909 with cozy rooms, suites & cottage lodging, plus a restaurant & bar.","{'latitude': 41.9072269, 'longitude': -75.335509}",3,http://www.innatstarlightlake.com/,"[{'stars': 5, 'count': 116}, {'stars': 4, 'count': 31}, {'stars': 3, 'count': 7}, {'stars': 2, 'count': 7}, {'stars': 1, 'count': 24}]",185,"[{'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 48, 'positive': 35, 'negative': 10, 'neutral': 3}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 21, 'positive': 9, 'negative': 10, 'neutral': 2}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 13, 'positive': 2, 'negative': 9, 'neutral': 2}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 10, 'positive': 7, 'negative': 0, 'neutral': 3}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 36, 'positive': 29, 'negative': 5, 'neutral': 2}, {'name': 'Family', 'description': 'Family friendly', 'total_mentioned': 20, 'positive': 13, 'negative': 5, 'neutral': 2}]"
Kalahari Resorts & Convention Center - Poconos,"Sprawling African-themed resort offering an indoor water park, a spa & a virtual reality game area.","{'latitude': 41.0990419, 'longitude': -75.39369649999999}",3,https://www.kalahariresorts.com/pennsylvania/,"[{'stars': 5, 'count': 13230}, {'stars': 4, 'count': 4552}, {'stars': 3, 'count': 1357}, {'stars': 2, 'count': 526}, {'stars': 1, 'count': 878}]",20543,"[{'name': 'Family', 'description': 'Family friendly', 'total_mentioned': 3971, 'positive': 3247, 'negative': 427, 'neutral': 297}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 2965, 'positive': 2234, 'negative': 495, 'neutral': 236}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 2252, 'positive': 1654, 'negative': 375, 'neutral': 223}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 69, 'positive': 12, 'negative': 47, 'neutral': 10}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 277, 'positive': 74, 'negative': 148, 'neutral': 55}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 568, 'positive': 146, 'negative': 342, 'neutral': 80}]"
Ocean Casino Resort,"Chic rooms & suites in an upmarket oceanfront hotel with a casino, 2 nightclubs & 10 restaurants.","{'latitude': 39.362815, 'longitude': -74.41577269999999}",5,https://www.theoceanac.com/?utm_source=google&utm_medium=listing&utm_campaign=ocean+casino+resort,"[{'stars': 5, 'count': 15746}, {'stars': 4, 'count': 4552}, {'stars': 3, 'count': 1421}, {'stars': 2, 'count': 685}, {'stars': 1, 'count': 1275}]",23679,"[{'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 3827, 'positive': 2812, 'negative': 627, 'neutral': 388}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 1067, 'positive': 694, 'negative': 258, 'neutral': 115}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 4638, 'positive': 3577, 'negative': 800, 'neutral': 261}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 1145, 'positive': 791, 'negative': 256, 'neutral': 98}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 2706, 'positive': 1647, 'negative': 917, 'neutral': 142}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 2095, 'positive': 1500, 'negative': 429, 'neutral': 166}]"
