Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
St. Louis: The Cozy Corner-2BR unit,N/A,"{'latitude': 38.595455169677734, 'longitude': -90.2294921875}",N/A,N/A,N/A,1,N/A
Chic 2BR/2BTH Home * Historic Soulard/Benton Park,N/A,"{'latitude': 38.603389739990234, 'longitude': -90.21572875976562}",N/A,https://direct.huestaytonight.com/property/chic-2br2bth-home-historic-soulardbenton-park,N/A,18,N/A
Home 4/ King Beds - Large Garage by StayStLouis,N/A,"{'latitude': 38.60049057006836, 'longitude': -90.23067474365234}",N/A,N/A,N/A,6,N/A
King Beds\/Charm in Historic STL by StayStlouis,N/A,"{'latitude': 38.60631561279297, 'longitude': -90.21485137939453}",N/A,N/A,N/A,N/A,N/A
Luxury Apt w/ Spectrum Mood Lighting - Historic Cherokee Street Antique Row,N/A,"{'latitude': 38.59297561645508, 'longitude': -90.22404479980469}",N/A,N/A,N/A,86,N/A
Condo in Soulard,N/A,"{'latitude': 38.59821319580078, 'longitude': -90.21502685546875}",N/A,N/A,N/A,71,N/A
Soulard|Completely new home|Walkability,N/A,"{'latitude': 38.60368728637695, 'longitude': -90.2186050415039}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D75587273%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
House in Soulard with Parking,N/A,"{'latitude': 38.593597412109375, 'longitude': -90.21487426757812}",N/A,N/A,N/A,4,N/A
Steelyard Apartment,N/A,"{'latitude': 38.602298736572266, 'longitude': -90.2073974609375}",N/A,https://www.super.com/travel/hotels/jKVAJzvl?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
Pet Friendly First Floor 2 Bedroom Apartment,N/A,"{'latitude': 38.60564041137695, 'longitude': -90.2177963256836}",N/A,https://www.bluepillow.com/search?p_id=589dfe2a7c00cb10c8dad881&dest=bpex&cat=House&accomodationids=6233aad64c4d8d9b9b7ebbb6,N/A,N/A,N/A
Vintage Glam *awesome location*,N/A,"{'latitude': 38.597496032714844, 'longitude': -90.21846008300781}",N/A,https://jandjdesignteam.hospitable.rentals/property/vintage-glam-awesome-location,N/A,7,N/A
Pet Friendly Victor,N/A,"{'latitude': 38.60402297973633, 'longitude': -90.21568298339844}",N/A,https://www.bringfido.com/lodging/1758256?aid=googlerentals-website,N/A,N/A,N/A
Spacious 2Bed House- Monthly Traveler's Welcome!,N/A,"{'latitude': 38.6024284362793, 'longitude': -90.23600769042969}",N/A,https://www.us.despegar.com/hotels/h-5723903,N/A,N/A,N/A
The Doxie - Townhouse in Historic Soulard,N/A,"{'latitude': 38.60868453979492, 'longitude': -90.200439453125}",N/A,N/A,N/A,7,N/A
Steelyard - Modern Soulard Apts With Pool By Zencity,N/A,"{'latitude': 38.60219955444336, 'longitude': -90.20659637451172}",N/A,https://www.super.com/travel/hotels/Gv04EJgl?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
The Soulard Lodge | The Mountains Can Wait,N/A,"{'latitude': 38.60646057128906, 'longitude': -90.20442199707031}",N/A,https://www.bluepillow.com/search?p_id=589dfe2a7c00cb10c8dad881&dest=bpex&cat=Apartment&accomodationids=65cb84503e6d928972f86998,N/A,N/A,N/A
Historic 2-bedrm/2-bth in the heart of Soulard,N/A,"{'latitude': 38.60784149169922, 'longitude': -90.20639038085938}",N/A,N/A,N/A,16,N/A
Pink Posh Place - a girls getaway + bachelorettes!,N/A,"{'latitude': 38.60880661010742, 'longitude': -90.20458984375}",N/A,https://jandjdesignteam.hospitable.rentals/property/pink-posh-place-prime-location,N/A,36,N/A
