Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Private Bluff Top Cottage above the Mississippi River,N/A,"{'latitude': 38.93743133544922, 'longitude': -90.27804565429688}",N/A,N/A,N/A,205,N/A
Backyard Seclusion Cottage,N/A,"{'latitude': 38.895816802978516, 'longitude': -90.19334411621094}",N/A,N/A,N/A,19,N/A
Charming 2-bedroom Brick Ranch house wooded lot with WiFi  in terrific Godfrey,N/A,"{'latitude': 38.92262649536133, 'longitude': -90.20040130615234}",N/A,https://www.vrbo.com/4178995?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Elm Street Escape- Easy Access to Alton  STL,N/A,"{'latitude': 38.91246032714844, 'longitude': -90.1781234741211}",N/A,N/A,N/A,17,N/A
'Hidden Paradise' on 5 Acres w/ Hot Tub & Deck!,N/A,"{'latitude': 38.80583572387695, 'longitude': -90.25801849365234}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3281263&lc=google,N/A,133,N/A
"Farmhouse Cottage,  Alton Illinois, come enjoy  ""Historical Culture""",N/A,"{'latitude': 38.923789978027344, 'longitude': -90.20191955566406}",N/A,https://www.bluepillow.com/search?p_id=5c278605b838cd18605540d9&dest=bpex&cat=Apartment&accomodationids=6233b1b24c4d8d9b9b829ecf,N/A,N/A,N/A
Large Home - Tiki Room and Tub Open All Year,N/A,"{'latitude': 38.818843841552734, 'longitude': -90.25631713867188}",N/A,https://kenneth-miller.lodgify.com/listing/en/557641,N/A,N/A,N/A
Best location near Saint Louis Downtown & Airport - Villa,N/A,"{'latitude': 38.754188537597656, 'longitude': -90.28759765625}",N/A,https://whimstay.com/detail/Best-location-near-Saint-Louis-Downtown-Airport-Villa/587550?isgoogle=true,N/A,N/A,N/A
"Cozy 3-bedroom cottage style house in charming Alton, Illinois",N/A,"{'latitude': 38.89441680908203, 'longitude': -90.14881896972656}",N/A,https://www.vrbo.com/4099664?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,4,N/A
"Grafton Getaway @ Overlook Lodge - an 8,000 sq foot home on 33 acres  sleeps 35",N/A,"{'latitude': 38.94453048706055, 'longitude': -90.30555725097656}",N/A,https://www.bluepillow.com/search?p_id=5c278605b838cd18605540d9&dest=bpvr&cat=House&accomodationids=65cc5dc6d1633aac917c658c,N/A,N/A,N/A
La Grange at Suite Jane - private studio barn loft apartment: a bohemian getaway,N/A,"{'latitude': 38.95484924316406, 'longitude': -90.35559844970703}",N/A,https://www.us.despegar.com/hotels/h-5861218,N/A,N/A,N/A
Secluded Florissant Home w/ Private Hot Tub!,N/A,"{'latitude': 38.84621810913086, 'longitude': -90.25729370117188}",N/A,https://www.bluepillow.com/search?p_id=589dfd367c00cb10c8dacbb3&dest=bpex&cat=House&accomodationids=6233ada04c4d8d9b9b80458a,N/A,N/A,N/A
Beautiful 2-bedroom house in awesome Ferguson .Mo with WiFi,N/A,"{'latitude': 38.74283218383789, 'longitude': -90.28961944580078}",N/A,https://www.vrbo.com/4173508?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,1,N/A
Cozy Renovated Bungalow Perfect for Families,N/A,"{'latitude': 38.812294006347656, 'longitude': -90.2376480102539}",N/A,N/A,N/A,10,N/A
Clean 3 bedroom home in Wood River,N/A,"{'latitude': 38.86216735839844, 'longitude': -90.08452606201172}",N/A,N/A,N/A,N/A,N/A
Charming Edwardsville Home: Walk to Downtown!,N/A,"{'latitude': 38.812015533447266, 'longitude': -89.95022583007812}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3601155&lc=google,N/A,21,N/A
"Retreat Home, Swimming Pool, jacuzzi, sauna, Game room, Basketball Court .",N/A,"{'latitude': 38.759910583496094, 'longitude': -90.27938842773438}",N/A,N/A,N/A,1,N/A
Charming Country Cottage minutes from amenities,N/A,"{'latitude': 38.801841735839844, 'longitude': -90.25430297851562}",N/A,https://www.bluepillow.com/search?p_id=589dfd367c00cb10c8dacbb3&dest=bpvr&cat=Apartment&accomodationids=65cbaa2ad1633aac917756de,N/A,N/A,N/A
