Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Bright Plainfield Home ~ 14 Mi to Indianapolis!,N/A,"{'latitude': 39.72450256347656, 'longitude': -86.39632415771484}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3766849&lc=google,N/A,2,N/A
Cozy Home Plainfield Indy,N/A,"{'latitude': 39.731773376464844, 'longitude': -86.35393524169922}",N/A,https://stay.micgamag.com/listings/312942?googleVR=1,N/A,3,N/A
2690 ft² House ∙ 3 bedrooms ∙ 7 guests,N/A,"{'latitude': 39.7244987487793, 'longitude': -86.39631652832031}",N/A,N/A,N/A,N/A,N/A
Chapel Hill Charmer- Close to Interstates,N/A,"{'latitude': 39.78662109375, 'longitude': -86.31864166259766}",N/A,N/A,N/A,14,N/A
Ferienhaus ∙ 3 Schlafzimmer ∙ 5 Gäste,N/A,"{'latitude': 39.77827072143555, 'longitude': -86.33202362060547}",N/A,https://www.e-domizil.at/rental/644fbd9d8ad79e8e?adword=edom_gvf/DE/s/ct=s/n-a/n-a/5460aeac1d0f1&utm_source=gvf,N/A,N/A,N/A
Indianapolis Rental Home w/ Gym: Near Speedway!,N/A,"{'latitude': 39.790401458740234, 'longitude': -86.28253173828125}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3501669&lc=google,N/A,2,N/A
"Two-bedroom Guesthouse, Avon, IN.,",N/A,"{'latitude': 39.79351043701172, 'longitude': -86.34864807128906}",N/A,https://www.bluepillow.com/search?p_id=589dfeb57c00cb10c8dae08c&dest=bpvr&cat=House&accomodationids=64906f3aba24250813c21f5c,N/A,N/A,N/A
Landing at The Landing - 1 Bedroom in Clermont,N/A,"{'latitude': 39.80261993408203, 'longitude': -86.34872436523438}",N/A,https://www.vrbo.com/4196898?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Lake Living Suite near Speedway,N/A,"{'latitude': 39.81304931640625, 'longitude': -86.2992172241211}",N/A,https://www.sas-propertymanagement.com/listings/280907?googleVR=1,N/A,20,N/A
Luxurious and Spacious Rental in Avon for an Amazing Vacation in Indiana,N/A,"{'latitude': 39.72714614868164, 'longitude': -86.4191665649414}",N/A,https://glampinghub.com/unitedstatesofamerica/midwest/indiana/avon/vacation-rental-indiana/,N/A,N/A,N/A
Montrose Farms Alpaca Ranch,N/A,"{'latitude': 39.81796646118164, 'longitude': -86.35497283935547}",N/A,N/A,N/A,20,N/A
Cottage on Walton,N/A,"{'latitude': 39.76203536987305, 'longitude': -86.28173065185547}",N/A,N/A,N/A,N/A,N/A
Plainfield Vacation Rental ~ 13 Mi to Indianapolis,N/A,"{'latitude': 39.72277069091797, 'longitude': -86.3790512084961}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3695672&lc=google,N/A,33,N/A
Cozy 1-bedroom apartment in amazing Danville with WiFi,N/A,"{'latitude': 39.77341842651367, 'longitude': -86.45272827148438}",N/A,https://www.us.despegar.com/hotels/h-6220851,N/A,N/A,N/A
Lake Living Speedway,N/A,"{'latitude': 39.8133544921875, 'longitude': -86.29988098144531}",N/A,N/A,N/A,1,N/A
Cozy Cartersburg Home about 14 Mi to Indianapolis,N/A,"{'latitude': 39.72710037231445, 'longitude': -86.38414764404297}",N/A,N/A,N/A,4,N/A
Landing at Eagle Chase - 2 Bedrooms in Eagle Creek,N/A,"{'latitude': 39.834720611572266, 'longitude': -86.28839111328125}",N/A,https://landing.holidayfuture.com/listings/225680?googleVR=1,N/A,N/A,N/A
Condo ∙ 2 bedrooms ∙ 7 guests,N/A,"{'latitude': 39.671661376953125, 'longitude': -86.36688232421875}",N/A,N/A,N/A,N/A,N/A
