Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
151 S 5th Ave,N/A,"{'latitude': 39.718414306640625, 'longitude': -86.08712768554688}",N/A,https://NatureStayGetaways.holidayfuture.com/listings/322562?googleVR=1,N/A,3,N/A
Dream Apartment near Whole Foods CozySuites,N/A,"{'latitude': 39.76746368408203, 'longitude': -86.14826202392578}",N/A,N/A,N/A,47,N/A
"King Bed, Free Parking & Laundry, Sleeps 6",N/A,"{'latitude': 39.730567932128906, 'longitude': -86.13774108886719}",N/A,https://direct.shelbyhomerentals.com/property/king-bed-free-parking-laundry-sleeps-6,N/A,157,N/A
"CozySuites 3BR Arsenal Heights, Indy 2",N/A,"{'latitude': 39.767826080322266, 'longitude': -86.13768768310547}",N/A,https://www.booking.com/hotel/us/cozysuites-3bd-arsenal-heights-indy-2.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-10213072_grp-0_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-10213072;utm_campaign=en,N/A,4,N/A
Cozy 2BR Home w/ Office Near Downtown Indy & Park,N/A,"{'latitude': 39.759613037109375, 'longitude': -86.08455657958984}",N/A,https://direct.shelbyhomerentals.com/property/charming-2br-in-chr-park-easy-access-to-downtown,N/A,66,N/A
CozySuites 3BR Arsenal Heights Indy,N/A,"{'latitude': 39.76784896850586, 'longitude': -86.13770294189453}",N/A,N/A,N/A,4,N/A
Historic Fountain Sq in DT Indy,N/A,"{'latitude': 39.753719329833984, 'longitude': -86.12567138671875}",N/A,https://boesingandlagerealty.guestybookings.com/properties/6631bd400d720600108801a6,N/A,1,N/A
Downtown Indianapolis Home ~ 3 Mi to Canal Walk!,N/A,"{'latitude': 39.75236129760742, 'longitude': -86.12702941894531}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3757571&lc=google,N/A,4,N/A
Luxury home in the heart of Indy,N/A,"{'latitude': 39.7453498840332, 'longitude': -86.14563751220703}",N/A,https://boesingandlagerealty.guestybookings.com/properties/65078ca802225d003e99f548,N/A,N/A,N/A
King Bed! 5 min to Fountain Square/Colts Stadium,N/A,"{'latitude': 39.761810302734375, 'longitude': -86.1319580078125}",N/A,N/A,N/A,13,N/A
Beech Grove Vacation Rental w/ Private Yard,N/A,"{'latitude': 39.7197265625, 'longitude': -86.09004974365234}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3506027&lc=google,N/A,N/A,N/A
Beech Grove Getaway - Stay for GenCon,N/A,"{'latitude': 39.696319580078125, 'longitude': -86.08683776855469}",N/A,https://www.bluepillow.com/search?p_id=589dfeb27c00cb10c8dae04c&dest=bpex&cat=House&accomodationids=65cb7fb53e6d928972f65618,N/A,N/A,N/A
Sanitized Newly Designed Super Chic Indy Home Near Fountain Square,N/A,"{'latitude': 39.755001068115234, 'longitude': -86.12560272216797}",N/A,https://www.super.com/travel/hotels/jB1kdR0l?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
Beautiful getaway!,N/A,"{'latitude': 39.746826171875, 'longitude': -86.14926147460938}",N/A,https://www.circlecitystays.com/listings/161062?googleVR=1,N/A,86,N/A
Ranch House 3 Bedrooms Near Lucas Oil,N/A,"{'latitude': 39.741817474365234, 'longitude': -86.14742279052734}",N/A,https://booking.ownerrez.com/request?brand=ora7ccddc978x&channel=GoogleVacationRentals&property=orp5b6234cx,N/A,8,N/A
Bohemian Dreams - Fountain Square Gem,N/A,"{'latitude': 39.755470275878906, 'longitude': -86.12920379638672}",N/A,https://greenchairproperties.guestybookings.com/properties/64809231de7f5e004bb5c64d,N/A,N/A,N/A
Funky & Private Apartment,N/A,"{'latitude': 39.7162971496582, 'longitude': -86.09954833984375}",N/A,https://www.us.despegar.com/hotels/h-6163382,N/A,N/A,N/A
Indy Retreat 5 Min Convention CenterPet-Friendly,N/A,"{'latitude': 39.74699783325195, 'longitude': -86.14351654052734}",N/A,https://www.nestifyspaces.com/listings/321656?googleVR=1,N/A,7,N/A
