Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Chapel Hill Charmer- Close to Interstates,N/A,"{'latitude': 39.78662109375, 'longitude': -86.31864166259766}",N/A,N/A,N/A,14,N/A
Ferienhaus ∙ 3 Schlafzimmer ∙ 5 Gäste,N/A,"{'latitude': 39.77827072143555, 'longitude': -86.33202362060547}",N/A,https://www.e-domizil.at/rental/644fbd9d8ad79e8e?adword=edom_gvf/DE/s/ct=s/n-a/n-a/5460aeac1d0f1&utm_source=gvf,N/A,N/A,N/A
Indianapolis Rental Home w/ Gym: Near Speedway!,N/A,"{'latitude': 39.790401458740234, 'longitude': -86.28253173828125}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3501669&lc=google,N/A,2,N/A
Landing at Union Green - 1 Bedroom in Downtown Brownsburg,N/A,"{'latitude': 39.84789276123047, 'longitude': -86.39579010009766}",N/A,https://landing.holidayfuture.com/listings/225380?googleVR=1,N/A,N/A,N/A
Historic Downtown Brownsburg Home w/Charm,N/A,"{'latitude': 39.84392166137695, 'longitude': -86.39909362792969}",N/A,N/A,N/A,N/A,N/A
Lake Living Speedway,N/A,"{'latitude': 39.8133544921875, 'longitude': -86.29988098144531}",N/A,N/A,N/A,1,N/A
Beautiful Spacious Home w Pool,N/A,"{'latitude': 39.82926940917969, 'longitude': -86.40278625488281}",N/A,https://www.bluepillow.com/search?p_id=589dfeb27c00cb10c8dae053&dest=bkng&cat=House&accomodationids=654cb2f23011da1e8b79759b,N/A,N/A,N/A
Lake Living Suite near Speedway,N/A,"{'latitude': 39.81304931640625, 'longitude': -86.2992172241211}",N/A,https://www.sas-propertymanagement.com/listings/280907?googleVR=1,N/A,20,N/A
Landing at The Landing - 2 Bedrooms in Clermont,N/A,"{'latitude': 39.80812072753906, 'longitude': -86.32218170166016}",N/A,N/A,N/A,2,N/A
Montrose Farms Alpaca Ranch,N/A,"{'latitude': 39.81796646118164, 'longitude': -86.35497283935547}",N/A,N/A,N/A,20,N/A
"Brownsburg, Indiana Historic Home- Close to Lucas Oil track, dining, shopping!",N/A,"{'latitude': 39.83964920043945, 'longitude': -86.38729858398438}",N/A,https://www.bluepillow.com/search?p_id=589dfeb27c00cb10c8dae053&dest=bpvr&cat=House&accomodationids=65cbacecd1633aac9178e9ce,N/A,N/A,N/A
"Historic Brownsburg Home- Close to parks, restaurants, and shops!",N/A,"{'latitude': 39.8477897644043, 'longitude': -86.40180206298828}",N/A,N/A,N/A,31,N/A
Landing at Eagle Chase - 2 Bedrooms in Eagle Creek,N/A,"{'latitude': 39.834720611572266, 'longitude': -86.28839111328125}",N/A,https://landing.holidayfuture.com/listings/225680?googleVR=1,N/A,N/A,N/A
20 mins to downtown Indianapolis! 3 bedroom home in Brownsburg new neighborhood.,N/A,"{'latitude': 39.84968566894531, 'longitude': -86.41444396972656}",N/A,https://www.vrbo.com/4209963?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Cozy Bungalow - Oversized Parking - Firepit - Mural - West Indy - Brownsburg,N/A,"{'latitude': 39.84321975708008, 'longitude': -86.32794952392578}",N/A,N/A,N/A,32,N/A
Cozy 1-bedroom apartment in amazing Danville with WiFi,N/A,"{'latitude': 39.77341842651367, 'longitude': -86.45272827148438}",N/A,https://www.us.despegar.com/hotels/h-6220851,N/A,N/A,N/A
Indianapolis Home w/ Patio & Community Pool!,N/A,"{'latitude': 39.8458137512207, 'longitude': -86.32848358154297}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3684697&lc=google,N/A,11,N/A
Renovated Brownsburg Retreat - 30mins from Indy,N/A,"{'latitude': 39.833431243896484, 'longitude': -86.38587951660156}",N/A,https://www.vrbo.com/4123693?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
