Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Family Home w/ Yard ~ 15 Mi to Downtown!,N/A,"{'latitude': 39.625938415527344, 'longitude': -86.31098937988281}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3426628&lc=google,N/A,13,N/A
Camby Home with 3 Living Areas and Community Pool!,N/A,"{'latitude': 39.635398864746094, 'longitude': -86.31716918945312}",N/A,N/A,N/A,N/A,N/A
Pet-Friendly Camby Home: 13 Mi to Indianapolis,N/A,"{'latitude': 39.642669677734375, 'longitude': -86.30789947509766}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3869871&lc=google,N/A,2,N/A
Cozy Home Plainfield Indy,N/A,"{'latitude': 39.731773376464844, 'longitude': -86.35393524169922}",N/A,https://stay.micgamag.com/listings/312942?googleVR=1,N/A,3,N/A
Bright Plainfield Home ~ 14 Mi to Indianapolis!,N/A,"{'latitude': 39.72450256347656, 'longitude': -86.39632415771484}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3766849&lc=google,N/A,2,N/A
2690 ft² House ∙ 3 bedrooms ∙ 7 guests,N/A,"{'latitude': 39.7244987487793, 'longitude': -86.39631652832031}",N/A,N/A,N/A,N/A,N/A
Camby Home w/ 3 Living Areas & Community Pool!,N/A,"{'latitude': 39.63283920288086, 'longitude': -86.31829833984375}",N/A,https://www.us.despegar.com/hotels/h-5288674,N/A,N/A,N/A
Charming 4-bedroom house with AC and WiFi in lovely Indianapolis,N/A,"{'latitude': 39.651126861572266, 'longitude': -86.31179809570312}",N/A,https://www.vrbo.com/4176252?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,1,N/A
King Size Bed Bungalow with a Gym in Indianapolis,N/A,"{'latitude': 39.68038558959961, 'longitude': -86.24994659423828}",N/A,N/A,N/A,14,N/A
Spacious Camby Home with Community Pool and Park!,N/A,"{'latitude': 39.62889862060547, 'longitude': -86.30667114257812}",N/A,N/A,N/A,N/A,N/A
LAKEHOUSE\/HOT TUB\/8 MILES TO DOWNTOWN\/ON 60 ACRES,N/A,"{'latitude': 39.66685104370117, 'longitude': -86.24756622314453}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D116420591%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Rubys Red Cabin Hot Tub Nature Horses Indy,N/A,"{'latitude': 39.66767120361328, 'longitude': -86.2469253540039}",N/A,https://NatureStayGetaways.holidayfuture.com/listings/228862?googleVR=1,N/A,134,N/A
Spacious and Comfortable Home,N/A,"{'latitude': 39.63774490356445, 'longitude': -86.3145523071289}",N/A,https://www.us.despegar.com/hotels/h-6336224,N/A,N/A,N/A
Plainfield Vacation Rental ~ 13 Mi to Indianapolis,N/A,"{'latitude': 39.72277069091797, 'longitude': -86.3790512084961}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3695672&lc=google,N/A,33,N/A
Cozy Cartersburg Home about 14 Mi to Indianapolis,N/A,"{'latitude': 39.72710037231445, 'longitude': -86.38414764404297}",N/A,N/A,N/A,4,N/A
Spanish Style 3-bedroom Home with Hot Tub,N/A,"{'latitude': 39.68571472167969, 'longitude': -86.25566101074219}",N/A,https://www.booking.com/hotel/us/spanish-style-3-bedroom-home-with-hot-tub.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-10694054_grp-2_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-10694054;utm_campaign=en,N/A,22,N/A
Condo ∙ 2 bedrooms ∙ 7 guests,N/A,"{'latitude': 39.671661376953125, 'longitude': -86.36688232421875}",N/A,N/A,N/A,N/A,N/A
Treehouse Hot tub on 60 acre farm near downtown,N/A,"{'latitude': 39.668006896972656, 'longitude': -86.24609375}",N/A,https://NatureStayGetaways.holidayfuture.com/listings/228864?googleVR=1,N/A,61,N/A
