Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Hidden Cabin,N/A,"{'latitude': 29.851985931396484, 'longitude': -98.19300079345703}",N/A,https://www.vacasa.com/unit/108119,N/A,30,N/A
"Cozy Colorado Cabin w/ Deck, Grill & River Access!",N/A,"{'latitude': 38.838741302490234, 'longitude': -106.13506317138672}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3090886&lc=google,N/A,76,N/A
Hummingbird Treehouse,N/A,"{'latitude': 29.91226577758789, 'longitude': -98.2632827758789}",N/A,N/A,N/A,12,N/A
Lakefront Holiday,N/A,"{'latitude': 45.304466247558594, 'longitude': -117.21570587158203}",N/A,https://www.vacasa.com/unit/67571,N/A,82,N/A
Luxurious Mountain Retreat!,N/A,"{'latitude': 34.24105453491211, 'longitude': -110.02567291259766}",N/A,https://www.villasatmeadowview.com/villa-3b-orp5b5f8dax,N/A,53,N/A
Unique Stay: Historic Home Along Blanco River,N/A,"{'latitude': 30.0909423828125, 'longitude': -98.3790054321289}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3197672&lc=google,N/A,24,N/A
The Farmhouse Cottage,N/A,"{'latitude': 42.503753662109375, 'longitude': -113.6661376953125}",N/A,https://www.vacasa.com/unit/108092,N/A,13,N/A
Beachfront A-Frame,N/A,"{'latitude': 28.9436092376709, 'longitude': -95.29209899902344}",N/A,https://booking.staybeachbox.com/listings/230882?googleVR=1,N/A,68,N/A
Slice of Paradise,N/A,"{'latitude': 37.14213180541992, 'longitude': -113.404296875}",N/A,N/A,N/A,17,N/A
Santa Cruz Home w/ Mountain Views!,N/A,"{'latitude': 35.99125671386719, 'longitude': -106.046630859375}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3377323&lc=google,N/A,24,N/A
Updated Lakefront Cabin w/ Deck & Boat Dock!,N/A,"{'latitude': 36.482879638671875, 'longitude': -94.98889923095703}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3251172&lc=google,N/A,35,N/A
Arbor House of Dripping Springs - Safari House,N/A,"{'latitude': 30.263221740722656, 'longitude': -98.18266296386719}",N/A,N/A,N/A,56,N/A
Villa Viva,N/A,"{'latitude': 33.62126159667969, 'longitude': -111.87268829345703}",N/A,https://www.redawning.com/rental-property/villa-viva-scottsdale,N/A,41,N/A
Casa Blanca D 602   Sandy Beach 2 bedroom,N/A,"{'latitude': 31.325199127197266, 'longitude': -113.5770034790039}",N/A,https://www.pisolinorentals.com/listings/112688?googleVR=1,N/A,40,N/A
Valley of the Sun,N/A,"{'latitude': 39.25299072265625, 'longitude': -106.08773803710938}",N/A,https://www.vacasa.com/unit/81028,N/A,45,N/A
"Adorable Beach A-Frame, 2 Decks & Water Views!",N/A,"{'latitude': 28.9661808013916, 'longitude': -95.26986694335938}",N/A,https://www.my979stay.com/properties/63b87d1e929912004189fbb6,N/A,6,N/A
Cozy Carriage House | Walk to UNC | + Free Bikes,N/A,"{'latitude': 40.41450881958008, 'longitude': -104.6934814453125}",N/A,N/A,N/A,113,N/A
Lookout Tower - Access to Pool!,N/A,"{'latitude': 44.33194351196289, 'longitude': -103.79679870605469}",N/A,https://www.vrbo.com/983349?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,6,N/A
