Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Franklin Tiny Cottage w Hot Tub!,N/A,"{'latitude': 39.48448181152344, 'longitude': -86.05024719238281}",N/A,https://www.circlecitystays.com/listings/144515?googleVR=1,N/A,131,N/A
"Cozy Studio Apartment just minutes from downtown Franklin, Indiana!",N/A,"{'latitude': 39.48147964477539, 'longitude': -86.05876922607422}",N/A,https://www.bluepillow.com/search?p_id=589dfeb47c00cb10c8dae06b&dest=bpvr&cat=Apartment&accomodationids=65cbaebbd1633aac917a0614,N/A,N/A,N/A
The Dragonfly- A Historic Gem COMPLETELY Restored!,N/A,"{'latitude': 39.486637115478516, 'longitude': -86.0558090209961}",N/A,N/A,N/A,16,N/A
Just a Stone's Throw,N/A,"{'latitude': 39.4807014465332, 'longitude': -86.05789947509766}",N/A,https://www.the198onjeff.com/listings/111111?googleVR=1,N/A,26,N/A
Peaceful Franklin Cottage ~ 1 Mi to Downtown!,N/A,"{'latitude': 39.46744155883789, 'longitude': -86.05844116210938}",N/A,https://www.us.despegar.com/hotels/h-5288889,N/A,N/A,N/A
Oak Haven 1827 Cabin Rental,N/A,"{'latitude': 39.468990325927734, 'longitude': -86.24008178710938}",N/A,https://www.oakhaven1827.com/listing/en/518004,N/A,N/A,N/A
Hot Tub-Downtown Franklin-Sleeps 7,N/A,"{'latitude': 39.47959899902344, 'longitude': -86.05941772460938}",N/A,N/A,N/A,10,N/A
"Beautiful, 200 year old Log home - Secluded, 30 Min. from Downtown",N/A,"{'latitude': 39.63460922241211, 'longitude': -85.96654510498047}",N/A,N/A,N/A,396,N/A
The Retreat - Private Pool-Spa-Firepit-Gameroom,N/A,"{'latitude': 39.62837600708008, 'longitude': -86.16574096679688}",N/A,https://elegantlivingnow.com/property/brixton/,N/A,93,N/A
The Dragonfly- A Historic Gem with HOT TUB,N/A,"{'latitude': 39.486629486083984, 'longitude': -86.0558090209961}",N/A,https://www.bluepillow.com/search?p_id=589dfeb47c00cb10c8dae06b&dest=bpex&cat=House&accomodationids=65cb29273e6d928972f30fd2,N/A,N/A,N/A
"A short walk from downtown Franklin, Indiana!",N/A,"{'latitude': 39.48148727416992, 'longitude': -86.05876922607422}",N/A,N/A,N/A,N/A,N/A
Landing at The Timbers - 2 Bedrooms in Perry Township,N/A,"{'latitude': 39.63719940185547, 'longitude': -86.09066009521484}",N/A,https://landing.holidayfuture.com/listings/225333?googleVR=1,N/A,N/A,N/A
"6 BR, 4BA Franklin Home, New Construction",N/A,"{'latitude': 39.48140335083008, 'longitude': -86.05845642089844}",N/A,https://www.us.despegar.com/hotels/h-6029528,N/A,N/A,N/A
Historic Meadowdale Farm - Barn Stay in Rural Setting,N/A,"{'latitude': 39.634212493896484, 'longitude': -85.96397399902344}",N/A,N/A,N/A,120,N/A
Quiet Peaceful Home in Franklin Sleeps 6,N/A,"{'latitude': 39.489891052246094, 'longitude': -86.06078338623047}",N/A,https://www.bluepillow.com/search?p_id=589dfeb47c00cb10c8dae06b&dest=bkng&cat=House&accomodationids=64c8d37ca1247fa35c63c6d0,N/A,N/A,N/A
LUXE Gated INDY/Greenwood/Franklin,N/A,"{'latitude': 39.62889862060547, 'longitude': -86.07665252685547}",N/A,https://www.vrbo.com/3964651?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,2,N/A
Franklin's Rare Retreat,N/A,"{'latitude': 39.48475646972656, 'longitude': -86.05050659179688}",N/A,https://www.us.despegar.com/hotels/h-5954086,N/A,N/A,N/A
"Hometown Hideaway - 4br25ba, Pool, Game Room",N/A,"{'latitude': 39.60771560668945, 'longitude': -86.14395141601562}",N/A,N/A,N/A,N/A,N/A
