Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Sweet Home IN,N/A,"{'latitude': 39.82365798950195, 'longitude': -85.99630737304688}",N/A,https://www.booking.com/hotel/us/home-to-stay-in.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-10174990_grp-2_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-10174990;utm_campaign=en,N/A,3,N/A
Fortville Flat-Walk to downtown!,N/A,"{'latitude': 39.938812255859375, 'longitude': -85.84542846679688}",N/A,https://sunnystays.hospitable.rentals/property/fortville-flat-walk-to-downtown,N/A,4,N/A
"Updated Historic Home, in the Heart of Greenfield. Walking distance to downtown!",N/A,"{'latitude': 39.78099060058594, 'longitude': -85.77967834472656}",N/A,N/A,N/A,29,N/A
Lovely Two Bedroom Home- Close to DT Greenfield,N/A,"{'latitude': 39.78599166870117, 'longitude': -85.76940155029297}",N/A,N/A,N/A,1,N/A
Two Bedroom Cottage On 2 Acre Stocked Pond Minutes From Downtown Indianapolis,N/A,"{'latitude': 39.78452682495117, 'longitude': -85.94779968261719}",N/A,N/A,N/A,105,N/A
Mid-Century Modern Lake Cottage in Indiana!,N/A,"{'latitude': 39.7756233215332, 'longitude': -85.85543823242188}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3826485&lc=google,N/A,9,N/A
Quiet3BR Greenfield LaundryWi-Fi,N/A,"{'latitude': 39.85802459716797, 'longitude': -85.76229858398438}",N/A,https://www.vrbo.com/4112386?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Master bedroom with lake view Fishers,N/A,"{'latitude': 39.9399299621582, 'longitude': -85.91797637939453}",N/A,https://www.bluepillow.com/search?p_id=589dfeb57c00cb10c8dae08c&dest=bpex&cat=House&accomodationids=65cb28563e6d928972f2b719,N/A,N/A,N/A
Spacious Home w/ Patio Near Fishers!,N/A,"{'latitude': 39.911842346191406, 'longitude': -85.8416519165039}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3512029&lc=google,N/A,15,N/A
Family-Friendly Fortville Rental Home w/ Fire Pit!,N/A,"{'latitude': 39.935550689697266, 'longitude': -85.8521499633789}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3711717&lc=google,N/A,11,N/A
Newly Updated Specious & Cozy & Modern Retreat,N/A,"{'latitude': 39.78016662597656, 'longitude': -85.76985168457031}",N/A,https://www.vrbo.com/3989646?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Peaceful Indianapolis Retreat 20 Min to Dtwn,N/A,"{'latitude': 39.874298095703125, 'longitude': -85.95638275146484}",N/A,https://www.bluepillow.com/search?p_id=589dfeb57c00cb10c8dae08c&dest=bkng&cat=House&accomodationids=64861b957f7e24c1922eefc2,N/A,N/A,N/A
The Rosie Roots - Cozy Pet Friendly House,N/A,"{'latitude': 39.80296325683594, 'longitude': -85.76246643066406}",N/A,https://www.us.despegar.com/hotels/h-5560409,N/A,N/A,N/A
The Junction: Victorian Home in Quaint Fortville!,N/A,"{'latitude': 39.93513870239258, 'longitude': -85.84706115722656}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3095239&lc=google,N/A,86,N/A
Indianapolis Home w/ Fire Pit & On-Site Fishing!,N/A,"{'latitude': 39.8139533996582, 'longitude': -85.9627456665039}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3864199&lc=google,N/A,1,N/A
Indianapolis Home w\/ Fire Pit & On-site Fishing!,N/A,"{'latitude': 39.81170654296875, 'longitude': -85.96409606933594}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D121966336%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Relaxation Station,N/A,"{'latitude': 39.76900100708008, 'longitude': -85.95635223388672}",N/A,https://www.bluepillow.com/search?p_id=589dfeb57c00cb10c8dae08c&dest=bkng&cat=House&accomodationids=654cac8a3011da1e8b774c11,N/A,N/A,N/A
5 Mi to Fort Harrison: Home w/ Pool Access!,N/A,"{'latitude': 39.880428314208984, 'longitude': -85.93668365478516}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3897197&lc=google,N/A,N/A,N/A
