Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Apartment In Greenwood,N/A,"{'latitude': 39.61500930786133, 'longitude': -86.05793762207031}",N/A,N/A,N/A,N/A,N/A
LUXE Gated INDY/Greenwood/Franklin,N/A,"{'latitude': 39.62889862060547, 'longitude': -86.07665252685547}",N/A,https://www.vrbo.com/3964651?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,2,N/A
Tranquil Haven in Greenwood,N/A,"{'latitude': 39.61549377441406, 'longitude': -86.05802154541016}",N/A,https://stay.micgamag.com/listings/171381?googleVR=1,N/A,42,N/A
Landing at The Timbers - 1 Bedroom in Perry Township,N/A,"{'latitude': 39.63719940185547, 'longitude': -86.09066009521484}",N/A,https://landing.holidayfuture.com/listings/225577?googleVR=1,N/A,N/A,N/A
Cozy Home in Greenwood area!,N/A,"{'latitude': 39.64276123046875, 'longitude': -86.06012725830078}",N/A,https://www.bluepillow.com/search?p_id=589dfeb57c00cb10c8dae08c&dest=bpex&cat=House&accomodationids=65cb29953e6d928972f34293,N/A,N/A,N/A
Cozy Downtown Greenwood Retreat - Walkable to Everything,N/A,"{'latitude': 39.61244583129883, 'longitude': -86.10670471191406}",N/A,N/A,N/A,76,N/A
Greenwood Home ~15 Mi to Indianapolis!,N/A,"{'latitude': 39.6070671081543, 'longitude': -86.0494155883789}",N/A,N/A,N/A,N/A,N/A
Greenwood Getaway,N/A,"{'latitude': 39.61219024658203, 'longitude': -86.09784698486328}",N/A,https://www.bluepillow.com/search?p_id=589dfeb57c00cb10c8dae08c&dest=bkng&cat=House&accomodationids=64c8d384a1247fa35c63c96b,N/A,N/A,N/A
Roadmap Lodging: Franciscan House by Greenwood Park Mall,N/A,"{'latitude': 39.647579193115234, 'longitude': -86.0853271484375}",N/A,N/A,N/A,N/A,N/A
Modern Peaceful Home w Back Yard,N/A,"{'latitude': 39.619319915771484, 'longitude': -86.10652923583984}",N/A,N/A,N/A,4,N/A
Quiet Greenwood Home ~ 16 Mi to Indianapolis!,N/A,"{'latitude': 39.5885009765625, 'longitude': -86.0919189453125}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D23476149%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Greenwood Mansion-Country Living,N/A,"{'latitude': 39.59775161743164, 'longitude': -86.1987533569336}",N/A,https://platform.hostfully.com/vacation-rental-property-v2/42597/greenwood-mansioncounty-living,N/A,N/A,N/A
"Hometown Hideaway - 4BR/2.5BA, Pool, game room",N/A,"{'latitude': 39.60771560668945, 'longitude': -86.14395141601562}",N/A,https://book.hostfully.com/radens%2C-llc/property-details/4cd78f72-0338-4e92-8fd6-3af0461fd391/hometown-hideaway---4br-2.5ba%2C-pool%2C-game-room,N/A,34,N/A
Greenwood Home about 15 Mi to Indianapolis!,N/A,"{'latitude': 39.60707092285156, 'longitude': -86.04942321777344}",N/A,https://www.bluepillow.com/search?p_id=589dfeb57c00cb10c8dae08c&dest=bkng&cat=House&accomodationids=64861d0f7f7e24c1922f92d6,N/A,N/A,N/A
"Tonight
The Next Picture Show",N/A,"{'latitude': 39.63727569580078, 'longitude': -86.15481567382812}",N/A,N/A,N/A,5,N/A
Indianapolis Home ~ 10 Mi to Downtown!,N/A,"{'latitude': 39.6799430847168, 'longitude': -86.09407043457031}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3362083&lc=google,N/A,27,N/A
House on 7 acre lake. Newly Renovated 3 Bed 2 Bath,N/A,"{'latitude': 39.61319351196289, 'longitude': -86.09781646728516}",N/A,N/A,N/A,17,N/A
Family Friendly - Mins to Shops and Food,N/A,"{'latitude': 39.61707305908203, 'longitude': -86.1088638305664}",N/A,https://www.vrbo.com/3511246?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,9,N/A
