Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Private Studio-Less than 3 miles to Downtown Indianapolis,N/A,"{'latitude': 39.770259857177734, 'longitude': -86.11734771728516}",N/A,N/A,N/A,1,N/A
Apartment Close to Mass Ave,N/A,"{'latitude': 39.7830696105957, 'longitude': -86.13034057617188}",N/A,https://www.circlecitystays.com/listings/301392?googleVR=1,N/A,7,N/A
Dream Apartment near Whole Foods CozySuites,N/A,"{'latitude': 39.76746368408203, 'longitude': -86.14826202392578}",N/A,N/A,N/A,47,N/A
Cozy Home w/ Yard < 3 Mi to Downtown Indianapolis!,N/A,"{'latitude': 39.788700103759766, 'longitude': -86.12171936035156}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3853296&lc=google,N/A,N/A,N/A
CozySuites 1BR in Bottleworks Indy Unit #7,N/A,"{'latitude': 39.777278900146484, 'longitude': -86.14488983154297}",N/A,N/A,N/A,21,N/A
Walkable in Broad Ripple,N/A,"{'latitude': 39.86432647705078, 'longitude': -86.14559936523438}",N/A,https://lazysundayrentals.directstays.com/property/easyretreat,N/A,6,N/A
151 S 5th Ave,N/A,"{'latitude': 39.718414306640625, 'longitude': -86.08712768554688}",N/A,https://NatureStayGetaways.holidayfuture.com/listings/322562?googleVR=1,N/A,3,N/A
Comfy Indy Home - Near Attractions & City Center,N/A,"{'latitude': 39.755897521972656, 'longitude': -86.18305206298828}",N/A,https://indy.wandercasa.com/listings/155413?googleVR=1,N/A,9,N/A
CozySuites - 2BR with Direct Skybridge Access #2,N/A,"{'latitude': 39.76824951171875, 'longitude': -86.16094207763672}",N/A,N/A,N/A,4,N/A
Indianapolis Home w/ Porch - Close to Mile Square!,N/A,"{'latitude': 39.751461029052734, 'longitude': -86.15214538574219}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3688613&lc=google,N/A,4,N/A
Charm City Hideout 2bdr and Basement,N/A,"{'latitude': 39.787628173828125, 'longitude': -86.09442901611328}",N/A,https://home-tel.guestybookings.com/properties/65bbb9017f1cde0016bc2778,N/A,13,N/A
CozySuites Mass w  parking  lounge   roof deck  32,N/A,"{'latitude': 39.773895263671875, 'longitude': -86.14875793457031}",N/A,https://www.travelstaytion.com/rooms/795106,N/A,N/A,N/A
"Near Lucas Oil ,large yard, Sleeps 6, pet friendly",N/A,"{'latitude': 39.748252868652344, 'longitude': -86.1940689086914}",N/A,https://direct.shelbyhomerentals.com/property/near-lucas-oil-large-yard-sleeps-6-pet-friendly,N/A,31,N/A
Downtown Indianapolis Home ~ 3 Mi to Canal Walk!,N/A,"{'latitude': 39.75236129760742, 'longitude': -86.12702941894531}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3757571&lc=google,N/A,4,N/A
Cozy 2BR Home w/ Office Near Downtown Indy & Park,N/A,"{'latitude': 39.759613037109375, 'longitude': -86.08455657958984}",N/A,https://direct.shelbyhomerentals.com/property/charming-2br-in-chr-park-easy-access-to-downtown,N/A,66,N/A
700 ft² House ∙ 1 bedroom ∙ 4 guests,N/A,"{'latitude': 39.751461029052734, 'longitude': -86.15215301513672}",N/A,N/A,N/A,2,N/A
Indianapolis Area Home - Walk to the Speedway!,N/A,"{'latitude': 39.792911529541016, 'longitude': -86.2446517944336}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3097902&lc=google,N/A,133,N/A
Ferienhaus ∙ 3 Schlafzimmer ∙ 5 Gäste,N/A,"{'latitude': 39.77827072143555, 'longitude': -86.33202362060547}",N/A,https://www.e-domizil.at/rental/644fbd9d8ad79e8e?adword=edom_gvf/DE/s/ct=s/n-a/n-a/5460aeac1d0f1&utm_source=gvf,N/A,N/A,N/A
