Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Sweet Home IN,N/A,"{'latitude': 39.82365798950195, 'longitude': -85.99630737304688}",N/A,https://www.booking.com/hotel/us/home-to-stay-in.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-10174990_grp-2_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-10174990;utm_campaign=en,N/A,3,N/A
"Modern 3 BR home w/ hot tub, movie room, dog park",N/A,"{'latitude': 39.843040466308594, 'longitude': -86.06809997558594}",N/A,https://home-tel.guestybookings.com/properties/63a5ca0a3384a1004e7afd99,N/A,8,N/A
Fishers Retreat,N/A,"{'latitude': 39.94120407104492, 'longitude': -85.91995239257812}",N/A,https://booking.bookamemory.com/listings/203678?googleVR=1,N/A,12,N/A
Lawrence Vacation Rental ~ 12 Mi to Indianapolis!,N/A,"{'latitude': 39.84965896606445, 'longitude': -86.02873229980469}",N/A,N/A,N/A,N/A,N/A
Perfect Comfy Bungalow,N/A,"{'latitude': 39.84096145629883, 'longitude': -86.01321411132812}",N/A,N/A,N/A,308,N/A
Cozy Wooded Lodge | 15 mins Indy,N/A,"{'latitude': 39.87596893310547, 'longitude': -86.0342788696289}",N/A,https://chapmanpropertymanagement.hospitable.rentals/property/cozy-wooded-lodge-15-mins-indy,N/A,14,N/A
Landing at Fountain Parc - 1 Bedroom in Allisonville,N/A,"{'latitude': 39.86940383911133, 'longitude': -86.08615112304688}",N/A,https://landing.holidayfuture.com/listings/251489?googleVR=1,N/A,N/A,N/A
Awesome location 1-BR\/1BA unit with Fireplace.,N/A,"{'latitude': 39.904659271240234, 'longitude': -86.0842056274414}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D75846727%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Peaceful Indianapolis Retreat 20 Min to Dtwn,N/A,"{'latitude': 39.874298095703125, 'longitude': -85.95638275146484}",N/A,https://www.bluepillow.com/search?p_id=589dfeb57c00cb10c8dae08c&dest=bkng&cat=House&accomodationids=64861b957f7e24c1922eefc2,N/A,N/A,N/A
Budget Friendly | Extended stays welcomed,N/A,"{'latitude': 39.84742736816406, 'longitude': -86.06269836425781}",N/A,https://www.us.despegar.com/hotels/h-4865593,N/A,N/A,N/A
"Resort style living - heated pool, hot tub, game room, pond and ample parking!",N/A,"{'latitude': 39.89057922363281, 'longitude': -85.97508239746094}",N/A,N/A,N/A,96,N/A
5 Mi to Fort Harrison: Home w/ Pool Access!,N/A,"{'latitude': 39.880428314208984, 'longitude': -85.93668365478516}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3897197&lc=google,N/A,N/A,N/A
Charming Home Near Fishers and I-465,N/A,"{'latitude': 39.91064453125, 'longitude': -86.03557586669922}",N/A,N/A,N/A,N/A,N/A
Zestlife-HeatedPool-LuxeEscp-ThemedRooms-GameRoom,N/A,"{'latitude': 39.88872528076172, 'longitude': -86.02725982666016}",N/A,https://elegantlivingnow.com/property/zestlife-indianapolis/,N/A,71,N/A
Charming 4-bedroom house with WiFi in lovely Indianapolis,N/A,"{'latitude': 39.84463119506836, 'longitude': -86.0579833984375}",N/A,N/A,N/A,N/A,N/A
New Home in the Countryside of Indy!,N/A,"{'latitude': 39.8408317565918, 'longitude': -85.95988464355469}",N/A,https://www.vrbo.com/4018771?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,6,N/A
Private Mansion on Geist Lake / Reservoir: NE Indianapolis - no neighbors,N/A,"{'latitude': 39.91944885253906, 'longitude': -85.9449234008789}",N/A,https://www.bluepillow.com/search?p_id=589dfeb57c00cb10c8dae08c&dest=bpvr&cat=House&accomodationids=621754a2a7239796806ce894,N/A,14,N/A
Affordable 2-Bed Fishers,N/A,"{'latitude': 39.9343147277832, 'longitude': -86.0599365234375}",N/A,https://stay.micgamag.com/listings/202713?googleVR=1,N/A,49,N/A
