Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
The Flat - A Lake View Retreat with Dock Access,N/A,"{'latitude': 35.5631217956543, 'longitude': -80.8621597290039}",N/A,https://blueskyvillage.guestybookings.com/properties/65d760d877d19f0010d5637c,N/A,N/A,N/A
No Wake Zone,N/A,"{'latitude': 35.586978912353516, 'longitude': -80.92041778564453}",N/A,N/A,N/A,58,N/A
"Sun Up, Sun Down by AvantStay | Pool w/ Waterfall",N/A,"{'latitude': 35.56263732910156, 'longitude': -80.89080810546875}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3757616&utm_source=ru_gvr,N/A,8,N/A
"Grand Bay w/Hot Tub, 440' Shoreline & Optional Boat Rental",N/A,"{'latitude': 35.61599349975586, 'longitude': -80.89335632324219}",N/A,N/A,N/A,3,N/A
"Spacious Lakefront Retreat, Enjoy Dock and Pool",N/A,"{'latitude': 35.56214141845703, 'longitude': -80.86168670654297}",N/A,https://blueskyvillage.guestybookings.com/properties/65d4cf18b2caf10037f5bcf8,N/A,N/A,N/A
Lucky's Lake House by AvantStay | Private Lake Bar,N/A,"{'latitude': 35.619110107421875, 'longitude': -80.90229034423828}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3757651&utm_source=ru_gvr,N/A,109,N/A
"Hideaway Cove | Private Dock, Firepit, New Build",N/A,"{'latitude': 35.621395111083984, 'longitude': -80.89227294921875}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3864796&utm_source=ru_gvr,N/A,1,N/A
Luxurious Private Lakefront Paradise,N/A,"{'latitude': 35.611000061035156, 'longitude': -80.90859985351562}",N/A,https://www.redawning.com/rental-property/luxurious-private-lakefront-paradise-north-carolina,N/A,N/A,N/A
Lakefront Bungalow,N/A,"{'latitude': 35.53162384033203, 'longitude': -80.87496948242188}",N/A,https://book.hostfully.com/carolina-escapes-llc/property-details/9f43a9b2-cef6-41af-aab5-b822d354aa60/lakefront-bungalow,N/A,N/A,N/A
Queens Cove Cottage - Lakefront Log Cabin / Private Dock,N/A,"{'latitude': 35.53759002685547, 'longitude': -80.86724853515625}",N/A,https://www.reubenrr.com/queens-cove-cottage-lakefront-log-cabin-private-dock-orp5b62c53x,N/A,66,N/A
Beautiful Penthouse! Lake Norman waterfront,N/A,"{'latitude': 35.50628662109375, 'longitude': -80.86873626708984}",N/A,N/A,N/A,51,N/A
Completely renovated single family home with new furnishings.,N/A,"{'latitude': 35.58061981201172, 'longitude': -80.82061767578125}",N/A,N/A,N/A,314,N/A
Lake Norman Waterfront Penthouse Condo,N/A,"{'latitude': 35.56709671020508, 'longitude': -80.86517333984375}",N/A,N/A,N/A,145,N/A
New Lake House with dock  Beach,N/A,"{'latitude': 35.618350982666016, 'longitude': -80.89369201660156}",N/A,N/A,N/A,1,N/A
Pet Friendly Home Close to Lake Norman 3BR/2BA,N/A,"{'latitude': 35.55222702026367, 'longitude': -80.89862823486328}",N/A,https://sbm-enterprises.com/property/pet-friendly-home-close-to-lake,N/A,36,N/A
Pathway Bay,N/A,"{'latitude': 35.58530044555664, 'longitude': -80.91799926757812}",N/A,https://www.super.com/travel/hotels/WL2X89Oj?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
It's Five O'Clock Here!  Pontoon available! Read below. 1'st come 1'st serve.,N/A,"{'latitude': 35.56922912597656, 'longitude': -80.87798309326172}",N/A,N/A,N/A,309,N/A
New Lake House with dock & Beach,N/A,"{'latitude': 35.61835861206055, 'longitude': -80.89369201660156}",N/A,https://www.us.despegar.com/hotels/h-5966597,N/A,N/A,N/A
