Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Relax @ Rawles,N/A,"{'latitude': 39.76163864135742, 'longitude': -86.0234146118164}",N/A,https://www.relaxatrawles.com/listing/en/591494,N/A,N/A,N/A
Sweet Home IN,N/A,"{'latitude': 39.82365798950195, 'longitude': -85.99630737304688}",N/A,https://www.booking.com/hotel/us/home-to-stay-in.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-10174990_grp-2_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-10174990;utm_campaign=en,N/A,3,N/A
"Beautiful, 200 year old Log home - Secluded, 30 Min. from Downtown",N/A,"{'latitude': 39.63460922241211, 'longitude': -85.96654510498047}",N/A,N/A,N/A,396,N/A
Two Bedroom Cottage On 2 Acre Stocked Pond Minutes From Downtown Indianapolis,N/A,"{'latitude': 39.78452682495117, 'longitude': -85.94779968261719}",N/A,N/A,N/A,105,N/A
Mid-Century Modern Lake Cottage in Indiana!,N/A,"{'latitude': 39.7756233215332, 'longitude': -85.85543823242188}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3826485&lc=google,N/A,9,N/A
Relaxation Station,N/A,"{'latitude': 39.76900100708008, 'longitude': -85.95635223388672}",N/A,https://www.bluepillow.com/search?p_id=589dfeb57c00cb10c8dae08c&dest=bkng&cat=House&accomodationids=654cac8a3011da1e8b774c11,N/A,N/A,N/A
Close to Downtown Indianapolis in Suburb of New Palestine,N/A,"{'latitude': 39.72220993041992, 'longitude': -85.89075469970703}",N/A,N/A,N/A,26,N/A
Historic Meadowdale Farm - Barn Stay in Rural Setting,N/A,"{'latitude': 39.634212493896484, 'longitude': -85.96397399902344}",N/A,N/A,N/A,120,N/A
Indianapolis Home w/ Fire Pit & On-Site Fishing!,N/A,"{'latitude': 39.8139533996582, 'longitude': -85.9627456665039}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3864199&lc=google,N/A,1,N/A
The Lai Pa House,N/A,"{'latitude': 39.7351188659668, 'longitude': -86.07278442382812}",N/A,https://www.vrbo.com/4049312?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,2,N/A
Pet friendly 2BR home with office,N/A,"{'latitude': 39.79035568237305, 'longitude': -86.04931640625}",N/A,N/A,N/A,N/A,N/A
"Indy Mansion pool house, 5 beds  4 baths 20 minutes to downtown indy",N/A,"{'latitude': 39.674869537353516, 'longitude': -86.01802825927734}",N/A,https://www.bluepillow.com/search?p_id=589dfeb57c00cb10c8dae08c&dest=bpex&cat=House&accomodationids=639750a9fc70cceab61c25a7,N/A,N/A,N/A
"Indy Mansion pool house, 5 beds & 4 baths 20 minutes to downtown indy",N/A,"{'latitude': 39.67487716674805, 'longitude': -86.01803588867188}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D81615122%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
"Tall, Dark and Handsome 2BR in historic Irvington",N/A,"{'latitude': 39.76431655883789, 'longitude': -86.06867218017578}",N/A,https://www.us.despegar.com/hotels/h-5607335,N/A,N/A,N/A
"The Nigh Place, Studio Apartment, King Bed, 55""TV",N/A,"{'latitude': 39.611995697021484, 'longitude': -85.85800170898438}",N/A,https://www.vrbo.com/2862432?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,11,N/A
4 Bedroom Creative Escape,N/A,"{'latitude': 39.78605270385742, 'longitude': -86.02125549316406}",N/A,N/A,N/A,15,N/A
Rustic Farmhouse with Spacious Wooded Lot,N/A,"{'latitude': 39.83367919921875, 'longitude': -85.92185974121094}",N/A,https://www.bluepillow.com/search?p_id=589dfeb57c00cb10c8dae08c&dest=bpex&cat=House&accomodationids=63974f6cfc70cceab61baba9,N/A,N/A,N/A
"Upsize-Wifi, Parking, Massage Chair, Washer/Dryer",N/A,"{'latitude': 39.83358383178711, 'longitude': -85.99122619628906}",N/A,https://galaxypropertymanagement.lodgify.com/listing/en/663979,N/A,N/A,N/A
