Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
OliveBranch-LuxeDesigner Home-Spa-Firepit-GameZone,N/A,"{'latitude': 39.592079162597656, 'longitude': -86.16295623779297}",N/A,https://elegantlivingnow.com/property/olive-branch/,N/A,83,N/A
Franklin Tiny Cottage w Hot Tub!,N/A,"{'latitude': 39.48448181152344, 'longitude': -86.05024719238281}",N/A,https://www.circlecitystays.com/listings/144515?googleVR=1,N/A,131,N/A
The Retreat - Private Pool-Spa-Firepit-Gameroom,N/A,"{'latitude': 39.62837600708008, 'longitude': -86.16574096679688}",N/A,https://elegantlivingnow.com/property/brixton/,N/A,93,N/A
"Updated Home, Pool, Hot Tub, Game Room",N/A,"{'latitude': 39.60601043701172, 'longitude': -86.09068298339844}",N/A,https://www.bluepillow.com/search?p_id=589dfeb57c00cb10c8dae08c&dest=bpvr&cat=House&accomodationids=64906d2eba24250813c01f95,N/A,13,N/A
The Dragonfly- A Historic Gem COMPLETELY Restored!,N/A,"{'latitude': 39.486637115478516, 'longitude': -86.0558090209961}",N/A,N/A,N/A,16,N/A
"Tonight
The Next Picture Show",N/A,"{'latitude': 39.63727569580078, 'longitude': -86.15481567382812}",N/A,N/A,N/A,5,N/A
Landing at The Timbers - 2 Bedrooms in Perry Township,N/A,"{'latitude': 39.63719940185547, 'longitude': -86.09066009521484}",N/A,https://landing.holidayfuture.com/listings/225333?googleVR=1,N/A,N/A,N/A
"Hometown Hideaway - 4br25ba, Pool, Game Room",N/A,"{'latitude': 39.60771560668945, 'longitude': -86.14395141601562}",N/A,N/A,N/A,N/A,N/A
Just a Stone's Throw,N/A,"{'latitude': 39.4807014465332, 'longitude': -86.05789947509766}",N/A,https://www.the198onjeff.com/listings/111111?googleVR=1,N/A,26,N/A
A King Size Bed Home in Indianapolis,N/A,"{'latitude': 39.637550354003906, 'longitude': -86.17272186279297}",N/A,https://www.bluepillow.com/search?p_id=589dfeb57c00cb10c8dae08c&dest=bpvr&cat=House&accomodationids=64907119ba24250813c3e836,N/A,7,N/A
Apartment In Greenwood,N/A,"{'latitude': 39.61500930786133, 'longitude': -86.05793762207031}",N/A,N/A,N/A,N/A,N/A
Modern Peaceful Home w Back Yard,N/A,"{'latitude': 39.619319915771484, 'longitude': -86.10652923583984}",N/A,N/A,N/A,4,N/A
Quiet Greenwood Home ~ 16 Mi to Indianapolis!,N/A,"{'latitude': 39.5885009765625, 'longitude': -86.0919189453125}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D23476149%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
House on 7 acre lake. Newly Renovated 3 Bed 2 Bath,N/A,"{'latitude': 39.61319351196289, 'longitude': -86.09781646728516}",N/A,N/A,N/A,17,N/A
Roadmap Lodging: Franciscan House by Greenwood Park Mall,N/A,"{'latitude': 39.647579193115234, 'longitude': -86.0853271484375}",N/A,N/A,N/A,N/A,N/A
"Cozy Studio Apartment just minutes from downtown Franklin, Indiana!",N/A,"{'latitude': 39.48147964477539, 'longitude': -86.05876922607422}",N/A,https://www.bluepillow.com/search?p_id=589dfeb47c00cb10c8dae06b&dest=bpvr&cat=Apartment&accomodationids=65cbaebbd1633aac917a0614,N/A,N/A,N/A
LUXE Gated INDY/Greenwood/Franklin,N/A,"{'latitude': 39.62889862060547, 'longitude': -86.07665252685547}",N/A,https://www.vrbo.com/3964651?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,2,N/A
"6 BR, 4BA Franklin Home, New Construction",N/A,"{'latitude': 39.48140335083008, 'longitude': -86.05845642089844}",N/A,https://www.us.despegar.com/hotels/h-6029528,N/A,N/A,N/A
