Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Bright Plainfield Home ~ 14 Mi to Indianapolis!,N/A,"{'latitude': 39.72450256347656, 'longitude': -86.39632415771484}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3766849&lc=google,N/A,2,N/A
Cozy Home Plainfield Indy,N/A,"{'latitude': 39.731773376464844, 'longitude': -86.35393524169922}",N/A,https://stay.micgamag.com/listings/312942?googleVR=1,N/A,3,N/A
2690 ft² House ∙ 3 bedrooms ∙ 7 guests,N/A,"{'latitude': 39.7244987487793, 'longitude': -86.39631652832031}",N/A,N/A,N/A,N/A,N/A
Camby Home with 3 Living Areas and Community Pool!,N/A,"{'latitude': 39.635398864746094, 'longitude': -86.31716918945312}",N/A,N/A,N/A,N/A,N/A
Pet-Friendly Camby Home: 13 Mi to Indianapolis,N/A,"{'latitude': 39.642669677734375, 'longitude': -86.30789947509766}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3869871&lc=google,N/A,2,N/A
Ferienhaus ∙ 3 Schlafzimmer ∙ 5 Gäste,N/A,"{'latitude': 39.77827072143555, 'longitude': -86.33202362060547}",N/A,https://www.e-domizil.at/rental/644fbd9d8ad79e8e?adword=edom_gvf/DE/s/ct=s/n-a/n-a/5460aeac1d0f1&utm_source=gvf,N/A,N/A,N/A
Plainfield Vacation Rental ~ 13 Mi to Indianapolis,N/A,"{'latitude': 39.72277069091797, 'longitude': -86.3790512084961}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3695672&lc=google,N/A,33,N/A
Cozy Cartersburg Home about 14 Mi to Indianapolis,N/A,"{'latitude': 39.72710037231445, 'longitude': -86.38414764404297}",N/A,N/A,N/A,4,N/A
Beautiful Pet Friendly Unit- 10 Mins from Airport,N/A,"{'latitude': 39.727169036865234, 'longitude': -86.33930969238281}",N/A,https://www.bluepillow.com/search?p_id=589dfeb57c00cb10c8dae08c&dest=bpex&cat=Apartment&accomodationids=65cb91ff3e6d928972fc79ac,N/A,N/A,N/A
Cozy Cartersburg Home ~ 14 Mi to Indianapolis,N/A,"{'latitude': 39.72753143310547, 'longitude': -86.38432312011719}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3684708&lc=google,N/A,5,N/A
Charming 3-Bedroom Retreat Near Indianapolis,N/A,"{'latitude': 39.70113754272461, 'longitude': -86.37960815429688}",N/A,N/A,N/A,N/A,N/A
Roomy Indianapolis Vacation Rental with Pond View!,N/A,"{'latitude': 39.73963928222656, 'longitude': -86.32791137695312}",N/A,https://www.bluepillow.com/search?p_id=589dfeb57c00cb10c8dae08c&dest=bkng&cat=House&accomodationids=654caf0d3011da1e8b78157c,N/A,N/A,N/A
Get in before it's gone! More space than a hotel and cheaper too!,N/A,"{'latitude': 39.7044792175293, 'longitude': -86.35540008544922}",N/A,https://www.bluepillow.com/search?p_id=589dfeb57c00cb10c8dae08c&dest=bpex&cat=Apartment&accomodationids=65cb29193e6d928972f3097a,N/A,N/A,N/A
"Charming 4-bedroom house with AC, fitness room, WiFi in Plainfield",N/A,"{'latitude': 39.722591400146484, 'longitude': -86.37641143798828}",N/A,https://www.vrbo.com/4278335?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
A New Ranch Home in a New Neighborhood.,N/A,"{'latitude': 39.725860595703125, 'longitude': -86.38037109375}",N/A,https://www.bluepillow.com/search?p_id=589dfeb57c00cb10c8dae08c&dest=bpex&cat=House&accomodationids=65cb807b3e6d928972f6aa3b,N/A,N/A,N/A
Beautiful New Remodel - Perfect For Mid Term Stays,N/A,"{'latitude': 39.744319915771484, 'longitude': -86.41155242919922}",N/A,https://www.bluepillow.com/search?p_id=589dfeb57c00cb10c8dae08c&dest=bpex&cat=House&accomodationids=65cb82313e6d928972f76fbc,N/A,N/A,N/A
Modern Bungalow- Near Airport/Indianapolis,N/A,"{'latitude': 39.641353607177734, 'longitude': -86.374755859375}",N/A,N/A,N/A,13,N/A
Condo ∙ 2 bedrooms ∙ 7 guests,N/A,"{'latitude': 39.671661376953125, 'longitude': -86.36688232421875}",N/A,N/A,N/A,N/A,N/A
