Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
151 S 5th Ave,N/A,"{'latitude': 39.718414306640625, 'longitude': -86.08712768554688}",N/A,https://NatureStayGetaways.holidayfuture.com/listings/322562?googleVR=1,N/A,3,N/A
"King Bed, Free Parking & Laundry, Sleeps 6",N/A,"{'latitude': 39.730567932128906, 'longitude': -86.13774108886719}",N/A,https://direct.shelbyhomerentals.com/property/king-bed-free-parking-laundry-sleeps-6,N/A,157,N/A
Bungalow Bliss,N/A,"{'latitude': 39.7315559387207, 'longitude': -86.1518325805664}",N/A,https://www.booking.com/hotel/us/bungalow-bliss.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-10158816_grp-0_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-10158816;utm_campaign=en,N/A,N/A,N/A
"Charming, quaint 2 bed/1BA bungalow 15 minutes from downtown Indy",N/A,"{'latitude': 39.67023849487305, 'longitude': -86.13278198242188}",N/A,N/A,N/A,1,N/A
The Onyx Tiny House,N/A,"{'latitude': 39.70663833618164, 'longitude': -86.13262176513672}",N/A,N/A,N/A,N/A,N/A
The Retreat - Private Pool-Spa-Firepit-Gameroom,N/A,"{'latitude': 39.62837600708008, 'longitude': -86.16574096679688}",N/A,https://elegantlivingnow.com/property/brixton/,N/A,93,N/A
Large Lot SFR close to IU Downtown and Southport - Holiday Home,N/A,"{'latitude': 39.67074966430664, 'longitude': -86.12848663330078}",N/A,N/A,N/A,N/A,N/A
A King Size Bed Home in Indianapolis,N/A,"{'latitude': 39.63755416870117, 'longitude': -86.17272186279297}",N/A,https://www.us.despegar.com/hotels/h-5962193,N/A,N/A,N/A
Landing at The Timbers - 2 Bedrooms in Perry Township,N/A,"{'latitude': 39.63719940185547, 'longitude': -86.09066009521484}",N/A,https://landing.holidayfuture.com/listings/225333?googleVR=1,N/A,N/A,N/A
"Hometown Hideaway - 4BR/2.5BA, Pool, game room",N/A,"{'latitude': 39.60771560668945, 'longitude': -86.14395141601562}",N/A,https://book.hostfully.com/radens%2C-llc/property-details/4cd78f72-0338-4e92-8fd6-3af0461fd391/hometown-hideaway---4br-2.5ba%2C-pool%2C-game-room,N/A,34,N/A
"Tonight
The Next Picture Show",N/A,"{'latitude': 39.63727569580078, 'longitude': -86.15481567382812}",N/A,N/A,N/A,5,N/A
Roadmap Lodging: Franciscan House by Greenwood Park Mall,N/A,"{'latitude': 39.647579193115234, 'longitude': -86.0853271484375}",N/A,N/A,N/A,N/A,N/A
Cavalier's Resort & Conference Center,N/A,"{'latitude': 39.69389724731445, 'longitude': -86.14778137207031}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D1268377%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,42,N/A
Large Lot SFR close to IU Downtown and Southport,N/A,"{'latitude': 39.67074966430664, 'longitude': -86.12847900390625}",N/A,https://www.bluepillow.com/search?p_id=589dfeb57c00cb10c8dae08c&dest=bkng&cat=House&accomodationids=65ca106f671b07d23c6cead4,N/A,N/A,N/A
Beech Grove Vacation Rental w/ Private Yard,N/A,"{'latitude': 39.7197265625, 'longitude': -86.09004974365234}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3506027&lc=google,N/A,N/A,N/A
"<10min Downtown, Private & Spacious",N/A,"{'latitude': 39.69533157348633, 'longitude': -86.17337036132812}",N/A,https://lazysundayrentals.directstays.com/property/joyfulbluff,N/A,20,N/A
10 Mi to Dwtn Indianapolis: Home w/ Grill & Yard,N/A,"{'latitude': 39.7038688659668, 'longitude': -86.06807708740234}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3892839&lc=google,N/A,N/A,N/A
Modern Peaceful Home w Back Yard,N/A,"{'latitude': 39.619319915771484, 'longitude': -86.10652923583984}",N/A,N/A,N/A,4,N/A
