Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Charming Home in Speedway,N/A,"{'latitude': 39.79365158081055, 'longitude': -86.25127410888672}",N/A,N/A,N/A,7,N/A
Indianapolis Area Home - Walk to the Speedway!,N/A,"{'latitude': 39.792911529541016, 'longitude': -86.2446517944336}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3097902&lc=google,N/A,133,N/A
Idyllic Home Near Indianapolis Motor Speedway,N/A,"{'latitude': 39.78886413574219, 'longitude': -86.21063232421875}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3427605&lc=google,N/A,9,N/A
Teddi Bear at the Villa,N/A,"{'latitude': 39.769989013671875, 'longitude': -86.20685577392578}",N/A,https://www.vacasa.com/unit/118519,N/A,17,N/A
Large House Near Lucas Oil Stadium (TSwift). 3 BR,N/A,"{'latitude': 39.78911590576172, 'longitude': -86.20368194580078}",N/A,https://direct.shelbyhomerentals.com/property/minutes-from-downtown-speedway-3-bedrooms,N/A,17,N/A
Indianapolis Rental Home with Gym Near Speedway!,N/A,"{'latitude': 39.790401458740234, 'longitude': -86.28253173828125}",N/A,N/A,N/A,N/A,N/A
Speedway Charm,N/A,"{'latitude': 39.78118896484375, 'longitude': -86.24189758300781}",N/A,https://www.expedia.com/Hotel.h32778303.Hotel-Information?mdpcid=META.HPA.WEB-ORGANIC.VR,N/A,33,N/A
3 BR Speedway Home!,N/A,"{'latitude': 39.811134338378906, 'longitude': -86.24872589111328}",N/A,https://www.vrbo.com/4014750?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
"Newly Remodeled, Entire home 3BD 3BA, Speedway IN",N/A,"{'latitude': 39.78641891479492, 'longitude': -86.24573516845703}",N/A,N/A,N/A,7,N/A
Lux Condo in Speedway 5 miles from Downtown Indy!,N/A,"{'latitude': 39.787109375, 'longitude': -86.243896484375}",N/A,N/A,N/A,8,N/A
Bright ; Cheerful 2 bedroom in Broad Ripple! 🌞🤩,N/A,"{'latitude': 39.795352935791016, 'longitude': -86.23529815673828}",N/A,https://google.bookeddirectly.com/g/indianapolis/bright-%253B-cheerful-2-bedroom-in-broad-ripple%2521-%25F0%259F%258C%259E%25F0%259F%25A4%25A9/c50e88,N/A,N/A,N/A
Racetrack close,N/A,"{'latitude': 39.807247161865234, 'longitude': -86.2650375366211}",N/A,https://www.booking.com/hotel/us/racetrack-close-speedway.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-9901423_grp-3_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-9901423;utm_campaign=en,N/A,N/A,N/A
"Speedway Pit Stop Bungalow in the heart of Speedway.  Walk to IMS,  Restaurants",N/A,"{'latitude': 39.78633117675781, 'longitude': -86.24942779541016}",N/A,N/A,N/A,4,N/A
Updated Home Near Indianapolis Motor Speedway,N/A,"{'latitude': 39.79492950439453, 'longitude': -86.2144775390625}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3339353&lc=google,N/A,6,N/A
"NEW Speedway ? Relaxation! (3BR\/2BA, sleeps 7)",N/A,"{'latitude': 39.79075241088867, 'longitude': -86.25044250488281}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D77185127%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
"NEW Speedway ? Relaxation! (3BR/2BA, sleeps 7)",N/A,"{'latitude': 39.790748596191406, 'longitude': -86.25044250488281}",N/A,N/A,N/A,25,N/A
"Speedway ""Finish Line"" House",N/A,"{'latitude': 39.78202819824219, 'longitude': -86.25032806396484}",N/A,N/A,N/A,3,N/A
Beautiful 3 Bedroom 3 Bathroom Walking Distance To Indianapolis Motor Speedway,N/A,"{'latitude': 39.78433609008789, 'longitude': -86.25408172607422}",N/A,N/A,N/A,9,N/A
