Name,Description,Coordinates,Latitude,Longitude,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown,Address
Royal Inn - Indianapolis,,"{'latitude': 39.8225626, 'longitude': -86.2713931}",39.8225626,-86.2713931,1,,"[{'stars': 5, 'count': 348}, {'stars': 4, 'count': 69}, {'stars': 3, 'count': 89}, {'stars': 2, 'count': 68}, {'stars': 1, 'count': 272}]",846,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 10, 'positive': 0, 'negative': 9, 'neutral': 1}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 190, 'positive': 67, 'negative': 116, 'neutral': 7}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 178, 'positive': 99, 'negative': 73, 'neutral': 6}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 6, 'positive': 0, 'negative': 6, 'neutral': 0}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 238, 'positive': 119, 'negative': 100, 'neutral': 19}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 89, 'positive': 6, 'negative': 75, 'neutral': 8}]","West 38th Street, Indianapolis, Marion County, Indiana, 46254, United States"
Red Roof Inn & Suites Indianapolis Airport,Straightforward rooms & suites with microwaves & minifridges in an unpretentious hotel.,"{'latitude': 39.7270626, 'longitude': -86.24919720000001}",39.7270626,-86.24919720000001,2,https://www.redroof.com/property/in/indianapolis/RRI840?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI840,"[{'stars': 5, 'count': 313}, {'stars': 4, 'count': 208}, {'stars': 3, 'count': 183}, {'stars': 2, 'count': 122}, {'stars': 1, 'count': 358}]",1184,"[{'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 35, 'positive': 22, 'negative': 8, 'neutral': 5}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 35, 'positive': 14, 'negative': 19, 'neutral': 2}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 271, 'positive': 101, 'negative': 158, 'neutral': 12}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 79, 'positive': 22, 'negative': 47, 'neutral': 10}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 324, 'positive': 161, 'negative': 151, 'neutral': 12}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 40, 'positive': 6, 'negative': 32, 'neutral': 2}]","Quality Inn & Suites Airport, 2631, South Lynhurst Drive, Indianapolis, Marion County, Indiana, 46241, United States"
Sybaris Indianapolis,"Luxe lodging offering refined suites with private pools, steam rooms & fireplaces, plus free Wi-Fi.","{'latitude': 39.911426999999996, 'longitude': -86.25727850000001}",39.911427,-86.25727850000001,2,http://www.sybaris.com/,"[{'stars': 5, 'count': 1468}, {'stars': 4, 'count': 186}, {'stars': 3, 'count': 61}, {'stars': 2, 'count': 25}, {'stars': 1, 'count': 33}]",1773,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 252, 'positive': 237, 'negative': 7, 'neutral': 8}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 132, 'positive': 101, 'negative': 19, 'neutral': 12}, {'name': 'Spa', 'description': 'Spa', 'total_mentioned': 68, 'positive': 50, 'negative': 11, 'neutral': 7}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 259, 'positive': 215, 'negative': 30, 'neutral': 14}, {'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 72, 'positive': 50, 'negative': 16, 'neutral': 6}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 124, 'positive': 109, 'negative': 11, 'neutral': 4}]","5466, West 86th Street, Indianapolis, Marion County, Indiana, 46268, United States"
Red Roof Inn Indianapolis North - College Park,"Straightforward budget hotel offering colorful rooms, plus complimentary Wi-Fi & parking.","{'latitude': 39.9250087, 'longitude': -86.22724769999999}",39.9250087,-86.22724769999999,2,https://www.redroof.com/property/in/indianapolis/RRI041?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI041,"[{'stars': 5, 'count': 177}, {'stars': 4, 'count': 131}, {'stars': 3, 'count': 93}, {'stars': 2, 'count': 73}, {'stars': 1, 'count': 192}]",666,"[{'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 216, 'positive': 65, 'negative': 141, 'neutral': 10}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 113, 'positive': 9, 'negative': 89, 'neutral': 15}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 19, 'positive': 5, 'negative': 11, 'neutral': 3}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 142, 'positive': 16, 'negative': 112, 'neutral': 14}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 6, 'positive': 1, 'negative': 5, 'neutral': 0}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 158, 'positive': 83, 'negative': 63, 'neutral': 12}]","Red Roof Inn Indianapolis North - College Park, Valparaiso Court, Indianapolis, Marion County, Indiana, 46268, United States"
Red Roof Inn Indianapolis - Castleton,"Warm, down-to-earth rooms in a budget hotel offering complimentary parking & Wi-Fi.","{'latitude': 39.9024959, 'longitude': -86.0465645}",39.9024959,-86.0465645,2,https://www.redroof.com/property/in/indianapolis/RRI827?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI827,"[{'stars': 5, 'count': 187}, {'stars': 4, 'count': 126}, {'stars': 3, 'count': 133}, {'stars': 2, 'count': 88}, {'stars': 1, 'count': 209}]",743,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 17, 'positive': 3, 'negative': 9, 'neutral': 5}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 213, 'positive': 88, 'negative': 102, 'neutral': 23}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 105, 'positive': 11, 'negative': 86, 'neutral': 8}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 120, 'positive': 21, 'negative': 88, 'neutral': 11}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 167, 'positive': 75, 'negative': 80, 'neutral': 12}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 214, 'positive': 87, 'negative': 107, 'neutral': 20}]","I 69, Castleton, Vertland, Indianapolis, Marion County, Indiana, 46250, United States"
Red Roof Inn Indianapolis East,Straightforward rooms with microwaves in a laid-back budget hotel offering free parking & Wi-Fi.,"{'latitude': 39.797191399999996, 'longitude': -86.0385462}",39.7971914,-86.0385462,2,https://www.redroof.com/property/in/indianapolis/RRI602?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI602,"[{'stars': 5, 'count': 87}, {'stars': 4, 'count': 66}, {'stars': 3, 'count': 50}, {'stars': 2, 'count': 22}, {'stars': 1, 'count': 70}]",295,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 14, 'positive': 5, 'negative': 8, 'neutral': 1}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 88, 'positive': 49, 'negative': 34, 'neutral': 5}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 31, 'positive': 3, 'negative': 24, 'neutral': 4}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 48, 'positive': 15, 'negative': 29, 'neutral': 4}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 68, 'positive': 30, 'negative': 37, 'neutral': 1}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 8, 'positive': 4, 'negative': 4, 'neutral': 0}]","7314, East 21st Street, Indianapolis, Marion County, Indiana, 46219, United States"
TownePlace Suites Indianapolis Keystone,"Unassuming all-suite hotel offering an exercise room & an outdoor pool, plus free breakfast & Wi-Fi.","{'latitude': 39.9102694, 'longitude': -86.1083929}",39.9102694,-86.1083929,2,https://www.marriott.com/en-us/hotels/indtk-towneplace-suites-indianapolis-keystone/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 152}, {'stars': 4, 'count': 108}, {'stars': 3, 'count': 58}, {'stars': 2, 'count': 26}, {'stars': 1, 'count': 47}]",391,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 15, 'positive': 10, 'negative': 4, 'neutral': 1}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 40, 'positive': 20, 'negative': 16, 'neutral': 4}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 43, 'positive': 22, 'negative': 16, 'neutral': 5}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 51, 'positive': 46, 'negative': 2, 'neutral': 3}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 103, 'positive': 58, 'negative': 41, 'neutral': 4}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 123, 'positive': 90, 'negative': 29, 'neutral': 4}]","Seabridge Way, Lakes by the Crossing, Indianapolis, Marion County, Indiana, 46240, United States"
Red Roof Inn Indianapolis South,"Humble budget hotel offering no-nonsense rooms, plus complimentary Wi-Fi & parking.","{'latitude': 39.7014905, 'longitude': -86.0801092}",39.7014905,-86.0801092,2,https://www.redroof.com/property/in/indianapolis/RRI013?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI013,"[{'stars': 5, 'count': 329}, {'stars': 4, 'count': 241}, {'stars': 3, 'count': 202}, {'stars': 2, 'count': 98}, {'stars': 1, 'count': 190}]",1060,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 31, 'positive': 13, 'negative': 14, 'neutral': 4}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 304, 'positive': 174, 'negative': 112, 'neutral': 18}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 250, 'positive': 122, 'negative': 113, 'neutral': 15}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 145, 'positive': 39, 'negative': 90, 'neutral': 16}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 26, 'positive': 8, 'negative': 17, 'neutral': 1}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 275, 'positive': 168, 'negative': 84, 'neutral': 23}]","5221, Victory Drive, Indianapolis, Marion County, Indiana, 46203, United States"
Red Roof Inn Indianapolis - Greenwood,Streamlined rooms & suites in a casual budget hotel with a seasonal outdoor pool & free Wi-Fi.,"{'latitude': 39.613023399999996, 'longitude': -86.0766721}",39.6130234,-86.0766721,2,https://www.redroof.com/property/in/greenwood/RRI650?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI650,"[{'stars': 5, 'count': 229}, {'stars': 4, 'count': 159}, {'stars': 3, 'count': 107}, {'stars': 2, 'count': 83}, {'stars': 1, 'count': 155}]",733,"[{'name': 'Parking', 'description': 'Parking', 'total_mentioned': 9, 'positive': 1, 'negative': 6, 'neutral': 2}, {'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 10, 'positive': 6, 'negative': 1, 'neutral': 3}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 20, 'positive': 6, 'negative': 8, 'neutral': 6}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 9, 'positive': 4, 'negative': 4, 'neutral': 1}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 5, 'positive': 2, 'negative': 1, 'neutral': 2}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 23, 'positive': 4, 'negative': 16, 'neutral': 3}]","Red Roof Inn Indianapolis - Greenwood, 110, Sheek Road, Greenwood, Johnson County, Indiana, 46143, United States"
Lake Norman Motel,"Modest rooms in a down-to-earth lakefront motel with a boat ramp, a lively restaurant & a bar.","{'latitude': 35.569984, 'longitude': -80.990619}",35.569984,-80.990619,2,https://www.landingatthelake.com/,"[{'stars': 5, 'count': 192}, {'stars': 4, 'count': 77}, {'stars': 3, 'count': 40}, {'stars': 2, 'count': 11}, {'stars': 1, 'count': 11}]",331,"[{'name': 'Property', 'description': 'Property', 'total_mentioned': 59, 'positive': 53, 'negative': 4, 'neutral': 2}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 46, 'positive': 41, 'negative': 4, 'neutral': 1}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 57, 'positive': 44, 'negative': 7, 'neutral': 6}]","The Landing Restaurant, 4491, Slanting Bridge Road, Sherrills Ford, Catawba County, North Carolina, 28673, United States"
