Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
TownePlace Suites Indianapolis Park 100,"Casual studios & suites in a straightforward hotel offering a fitness room, plus free breakfast.","{'latitude': 39.8823714, 'longitude': -86.26286750000001}",3,https://www.marriott.com/en-us/hotels/indts-towneplace-suites-indianapolis-park-100/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 216}, {'stars': 4, 'count': 102}, {'stars': 3, 'count': 60}, {'stars': 2, 'count': 21}, {'stars': 1, 'count': 35}]",434,"[{'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 50, 'positive': 33, 'negative': 5, 'neutral': 12}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 44, 'positive': 23, 'negative': 14, 'neutral': 7}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 118, 'positive': 76, 'negative': 36, 'neutral': 6}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 10, 'positive': 7, 'negative': 2, 'neutral': 1}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 135, 'positive': 108, 'negative': 24, 'neutral': 3}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 21, 'positive': 16, 'negative': 0, 'neutral': 5}]"
Sybaris Indianapolis,"Luxe lodging offering refined suites with private pools, steam rooms & fireplaces, plus free Wi-Fi.","{'latitude': 39.911426999999996, 'longitude': -86.25727850000001}",2,http://www.sybaris.com/,"[{'stars': 5, 'count': 1468}, {'stars': 4, 'count': 186}, {'stars': 3, 'count': 61}, {'stars': 2, 'count': 25}, {'stars': 1, 'count': 33}]",1773,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 252, 'positive': 237, 'negative': 7, 'neutral': 8}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 132, 'positive': 101, 'negative': 19, 'neutral': 12}, {'name': 'Spa', 'description': 'Spa', 'total_mentioned': 68, 'positive': 50, 'negative': 11, 'neutral': 7}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 259, 'positive': 215, 'negative': 30, 'neutral': 14}, {'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 72, 'positive': 50, 'negative': 16, 'neutral': 6}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 124, 'positive': 109, 'negative': 11, 'neutral': 4}]"
Wyndham Indianapolis Airport,"Polished lodging with an outdoor pool & Italian dining, plus a free airport shuttle & Wi-Fi.","{'latitude': 39.7293745, 'longitude': -86.2584777}",3,https://www.wyndhamhotels.com/wyndham/indianapolis-indiana/wyndham-indianapolis-airportt/overview?CID=LC:46q62bu8edfbx3y:33237&iata=00093796,"[{'stars': 5, 'count': 843}, {'stars': 4, 'count': 657}, {'stars': 3, 'count': 428}, {'stars': 2, 'count': 215}, {'stars': 1, 'count': 282}]",2425,"[{'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 101, 'positive': 51, 'negative': 27, 'neutral': 23}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 50, 'positive': 17, 'negative': 10, 'neutral': 23}, {'name': 'Business', 'description': 'Business', 'total_mentioned': 140, 'positive': 69, 'negative': 42, 'neutral': 29}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 111, 'positive': 6, 'negative': 96, 'neutral': 9}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 94, 'positive': 54, 'negative': 26, 'neutral': 14}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 138, 'positive': 64, 'negative': 60, 'neutral': 14}]"
Courtyard Indianapolis Northwest,"Straightforward hotel with contemporary rooms & a patio fire pit, plus an indoor pool & free WiFi.","{'latitude': 39.8837958, 'longitude': -86.2677513}",3,https://www.marriott.com/en-us/hotels/indnw-courtyard-indianapolis-northwest/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 232}, {'stars': 4, 'count': 124}, {'stars': 3, 'count': 53}, {'stars': 2, 'count': 25}, {'stars': 1, 'count': 26}]",460,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 126, 'positive': 89, 'negative': 31, 'neutral': 6}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 21, 'positive': 12, 'negative': 5, 'neutral': 4}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 31, 'positive': 7, 'negative': 16, 'neutral': 8}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 100, 'positive': 79, 'negative': 16, 'neutral': 5}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 40, 'positive': 26, 'negative': 8, 'neutral': 6}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 20, 'positive': 2, 'negative': 12, 'neutral': 6}]"
JW Marriott Indianapolis,"Upmarket hotel with an Italian restaurant & a sports bar, plus a fitness center.","{'latitude': 39.7663443, 'longitude': -86.1683735}",4,https://www.marriott.com/en-us/hotels/indjw-jw-marriott-indianapolis/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 5027}, {'stars': 4, 'count': 1483}, {'stars': 3, 'count': 344}, {'stars': 2, 'count': 119}, {'stars': 1, 'count': 192}]",7165,"[{'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 120, 'positive': 116, 'negative': 2, 'neutral': 2}, {'name': 'Business', 'description': 'Business', 'total_mentioned': 510, 'positive': 346, 'negative': 58, 'neutral': 106}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 406, 'positive': 300, 'negative': 60, 'neutral': 46}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 364, 'positive': 129, 'negative': 177, 'neutral': 58}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 413, 'positive': 301, 'negative': 68, 'neutral': 44}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 82, 'positive': 49, 'negative': 5, 'neutral': 28}]"
Red Roof Inn Indianapolis South,"Humble budget hotel offering no-nonsense rooms, plus complimentary Wi-Fi & parking.","{'latitude': 39.7014905, 'longitude': -86.0801092}",2,https://www.redroof.com/property/in/indianapolis/RRI013?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI013,"[{'stars': 5, 'count': 329}, {'stars': 4, 'count': 241}, {'stars': 3, 'count': 202}, {'stars': 2, 'count': 98}, {'stars': 1, 'count': 190}]",1060,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 31, 'positive': 13, 'negative': 14, 'neutral': 4}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 304, 'positive': 174, 'negative': 112, 'neutral': 18}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 250, 'positive': 122, 'negative': 113, 'neutral': 15}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 145, 'positive': 39, 'negative': 90, 'neutral': 16}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 26, 'positive': 8, 'negative': 17, 'neutral': 1}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 275, 'positive': 168, 'negative': 84, 'neutral': 23}]"
The Alexander,"Modern quarters in an upscale hotel with custom artwork, massage therapists, a bar & dining options.","{'latitude': 39.7618122, 'longitude': -86.1544677}",4,https://www.marriott.com/en-us/hotels/indax-the-alexander/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 1311}, {'stars': 4, 'count': 438}, {'stars': 3, 'count': 128}, {'stars': 2, 'count': 63}, {'stars': 1, 'count': 86}]",2026,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 193, 'positive': 144, 'negative': 32, 'neutral': 17}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 34, 'positive': 25, 'negative': 4, 'neutral': 5}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 142, 'positive': 68, 'negative': 52, 'neutral': 22}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 171, 'positive': 132, 'negative': 25, 'neutral': 14}, {'name': 'Business', 'description': 'Business', 'total_mentioned': 83, 'positive': 55, 'negative': 10, 'neutral': 18}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 218, 'positive': 178, 'negative': 16, 'neutral': 24}]"
Red Roof Inn Indianapolis - Castleton,"Warm, down-to-earth rooms in a budget hotel offering complimentary parking & Wi-Fi.","{'latitude': 39.9024959, 'longitude': -86.0465645}",2,https://www.redroof.com/property/in/indianapolis/RRI827?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI827,"[{'stars': 5, 'count': 187}, {'stars': 4, 'count': 126}, {'stars': 3, 'count': 133}, {'stars': 2, 'count': 88}, {'stars': 1, 'count': 209}]",743,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 17, 'positive': 3, 'negative': 9, 'neutral': 5}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 213, 'positive': 88, 'negative': 102, 'neutral': 23}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 105, 'positive': 11, 'negative': 86, 'neutral': 8}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 120, 'positive': 21, 'negative': 88, 'neutral': 11}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 167, 'positive': 75, 'negative': 80, 'neutral': 12}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 214, 'positive': 87, 'negative': 107, 'neutral': 20}]"
Conrad Indianapolis,"This refined 23-story hotel offers meeting space & a modern spa, plus a wine bar & art gallery.","{'latitude': 39.767596999999995, 'longitude': -86.15935499999999}",5,https://www.hilton.com/en/hotels/indcici-conrad-indianapolis/?SEO_id=GMB-AMER-CN-INDCICI&y_source=1_MTEzMzIxNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"[{'stars': 5, 'count': 1201}, {'stars': 4, 'count': 222}, {'stars': 3, 'count': 70}, {'stars': 2, 'count': 38}, {'stars': 1, 'count': 57}]",1588,"[{'name': 'Spa', 'description': 'Spa', 'total_mentioned': 55, 'positive': 44, 'negative': 4, 'neutral': 7}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 66, 'positive': 55, 'negative': 3, 'neutral': 8}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 51, 'positive': 39, 'negative': 2, 'neutral': 10}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 103, 'positive': 58, 'negative': 32, 'neutral': 13}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 75, 'positive': 54, 'negative': 13, 'neutral': 8}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 524, 'positive': 455, 'negative': 51, 'neutral': 18}]"
Ironworks Hotel Indy,"Industrial-chic quarters in a trendy hotel offering 3 restaurant/bars, plus a gym & free parking.","{'latitude': 39.911991199999996, 'longitude': -86.11812479999999}",4,https://ironworkshotelindy.com/,"[{'stars': 5, 'count': 941}, {'stars': 4, 'count': 111}, {'stars': 3, 'count': 16}, {'stars': 2, 'count': 7}, {'stars': 1, 'count': 20}]",1095,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 32, 'positive': 28, 'negative': 1, 'neutral': 3}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 36, 'positive': 28, 'negative': 2, 'neutral': 6}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 57, 'positive': 45, 'negative': 9, 'neutral': 3}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 12, 'positive': 9, 'negative': 2, 'neutral': 1}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 79, 'positive': 70, 'negative': 6, 'neutral': 3}, {'name': 'Atmosphere', 'description': 'Atmosphere', 'total_mentioned': 129, 'positive': 127, 'negative': 1, 'neutral': 1}]"
