Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
"Hotel Carmichael, Autograph Collection","Genteel hotel along the Monon Trail with a French restaurant, a bar & a live entertainment venue.","{'latitude': 39.970100699999996, 'longitude': -86.12917999999999}",4,https://www.marriott.com/en-us/hotels/indak-hotel-carmichael-autograph-collection/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 290}, {'stars': 4, 'count': 40}, {'stars': 3, 'count': 17}, {'stars': 2, 'count': 11}, {'stars': 1, 'count': 12}]",370,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 21, 'positive': 14, 'negative': 4, 'neutral': 3}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 25, 'positive': 20, 'negative': 2, 'neutral': 3}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 10, 'positive': 3, 'negative': 4, 'neutral': 3}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 29, 'positive': 14, 'negative': 12, 'neutral': 3}, {'name': 'Business', 'description': 'Business', 'total_mentioned': 9, 'positive': 6, 'negative': 0, 'neutral': 3}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 142, 'positive': 125, 'negative': 10, 'neutral': 7}]"
Ironworks Hotel Indy,"Industrial-chic quarters in a trendy hotel offering 3 restaurant/bars, plus a gym & free parking.","{'latitude': 39.911991199999996, 'longitude': -86.11812479999999}",4,https://ironworkshotelindy.com/,"[{'stars': 5, 'count': 941}, {'stars': 4, 'count': 111}, {'stars': 3, 'count': 16}, {'stars': 2, 'count': 7}, {'stars': 1, 'count': 20}]",1095,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 32, 'positive': 28, 'negative': 1, 'neutral': 3}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 36, 'positive': 28, 'negative': 2, 'neutral': 6}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 57, 'positive': 45, 'negative': 9, 'neutral': 3}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 12, 'positive': 9, 'negative': 2, 'neutral': 1}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 79, 'positive': 70, 'negative': 6, 'neutral': 3}, {'name': 'Atmosphere', 'description': 'Atmosphere', 'total_mentioned': 129, 'positive': 127, 'negative': 1, 'neutral': 1}]"
Sybaris Indianapolis,"Luxe lodging offering refined suites with private pools, steam rooms & fireplaces, plus free Wi-Fi.","{'latitude': 39.911426999999996, 'longitude': -86.25727850000001}",2,http://www.sybaris.com/,"[{'stars': 5, 'count': 1468}, {'stars': 4, 'count': 186}, {'stars': 3, 'count': 61}, {'stars': 2, 'count': 25}, {'stars': 1, 'count': 33}]",1773,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 252, 'positive': 237, 'negative': 7, 'neutral': 8}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 132, 'positive': 101, 'negative': 19, 'neutral': 12}, {'name': 'Spa', 'description': 'Spa', 'total_mentioned': 68, 'positive': 50, 'negative': 11, 'neutral': 7}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 259, 'positive': 215, 'negative': 30, 'neutral': 14}, {'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 72, 'positive': 50, 'negative': 16, 'neutral': 6}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 124, 'positive': 109, 'negative': 11, 'neutral': 4}]"
TownePlace Suites Indianapolis Park 100,"Casual studios & suites in a straightforward hotel offering a fitness room, plus free breakfast.","{'latitude': 39.8823714, 'longitude': -86.26286750000001}",3,https://www.marriott.com/en-us/hotels/indts-towneplace-suites-indianapolis-park-100/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 216}, {'stars': 4, 'count': 102}, {'stars': 3, 'count': 60}, {'stars': 2, 'count': 21}, {'stars': 1, 'count': 35}]",434,"[{'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 50, 'positive': 33, 'negative': 5, 'neutral': 12}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 44, 'positive': 23, 'negative': 14, 'neutral': 7}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 118, 'positive': 76, 'negative': 36, 'neutral': 6}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 10, 'positive': 7, 'negative': 2, 'neutral': 1}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 135, 'positive': 108, 'negative': 24, 'neutral': 3}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 21, 'positive': 16, 'negative': 0, 'neutral': 5}]"
Renaissance Indianapolis North Hotel,"Sophisticated property with American dining, plus an indoor pool & a fitness center.","{'latitude': 39.9646755, 'longitude': -86.15627889999999}",4,https://www.marriott.com/en-us/hotels/indbr-renaissance-indianapolis-north-hotel/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 855}, {'stars': 4, 'count': 332}, {'stars': 3, 'count': 78}, {'stars': 2, 'count': 23}, {'stars': 1, 'count': 41}]",1329,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 22, 'positive': 10, 'negative': 5, 'neutral': 7}, {'name': 'Business', 'description': 'Business', 'total_mentioned': 140, 'positive': 100, 'negative': 11, 'neutral': 29}, {'name': 'Gym', 'description': 'Gym', 'total_mentioned': 17, 'positive': 15, 'negative': 2, 'neutral': 0}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 20, 'positive': 11, 'negative': 5, 'neutral': 4}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 8, 'positive': 1, 'negative': 6, 'neutral': 1}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 20, 'positive': 7, 'negative': 8, 'neutral': 5}]"
Hotel Broad Ripple,"Relaxed hotel with airy, individually decorated rooms, some with balconies, plus a bar/lounge.","{'latitude': 39.8742571, 'longitude': -86.14173070000001}",3,https://www.hotelbroadripple.com/,"[{'stars': 5, 'count': 102}, {'stars': 4, 'count': 9}, {'stars': 3, 'count': 0}, {'stars': 2, 'count': 2}, {'stars': 1, 'count': 0}]",113,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 15, 'positive': 14, 'negative': 0, 'neutral': 1}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 40, 'positive': 40, 'negative': 0, 'neutral': 0}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 55, 'positive': 54, 'negative': 1, 'neutral': 0}, {'name': 'Atmosphere', 'description': 'Atmosphere', 'total_mentioned': 13, 'positive': 13, 'negative': 0, 'neutral': 0}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 41, 'positive': 41, 'negative': 0, 'neutral': 0}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 14, 'positive': 13, 'negative': 1, 'neutral': 0}]"
TownePlace Suites Indianapolis Keystone,"Unassuming all-suite hotel offering an exercise room & an outdoor pool, plus free breakfast & Wi-Fi.","{'latitude': 39.9102694, 'longitude': -86.1083929}",2,https://www.marriott.com/en-us/hotels/indtk-towneplace-suites-indianapolis-keystone/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 152}, {'stars': 4, 'count': 108}, {'stars': 3, 'count': 58}, {'stars': 2, 'count': 26}, {'stars': 1, 'count': 47}]",391,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 15, 'positive': 10, 'negative': 4, 'neutral': 1}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 40, 'positive': 20, 'negative': 16, 'neutral': 4}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 43, 'positive': 22, 'negative': 16, 'neutral': 5}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 51, 'positive': 46, 'negative': 2, 'neutral': 3}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 103, 'positive': 58, 'negative': 41, 'neutral': 4}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 123, 'positive': 90, 'negative': 29, 'neutral': 4}]"
Courtyard Indianapolis Northwest,"Straightforward hotel with contemporary rooms & a patio fire pit, plus an indoor pool & free WiFi.","{'latitude': 39.8837958, 'longitude': -86.2677513}",3,https://www.marriott.com/en-us/hotels/indnw-courtyard-indianapolis-northwest/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 232}, {'stars': 4, 'count': 124}, {'stars': 3, 'count': 53}, {'stars': 2, 'count': 25}, {'stars': 1, 'count': 26}]",460,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 126, 'positive': 89, 'negative': 31, 'neutral': 6}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 21, 'positive': 12, 'negative': 5, 'neutral': 4}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 31, 'positive': 7, 'negative': 16, 'neutral': 8}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 100, 'positive': 79, 'negative': 16, 'neutral': 5}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 40, 'positive': 26, 'negative': 8, 'neutral': 6}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 20, 'positive': 2, 'negative': 12, 'neutral': 6}]"
Red Roof Inn Indianapolis - Castleton,"Warm, down-to-earth rooms in a budget hotel offering complimentary parking & Wi-Fi.","{'latitude': 39.9024959, 'longitude': -86.0465645}",2,https://www.redroof.com/property/in/indianapolis/RRI827?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI827,"[{'stars': 5, 'count': 187}, {'stars': 4, 'count': 126}, {'stars': 3, 'count': 133}, {'stars': 2, 'count': 88}, {'stars': 1, 'count': 209}]",743,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 17, 'positive': 3, 'negative': 9, 'neutral': 5}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 213, 'positive': 88, 'negative': 102, 'neutral': 23}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 105, 'positive': 11, 'negative': 86, 'neutral': 8}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 120, 'positive': 21, 'negative': 88, 'neutral': 11}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 167, 'positive': 75, 'negative': 80, 'neutral': 12}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 214, 'positive': 87, 'negative': 107, 'neutral': 20}]"
Fairfield Inn & Suites Indianapolis Northwest,"Simple hotel with an indoor pool & fitness facilities, plus free Wi-Fi & hot breakfast.","{'latitude': 39.9100493, 'longitude': -86.2647477}",3,https://www.marriott.com/en-us/hotels/indfn-fairfield-inn-and-suites-indianapolis-northwest/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 263}, {'stars': 4, 'count': 127}, {'stars': 3, 'count': 53}, {'stars': 2, 'count': 20}, {'stars': 1, 'count': 31}]",494,"[{'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 77, 'positive': 53, 'negative': 13, 'neutral': 11}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 39, 'positive': 28, 'negative': 5, 'neutral': 6}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 168, 'positive': 132, 'negative': 27, 'neutral': 9}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 29, 'positive': 17, 'negative': 9, 'neutral': 3}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 127, 'positive': 102, 'negative': 16, 'neutral': 9}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 18, 'positive': 14, 'negative': 3, 'neutral': 1}]"
