Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Lively Loft Hideaway - Minutes to French Qtr Ferry,N/A,"{'latitude': 29.948944091796875, 'longitude': -90.04987335205078}",N/A,https://particularpoint.com/property/particular-point-one,N/A,635,N/A
Modern New Orleans Getaway: Central Location!,N/A,"{'latitude': 29.941757202148438, 'longitude': -90.05089569091797}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3339272&lc=google,N/A,6,N/A
Birth of Jazz Immersive- near French Quarter- Pool,N/A,"{'latitude': 29.917339324951172, 'longitude': -90.00750732421875}",N/A,https://regalretreats.lodgify.com/listing/en/679683,N/A,N/A,N/A
Modern Luxury in the Marigny w/ HEATED POOL option,N/A,"{'latitude': 29.968101501464844, 'longitude': -90.0510482788086}",N/A,https://www.booking.com/hotel/us/modern-luxury-in-the-marigny-w-heated-pool-option.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-10205567_grp-3_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-10205567;utm_campaign=en,N/A,N/A,N/A
Historic Algiers Point Treehouse,N/A,"{'latitude': 29.954740524291992, 'longitude': -90.05265045166016}",N/A,https://www.bluepillow.com/search?p_id=5a63f498e864c01c688c4d35&dest=bpex&cat=House&accomodationids=65cb8b423e6d928972faea42,N/A,N/A,N/A
"Beautiful home in Algiers, 12 minute ride to downtown New Orleans.",N/A,"{'latitude': 29.918596267700195, 'longitude': -90.02625274658203}",N/A,https://www.vrbo.com/3942052?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Historic home in Algiers Point !!!,N/A,"{'latitude': 29.949981689453125, 'longitude': -90.05308532714844}",N/A,N/A,N/A,N/A,N/A
Historic Algiers,N/A,"{'latitude': 29.945829391479492, 'longitude': -90.03514099121094}",N/A,https://www.bluepillow.com/search?p_id=5a63f498e864c01c688c4d35&dest=bpex&cat=House&accomodationids=65cb94bc3e6d928972fcd3f0,N/A,N/A,N/A
Algiers Point Historic 2BD Beauty Steps to Ferry,N/A,"{'latitude': 29.952436447143555, 'longitude': -90.04975891113281}",N/A,N/A,N/A,14,N/A
New Orleans Lady-6miles to FQ/w&d/Pets Ok,N/A,"{'latitude': 29.922260284423828, 'longitude': -89.99736022949219}",N/A,https://www.destinationhq.org/new-orleans-ladypool-tablewdpets-ok-orp5b5358ax,N/A,42,N/A
Adorable 3 Bedroom Home in Historic Algiers Point!,N/A,"{'latitude': 29.947145462036133, 'longitude': -90.05060577392578}",N/A,https://www.vrbo.com/4219144?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Algiers Cozy Creole Cottage near local restaurants and minutes to Downtown,N/A,"{'latitude': 29.95354652404785, 'longitude': -90.04777526855469}",N/A,https://www.us.despegar.com/hotels/h-6015739,N/A,N/A,N/A
The Algiers Oasis New Orleans,N/A,"{'latitude': 29.947826385498047, 'longitude': -90.05199432373047}",N/A,https://www.savorspaces.com/listing/en/516501,N/A,N/A,N/A
121 m² Ferienhaus ∙ 3 Schlafzimmer ∙ 6 Gäste,N/A,"{'latitude': 29.953899383544922, 'longitude': -90.04283905029297}",N/A,https://www.e-domizil.at/rental/364eee11298fa4d7?adword=edom_gvf/DE/s/ct=s/n-a/n-a/5460aeac1d0f1&utm_source=gvf,N/A,N/A,N/A
"Nola Vibes - 3-bedroom apartment in fabulous Algiers Point,  New Orleans.",N/A,"{'latitude': 29.948135375976562, 'longitude': -90.05065155029297}",N/A,N/A,N/A,1,N/A
Charming 2BR - Short Walk to French Quarter Ferry,N/A,"{'latitude': 29.94894790649414, 'longitude': -90.04995727539062}",N/A,https://particularpoint.com/property/particular-point-two,N/A,496,N/A
Amazing 7 BR - Next To Frenchman St,N/A,"{'latitude': 29.96339988708496, 'longitude': -90.05370330810547}",N/A,https://www.super.com/travel/hotels/W3DwVQ1l?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
Best Location! 4 BR! Next to FR Quarter & Bourbon,N/A,"{'latitude': 29.96337890625, 'longitude': -90.0537109375}",N/A,https://new.rentalsunited.com/Property/2639787?sc=554691,N/A,N/A,N/A
