Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Jazz & Blues House - Two-Bedroom House,N/A,"{'latitude': 29.961790084838867, 'longitude': -90.0081787109375}",N/A,N/A,N/A,N/A,N/A
NOLA Getaway - Three-Bedroom House,N/A,"{'latitude': 29.95800018310547, 'longitude': -90.0217514038086}",N/A,N/A,N/A,N/A,N/A
"Private Bywater Cottage - Courtyard, WiFi, Laundry, Near restaurants\/bars",N/A,"{'latitude': 29.96275520324707, 'longitude': -90.03435516357422}",N/A,N/A,N/A,71,N/A
Historical Old Arabi Charm,N/A,"{'latitude': 29.949769973754883, 'longitude': -90.00849151611328}",N/A,https://www.bluepillow.com/search?p_id=5a63f498e864c01c688c4d35&dest=bpvr&cat=House&accomodationids=62175840a7239796806e7f18,N/A,N/A,N/A
"GREEN DOOR COTTAGE 
Charming New Orleans home 10 mins from the French Quarter.",N/A,"{'latitude': 29.954368591308594, 'longitude': -90.00731658935547}",N/A,https://www.vrbo.com/4175851?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,3,N/A
GREEN DOOR COTTAGE Charming New Orleans home 10 mins from the French Quarter.,N/A,"{'latitude': 29.955785751342773, 'longitude': -90.00544738769531}",N/A,https://www.us.despegar.com/hotels/h-6255718,N/A,N/A,N/A
Best Rate- Beautiful home minutes to French Quarter,N/A,"{'latitude': 29.954069137573242, 'longitude': -90.0063705444336}",N/A,N/A,N/A,353,N/A
Watching the River Flow in Historic Holy Cross,N/A,"{'latitude': 29.955089569091797, 'longitude': -90.02265167236328}",N/A,N/A,N/A,84,N/A
New Orleans Lady-6miles to FQ/w&d/Pets Ok,N/A,"{'latitude': 29.922260284423828, 'longitude': -89.99736022949219}",N/A,https://www.destinationhq.org/new-orleans-ladypool-tablewdpets-ok-orp5b5358ax,N/A,42,N/A
Historic Mansion,N/A,"{'latitude': 29.949705123901367, 'longitude': -90.00484466552734}",N/A,https://www.booking.com/hotel/us/historic-mansion-arabi.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-11979059_grp-3_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-11979059;utm_campaign=en,N/A,N/A,N/A
Historic Old Arabi home 10 minutes from the French Quarter.,N/A,"{'latitude': 29.950090408325195, 'longitude': -90.00293731689453}",N/A,https://www.bluepillow.com/search?p_id=5a63f498e864c01c688c4d35&dest=bpex&cat=House&accomodationids=623364334c4d8d9b9b731dc4,N/A,N/A,N/A
New Orleans Duplex: 2 Mi to Bourbon Street!,N/A,"{'latitude': 29.967994689941406, 'longitude': -90.03218841552734}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3791457&lc=google,N/A,9,N/A
Historic New Orleans-Style Gem - 4 Miles from French Quarter!,N/A,"{'latitude': 29.950212478637695, 'longitude': -90.00494384765625}",N/A,N/A,N/A,220,N/A
New Orleans style cottage 10 min from the French Quarter!,N/A,"{'latitude': 29.95136070251465, 'longitude': -90.00456237792969}",N/A,https://www.bluepillow.com/search?p_id=5a63f498e864c01c688c4d35&dest=bpex&cat=House&accomodationids=65cb82383e6d928972f773b9,N/A,N/A,N/A
Maison Bleue,N/A,"{'latitude': 29.963512420654297, 'longitude': -90.00846099853516}",N/A,N/A,N/A,N/A,N/A
Sage Retreat NOLA,N/A,"{'latitude': 29.95492935180664, 'longitude': -90.01380157470703}",N/A,https://www.vrbo.com/3900572?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Arabi Home w/ Deck: 7 Mi to Downtown New Orleans!,N/A,"{'latitude': 29.954769134521484, 'longitude': -89.99345397949219}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3858724&lc=google,N/A,N/A,N/A
"Historic Mansion, Five Miles from French Quarter",N/A,"{'latitude': 29.95224952697754, 'longitude': -90.00328063964844}",N/A,https://www.bluepillow.com/search?p_id=5a63f498e864c01c688c4d35&dest=bpex&cat=House&accomodationids=65cb2b313e6d928972f3edcb,N/A,N/A,N/A
