Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
"""Constance"" 5bd Designer Home Walk To Everything",N/A,"{'latitude': 29.937868118286133, 'longitude': -90.0700454711914}",N/A,https://www.dearvalentine.co/constance,N/A,3,N/A
Garden District 3BD 2BA Parking Stylish  Unique,N/A,"{'latitude': 29.928070068359375, 'longitude': -90.074951171875}",N/A,N/A,N/A,N/A,N/A
Birth of Jazz Immersive- near French Quarter- Pool,N/A,"{'latitude': 29.917339324951172, 'longitude': -90.00750732421875}",N/A,https://regalretreats.lodgify.com/listing/en/679683,N/A,N/A,N/A
"Plenty of parking ,fully stocked kitchen, and relaxation",N/A,"{'latitude': 29.92298126220703, 'longitude': -90.0752944946289}",N/A,N/A,N/A,4,N/A
Entire Luxury Lodge,N/A,"{'latitude': 29.835832595825195, 'longitude': -89.98497009277344}",N/A,https://palomalakela.lodgify.com/listing/en/397191,N/A,N/A,N/A
Studio Apartment - 15 min from Downtown New Orleans,N/A,"{'latitude': 29.911319732666016, 'longitude': -90.07402038574219}",N/A,https://www.bluepillow.com/search?p_id=5a63f498e864c01c688c4d35&dest=bpvr&cat=Apartment&accomodationids=64906c22ba24250813bf2179,N/A,N/A,N/A
1BR Condo in LGD + Balcony : Walk to Top Spots,N/A,"{'latitude': 29.93205451965332, 'longitude': -90.07413482666016}",N/A,https://booknola.com/property/unique-lower-garden-district-condo-w-balcony/,N/A,247,N/A
"New Orleans 2 Bedroom, 2 Bath Condo",N/A,"{'latitude': 29.89320945739746, 'longitude': -90.00830841064453}",N/A,N/A,N/A,21,N/A
Best Lower Garden District Loc.,N/A,"{'latitude': 29.93914794921875, 'longitude': -90.07215881347656}",N/A,https://booknola.com/property/best-lower-garden-district-loc/,N/A,N/A,N/A
The Atlas House,N/A,"{'latitude': 29.937000274658203, 'longitude': -90.07150268554688}",N/A,https://www.super.com/travel/hotels/GwgD1raG?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
Beautiful Condo in Historic Building,N/A,"{'latitude': 29.93277359008789, 'longitude': -90.0739517211914}",N/A,N/A,N/A,2,N/A
"Irish Channel Charm.  Cozy,  Convienent, and Charming.  Pet-Friendly!",N/A,"{'latitude': 29.925003051757812, 'longitude': -90.08269500732422}",N/A,N/A,N/A,N/A,N/A
"Rest, Relax, Recharge in Fully Equipped 1BR Space",N/A,"{'latitude': 29.938819885253906, 'longitude': -90.07303619384766}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D116829014%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Stunning 1Br In Irish Channel By Sonder,N/A,"{'latitude': 29.92639923095703, 'longitude': -90.07420349121094}",N/A,https://www.super.com/travel/hotels/jB151zel?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
Great Monthly Rate with Cleaning Included,N/A,"{'latitude': 29.88878059387207, 'longitude': -90.0091323852539}",N/A,N/A,N/A,N/A,N/A
"Pet Friendly 2 BR Cottage*Park View *Huge Yard, Front Porch + Patio",N/A,"{'latitude': 29.93273162841797, 'longitude': -90.0742416381836}",N/A,N/A,N/A,22,N/A
Elegant New Orleans Escape w/ Furnished Porch!,N/A,"{'latitude': 29.934728622436523, 'longitude': -90.01435852050781}",N/A,https://www.us.despegar.com/hotels/h-5599374,N/A,N/A,N/A
2BR LGD/Magazine Street Cottage - Unbeatable Location,N/A,"{'latitude': 29.93737030029297, 'longitude': -90.07355499267578}",N/A,N/A,N/A,3,N/A
