Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Sports life,N/A,"{'latitude': 39.27035140991211, 'longitude': -76.61176300048828}",N/A,N/A,N/A,3,N/A
Luxe Severn Home w/ Fire Pit & Gazebo!,N/A,"{'latitude': 39.1209831237793, 'longitude': -76.71161651611328}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3860493&lc=google,N/A,1,N/A
Comfy Cozy and Cute,N/A,"{'latitude': 39.2844123840332, 'longitude': -76.5927734375}",N/A,https://www.booking.com/hotel/us/comfy-cozy-and-cute.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-10442024_grp-0_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-10442024;utm_campaign=en,N/A,11,N/A
Tiny House 24/7 No Contact Self Check-In BWI area,N/A,"{'latitude': 39.14966583251953, 'longitude': -76.5749740600586}",N/A,N/A,N/A,2,N/A
Landing at 1111 Light Street - 1 Bedroom in Riverside,N/A,"{'latitude': 39.27676010131836, 'longitude': -76.61207580566406}",N/A,https://landing.holidayfuture.com/listings/223511?googleVR=1,N/A,N/A,N/A
Entire House Near BWI Airport Glen Burnie MD,N/A,"{'latitude': 39.18952941894531, 'longitude': -76.6464614868164}",N/A,N/A,N/A,22,N/A
Traveling Professionals-Entire Home+Parking+W/D,N/A,"{'latitude': 39.14809036254883, 'longitude': -76.73045349121094}",N/A,https://www.us.despegar.com/hotels/h-5053636,N/A,N/A,N/A
Luxury Home Near Harbor With Roofdeck & Parking,N/A,"{'latitude': 39.27119827270508, 'longitude': -76.60449981689453}",N/A,https://www.super.com/travel/hotels/Gr672mvG?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
The Cozy Suite .....,N/A,"{'latitude': 39.19501876831055, 'longitude': -76.65184020996094}",N/A,https://www.bluepillow.com/search?p_id=589dfde27c00cb10c8dad408&dest=bpvr&cat=Apartment&accomodationids=62175fada723979680713fbf,N/A,N/A,N/A
Federal Hill Entire 1bed 1ba Apt for Travel Pro,N/A,"{'latitude': 39.27199935913086, 'longitude': -76.61199951171875}",N/A,http://www.breezybayhome.com/1-brm-1ba-fedhill-by-hospitals-orp5b650c3x,N/A,1,N/A
7 Mi to Baltimore: Maryland Gem w/ Shared Yard!,N/A,"{'latitude': 39.21427917480469, 'longitude': -76.6206283569336}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3872319&lc=google,N/A,N/A,N/A
Private detached 1bedroom guest house.,N/A,"{'latitude': 39.17167663574219, 'longitude': -76.59681701660156}",N/A,N/A,N/A,36,N/A
Charming Home Near Harbor&stadiums W/2carparking,N/A,"{'latitude': 39.27180099487305, 'longitude': -76.61329650878906}",N/A,https://www.super.com/travel/hotels/W2d0AkKj?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
Lovely 1 Bedroom efficiency with Indoor Fireplace,N/A,"{'latitude': 39.26173782348633, 'longitude': -76.65865325927734}",N/A,N/A,N/A,N/A,N/A
"The Savvy Traveler, Pool - Gym - Fast Internet - BWI - New Listing",N/A,"{'latitude': 39.20383071899414, 'longitude': -76.67552185058594}",N/A,https://www.bluepillow.com/search?p_id=589dfde87c00cb10c8dad453&dest=bpvr&cat=Apartment&accomodationids=62177bbba7239796807cd8e5,N/A,4,N/A
"King Studio Near BWI Airport. Free Breakfast, Outdoor Pool | Staybridge",N/A,"{'latitude': 39.20487976074219, 'longitude': -76.69219970703125}",N/A,N/A,N/A,3,N/A
Landing at 1405 Point - 2 Bedrooms in Fells Point,N/A,"{'latitude': 39.28020477294922, 'longitude': -76.59717559814453}",N/A,https://landing.holidayfuture.com/listings/223380?googleVR=1,N/A,N/A,N/A
"Best Value, Quality Stay! Free Breakfast, w\/ Pool, Near M&T Bank Stadium!",N/A,"{'latitude': 39.20355987548828, 'longitude': -76.67803955078125}",N/A,N/A,N/A,N/A,N/A
