Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
NOLA Getaway - Three-Bedroom House,N/A,"{'latitude': 29.95800018310547, 'longitude': -90.0217514038086}",N/A,N/A,N/A,N/A,N/A
Jazz & Blues House - Two-Bedroom House,N/A,"{'latitude': 29.961790084838867, 'longitude': -90.0081787109375}",N/A,N/A,N/A,N/A,N/A
Birth of Jazz Immersive- near French Quarter- Pool,N/A,"{'latitude': 29.917339324951172, 'longitude': -90.00750732421875}",N/A,https://regalretreats.lodgify.com/listing/en/679683,N/A,N/A,N/A
Spacious 1-Bedroom (+ 2nd Bedroom Option) Rental in Safest Area of New Orleans,N/A,"{'latitude': 29.940839767456055, 'longitude': -89.97425842285156}",N/A,https://www.bluepillow.com/search?p_id=589dfe127c00cb10c8dad6e9&dest=bpex&cat=House&accomodationids=63974ea5fc70cceab61b5ac3,N/A,N/A,N/A
2-Story cottage w pool+bonfire,N/A,"{'latitude': 29.941965103149414, 'longitude': -89.96302032470703}",N/A,https://www.us.despegar.com/hotels/h-5942770,N/A,N/A,N/A
2 BEDROOM TOWNHOUSE NEAR FRENCH QUARTER,N/A,"{'latitude': 29.949737548828125, 'longitude': -89.96234893798828}",N/A,N/A,N/A,15,N/A
Minutes  to French Quarter and Downtown.  3 bedrooms. LOW RATES!  $275. a night.,N/A,"{'latitude': 29.945886611938477, 'longitude': -89.97655487060547}",N/A,N/A,N/A,144,N/A
"Cozy cottage perfect for Swifties, just 7.5 miles from the Superdome. Safe area!",N/A,"{'latitude': 29.946359634399414, 'longitude': -89.98007202148438}",N/A,https://www.bluepillow.com/search?p_id=589dfe127c00cb10c8dad6e9&dest=bpvr&cat=Cottage&accomodationids=65cbad94d1633aac91794bf3,N/A,N/A,N/A
New Orleans Lady-6miles to FQ/w&d/Pets Ok,N/A,"{'latitude': 29.922260284423828, 'longitude': -89.99736022949219}",N/A,https://www.destinationhq.org/new-orleans-ladypool-tablewdpets-ok-orp5b5358ax,N/A,42,N/A
"NEAR FRENCH QUARTER - 2 Bedroom Townhouse, SAFE neighbornood",N/A,"{'latitude': 29.94797134399414, 'longitude': -89.96309661865234}",N/A,N/A,N/A,114,N/A
New Orleans Duplex: 2 Mi to Bourbon Street!,N/A,"{'latitude': 29.967994689941406, 'longitude': -90.03218841552734}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3791457&lc=google,N/A,9,N/A
Arabi Home w/ Deck: 7 Mi to Downtown New Orleans!,N/A,"{'latitude': 29.954769134521484, 'longitude': -89.99345397949219}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3858724&lc=google,N/A,N/A,N/A
Cottage home 20 mins from NOLA French Quarter,N/A,"{'latitude': 29.938589096069336, 'longitude': -89.9610824584961}",N/A,https://www.bluepillow.com/search?p_id=589dfe127c00cb10c8dad6e9&dest=bpvr&cat=House&accomodationids=65cc5dfcd1633aac917c8981,N/A,N/A,N/A
"NEW ORLEANS LADY- POOL TABLE, Pets OK, 4 BDRM",N/A,"{'latitude': 29.9222469329834, 'longitude': -89.99735260009766}",N/A,https://www.booking.com/hotel/us/new-orleans-lady-6miles-to-fq-w-amp-d-pets-ok.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-10662321_grp-1_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-10662321;utm_campaign=en,N/A,2,N/A
A Cozy Getaway From a Long Day!,N/A,"{'latitude': 29.944660186767578, 'longitude': -89.94830322265625}",N/A,N/A,N/A,N/A,N/A
Historic Mansion - Villa,N/A,"{'latitude': 29.949705123901367, 'longitude': -90.00484466552734}",N/A,https://whimstay.com/detail/Historic-Mansion-Villa/484049?isgoogle=true,N/A,N/A,N/A
Home Away from Home,N/A,"{'latitude': 29.940439224243164, 'longitude': -89.95284271240234}",N/A,https://www.bluepillow.com/search?p_id=589dfe127c00cb10c8dad6e9&dest=bpex&cat=House&accomodationids=65cb81643e6d928972f71ad0,N/A,N/A,N/A
New Orleans Home w/ Backyard Near French Quarter,N/A,"{'latitude': 29.928630828857422, 'longitude': -90.00602722167969}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3506428&lc=google,N/A,N/A,N/A
