Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Roami at The Lola | Near Bourbon St. | Bach Suite,N/A,"{'latitude': 29.939435958862305, 'longitude': -90.06526184082031}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=2804342,N/A,22,N/A
2BR/2BA Retreat at The Heart of New Orleans,N/A,"{'latitude': 29.939035415649414, 'longitude': -90.0750503540039}",N/A,N/A,N/A,5,N/A
Modern New Orleans Getaway: Central Location!,N/A,"{'latitude': 29.941757202148438, 'longitude': -90.05089569091797}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3339272&lc=google,N/A,6,N/A
Chic and Roomy Urban Getaway in New Orleans,N/A,"{'latitude': 29.939682006835938, 'longitude': -90.07882690429688}",N/A,N/A,N/A,19,N/A
Lively Loft Hideaway - Minutes to French Qtr Ferry,N/A,"{'latitude': 29.948944091796875, 'longitude': -90.04987335205078}",N/A,https://particularpoint.com/property/particular-point-one,N/A,635,N/A
Birth of Jazz Immersive- near French Quarter- Pool,N/A,"{'latitude': 29.917339324951172, 'longitude': -90.00750732421875}",N/A,https://regalretreats.lodgify.com/listing/en/679683,N/A,N/A,N/A
Modern Condo Steps to St. Charles Ave & Close to FQ,N/A,"{'latitude': 29.941774368286133, 'longitude': -90.07503509521484}",N/A,https://www.hosteeva.com/properties/available/details/10573-modern-condo-steps-to-st-charles-ave-close-to-fq?external_channel=177,N/A,152,N/A
"\"" The LaCroix\"" 2 bedroom 2 bath New Orleans\/Superdome \/French Quarter",N/A,"{'latitude': 29.95057487487793, 'longitude': -90.0718994140625}",N/A,N/A,N/A,3,N/A
New Orleans CBD and Warehouse District: Modern Rustic Condo | 2 Bedroom 2 Bath,N/A,"{'latitude': 29.945220947265625, 'longitude': -90.07442474365234}",N/A,N/A,N/A,2,N/A
💜RARE FIND!! The LOCATION You Want To Stay In When Visiting Downtown NOLA! Queen Sleeper+Balcony,N/A,"{'latitude': 29.94809913635254, 'longitude': -90.06175994873047}",N/A,N/A,N/A,88,N/A
"""Constance"" 5bd Designer Home Walk To Everything",N/A,"{'latitude': 29.937868118286133, 'longitude': -90.0700454711914}",N/A,https://www.dearvalentine.co/constance,N/A,3,N/A
✨GLAM MEETS DOWNTOWN HISTORIC CHARMER✨Spacious Corner Condo with Sleeper Sofa | The Stella,N/A,"{'latitude': 29.944406509399414, 'longitude': -90.06428527832031}",N/A,N/A,N/A,67,N/A
Harcol House: Unit 302,N/A,"{'latitude': 29.94856071472168, 'longitude': -90.07342529296875}",N/A,N/A,N/A,3,N/A
🎺 💙Stay like a LOCAL! HISTORIC CHARM+MODERN LUXURY+BALCONY IN DOWNTOWN NOLA WALK EVERYWHERE,N/A,"{'latitude': 29.945846557617188, 'longitude': -90.06513977050781}",N/A,N/A,N/A,37,N/A
Garden District 3BD 2BA Parking Stylish  Unique,N/A,"{'latitude': 29.928070068359375, 'longitude': -90.074951171875}",N/A,N/A,N/A,N/A,N/A
Your New Orleans adventure starts here!,N/A,"{'latitude': 29.950481414794922, 'longitude': -90.06790161132812}",N/A,https://google.bookeddirectly.com/g/new-orleans/your-new-orleans-adventure-starts-here%2521/e54ea5,N/A,6,N/A
Pluto Rooftop Villa,N/A,"{'latitude': 29.93807029724121, 'longitude': -90.08186340332031}",N/A,N/A,N/A,11,N/A
Chic Urban Retreat: Elegant Condo in the Heart of New Orleans' CBD,N/A,"{'latitude': 29.947603225708008, 'longitude': -90.07456970214844}",N/A,N/A,N/A,3,N/A
