Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Relaxing Suite A- 2 minutes to Phoebe,N/A,"{'latitude': 31.59613037109375, 'longitude': -84.1662368774414}",N/A,https://www.bluepillow.com/search?p_id=5a06bbc8a064b2175c5294b8&dest=bpex&cat=Apartment&accomodationids=63975043fc70cceab61bfdd2,N/A,N/A,N/A
InTown Suites Extended Stay Albany GA,N/A,"{'latitude': 31.621999740600586, 'longitude': -84.22586059570312}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D32062505%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,10,N/A
2br Getaway,N/A,"{'latitude': 31.594470977783203, 'longitude': -84.16807556152344}",N/A,N/A,N/A,4,N/A
"Charming 2-bedroom Boho style apartment with AC, WiFi in cool Albany",N/A,"{'latitude': 31.58525276184082, 'longitude': -84.15411376953125}",N/A,https://www.vrbo.com/4186379?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
The Lounge,N/A,"{'latitude': 31.31835174560547, 'longitude': -83.92155456542969}",N/A,https://www.booking.com/hotel/us/the-lounge-doerun.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-10937551_grp-3_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-10937551;utm_campaign=en,N/A,N/A,N/A
Simple Urban Studio,N/A,"{'latitude': 31.599470138549805, 'longitude': -84.16288757324219}",N/A,https://www.bluepillow.com/search?p_id=5a06bbc8a064b2175c5294b8&dest=bpvr&cat=Apartment&accomodationids=64906f57ba24250813c23c98,N/A,1,N/A
Oasis Under The Oaks - Unit B,N/A,"{'latitude': 31.59684944152832, 'longitude': -84.17388153076172}",N/A,N/A,N/A,N/A,N/A
Southern Charm,N/A,"{'latitude': 31.5892333984375, 'longitude': -84.2276840209961}",N/A,N/A,N/A,13,N/A
Cozy Guesthouse,N/A,"{'latitude': 31.665281295776367, 'longitude': -84.27098846435547}",N/A,https://www.us.despegar.com/hotels/h-5628379,N/A,N/A,N/A
"Private, Quiet 1 bed. 1 bath and 1 extra room.”Cozy Forever”, close to Phoebe.",N/A,"{'latitude': 31.596355438232422, 'longitude': -84.19778442382812}",N/A,N/A,N/A,1,N/A
Spacious Albany Retreat Near Flint River Trail!,N/A,"{'latitude': 31.594152450561523, 'longitude': -84.15504455566406}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3733939&lc=google,N/A,1,N/A
"Modern, Wi-Fi, Luxury, Entire apartment\/1 room\/2 rooms\/3 rooms, book NOW!",N/A,"{'latitude': 31.63591194152832, 'longitude': -84.17180633544922}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D77443063%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Amazing Luxury House for Travelers,N/A,"{'latitude': 31.626220703125, 'longitude': -84.12039947509766}",N/A,N/A,N/A,8,N/A
Warrior Creek Cottage,N/A,"{'latitude': 31.448400497436523, 'longitude': -83.7902603149414}",N/A,https://www.vrbo.com/3517406?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,3,N/A
The House with the Barn Guest House,N/A,"{'latitude': 31.618549346923828, 'longitude': -84.27825927734375}",N/A,https://www.bluepillow.com/search?p_id=5a06bbc8a064b2175c5294b8&dest=bpex&cat=Apartment&accomodationids=62336f7b4c4d8d9b9b744ca1,N/A,N/A,N/A
Beautiful Private 3 Bedroom Home,N/A,"{'latitude': 31.551589965820312, 'longitude': -84.1231689453125}",N/A,N/A,N/A,30,N/A
The Little Southern Comfort,N/A,"{'latitude': 31.60755729675293, 'longitude': -84.18647003173828}",N/A,https://www.vrbo.com/3866027?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,1,N/A
Merry Acres Inn - Queen Room with Two Queen Beds,N/A,"{'latitude': 31.587980270385742, 'longitude': -84.18647766113281}",N/A,https://www.bluepillow.com/search?p_id=5a06bbc8a064b2175c5294b8&dest=bkng&cat=Apartment&accomodationids=5943967a7c00cb0e643bb626,N/A,80,N/A
