Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Extended Stay Haven-Big Car Port Parking,N/A,"{'latitude': 29.94025993347168, 'longitude': -90.19597625732422}",N/A,N/A,N/A,2,N/A
Luxury 1 Bedroom apartment in NOLA,N/A,"{'latitude': 29.9533748626709, 'longitude': -90.2044448852539}",N/A,N/A,N/A,N/A,N/A
Extended Stay Safe Haven-Big Car Port Parking!,N/A,"{'latitude': 29.940263748168945, 'longitude': -90.19598388671875}",N/A,https://EtikyalaEstatesLLC.holidayfuture.com/listings/290593?googleVR=1,N/A,2,N/A
Luxury Resort Style Apartment,N/A,"{'latitude': 29.95195960998535, 'longitude': -90.19525146484375}",N/A,https://www.bluepillow.com/search?p_id=5a63f498e864c01c688c4d35&dest=bpex&cat=Apartment&accomodationids=6233a67c4c4d8d9b9b7d1542,N/A,N/A,N/A
The Acadian,N/A,"{'latitude': 29.960783004760742, 'longitude': -90.15156555175781}",N/A,http://arlingtonrentals.com/unit-a,N/A,14,N/A
Amazing condo in Metairie,N/A,"{'latitude': 29.978090286254883, 'longitude': -90.19461059570312}",N/A,N/A,N/A,N/A,N/A
All New Adorable Metairie Cottage Easy Access To All That New Orleans Offers!,N/A,"{'latitude': 29.976816177368164, 'longitude': -90.17359924316406}",N/A,N/A,N/A,1,N/A
La Plaza Apartments,N/A,"{'latitude': 29.99530029296875, 'longitude': -90.15879821777344}",N/A,https://www.super.com/travel/hotels/G4V6XYgl?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
Brignac's Best Kept Secret!,N/A,"{'latitude': 29.953062057495117, 'longitude': -90.2136001586914}",N/A,N/A,N/A,N/A,N/A
5 Mi to City Park: New Orleans Area Home,N/A,"{'latitude': 29.993370056152344, 'longitude': -90.15731048583984}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3774338&lc=google,N/A,3,N/A
"Charming 2-bedroom house with AC, fitness room and WiFi in adorable Metairie",N/A,"{'latitude': 29.978708267211914, 'longitude': -90.2243881225586}",N/A,N/A,N/A,3,N/A
RAMADA LIMITED METAIRIE,N/A,"{'latitude': 30.000873565673828, 'longitude': -90.15489959716797}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D4027711%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
New Renovation- Centrally Located!!,N/A,"{'latitude': 29.95995330810547, 'longitude': -90.20111083984375}",N/A,N/A,N/A,4,N/A
Apartment w/ Patio: 15 Miles to French Quarter!,N/A,"{'latitude': 29.89982032775879, 'longitude': -90.20763397216797}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3126843&lc=google,N/A,N/A,N/A
"Cute cottage in safe, quiet area",N/A,"{'latitude': 29.95976448059082, 'longitude': -90.17375183105469}",N/A,N/A,N/A,N/A,N/A
Cozy 2 Bedroom 1 Mile to Ochsner,N/A,"{'latitude': 29.955713272094727, 'longitude': -90.17340850830078}",N/A,https://www.us.despegar.com/hotels/h-4995561,N/A,N/A,N/A
Execustay Palmetto  Creek,N/A,"{'latitude': 29.964088439941406, 'longitude': -90.18536376953125}",N/A,N/A,N/A,N/A,N/A
Beautiful 1 bedroom apartment in Nola,N/A,"{'latitude': 29.963228225708008, 'longitude': -90.18757629394531}",N/A,N/A,N/A,N/A,N/A
