Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
"Plenty of parking ,fully stocked kitchen, and relaxation",N/A,"{'latitude': 29.92298126220703, 'longitude': -90.0752944946289}",N/A,N/A,N/A,4,N/A
Studio Apartment - 15 min from Downtown New Orleans,N/A,"{'latitude': 29.911319732666016, 'longitude': -90.07402038574219}",N/A,https://www.bluepillow.com/search?p_id=5a63f498e864c01c688c4d35&dest=bpvr&cat=Apartment&accomodationids=64906c22ba24250813bf2179,N/A,N/A,N/A
Relaxing Home | Heated Pool & Spa,N/A,"{'latitude': 29.92329216003418, 'longitude': -90.07537841796875}",N/A,N/A,N/A,3,N/A
Spacious 5 BR 3.5 bath w private backyard,N/A,"{'latitude': 29.91815185546875, 'longitude': -90.08206176757812}",N/A,https://www.us.despegar.com/hotels/h-4846139,N/A,N/A,N/A
"Elegance on Magazine St., as seen on HGTV",N/A,"{'latitude': 29.919797897338867, 'longitude': -90.09107208251953}",N/A,https://www.madeagainrentals.com/listing/en/637267,N/A,N/A,N/A
Creole Cottage Uptown,N/A,"{'latitude': 29.91860008239746, 'longitude': -90.09120178222656}",N/A,https://www.super.com/travel/hotels/G6RZ96kG?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
2bd/2b Irish Channel live local,N/A,"{'latitude': 29.91741943359375, 'longitude': -90.09139251708984}",N/A,https://www.bluepillow.com/search?p_id=5a63f498e864c01c688c4d35&dest=bpvr&cat=House&accomodationids=6217774da7239796807aa6b9,N/A,20,N/A
Convenient Harvey Apt - 12 Mi to French Quarter!,N/A,"{'latitude': 29.862401962280273, 'longitude': -90.07487487792969}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3812427&lc=google,N/A,N/A,N/A
Renovated Home with Heated Pool | Garden District,N/A,"{'latitude': 29.9226131439209, 'longitude': -90.0772933959961}",N/A,N/A,N/A,5,N/A
Striking Victorian Suite steps from Magazine St.,N/A,"{'latitude': 29.919790267944336, 'longitude': -90.0909652709961}",N/A,https://www.madeagainrentals.com/listing/en/637266,N/A,N/A,N/A
"This house is a 3 bedroom(s), 2 bathrooms, located in New Orleans, LA.",N/A,"{'latitude': 29.92639923095703, 'longitude': -90.07176971435547}",N/A,N/A,N/A,N/A,N/A
Historic 2 Bedroom Home On Magazine St.,N/A,"{'latitude': 29.926799774169922, 'longitude': -90.0796890258789}",N/A,https://www.bluepillow.com/search?p_id=5a63f498e864c01c688c4d35&dest=bpex&cat=House&accomodationids=65cb807b3e6d928972f6aa6a,N/A,N/A,N/A
"New Home Great for Groups | Heated Pool, Sleeps 10",N/A,"{'latitude': 29.927085876464844, 'longitude': -90.07415771484375}",N/A,N/A,N/A,N/A,N/A
Luxurious Gated Retreat Minutes from Downtown,N/A,"{'latitude': 29.87221908569336, 'longitude': -90.05400848388672}",N/A,N/A,N/A,2,N/A
Location! One Block From Magaizine Street!,N/A,"{'latitude': 29.921781539916992, 'longitude': -90.08998107910156}",N/A,N/A,N/A,63,N/A
New Orleans Escape: 2 Mi to Dtwn!,N/A,"{'latitude': 29.927560806274414, 'longitude': -90.07479858398438}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3866578&lc=google,N/A,N/A,N/A
Contemporary NOLA Studio - Walkable Location!,N/A,"{'latitude': 29.918893814086914, 'longitude': -90.0928726196289}",N/A,N/A,N/A,N/A,N/A
"Contemporary tiny home with loft bedroom in the Irish Channel, private courtyard",N/A,"{'latitude': 29.91872215270996, 'longitude': -90.0907974243164}",N/A,N/A,N/A,N/A,N/A
