Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Historic NOLA Townhome ~ 4 Mi to French Quarter!,N/A,"{'latitude': 29.953371047973633, 'longitude': -90.12108612060547}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3794974&lc=google,N/A,20,N/A
Charming NOLA Home 5 Miles to Bourbon Street!,N/A,"{'latitude': 29.961429595947266, 'longitude': -90.12175750732422}",N/A,N/A,N/A,N/A,N/A
The Acadian,N/A,"{'latitude': 29.960783004760742, 'longitude': -90.15156555175781}",N/A,http://arlingtonrentals.com/unit-a,N/A,14,N/A
All New Adorable Metairie Cottage Easy Access To All That New Orleans Offers!,N/A,"{'latitude': 29.976816177368164, 'longitude': -90.17359924316406}",N/A,N/A,N/A,1,N/A
"Charming 2-bedroom house in lovely Jefferson with WiFi, AC",N/A,"{'latitude': 29.964181900024414, 'longitude': -90.1573486328125}",N/A,https://www.us.despegar.com/hotels/h-6325991,N/A,N/A,N/A
★9min To The French Quarter -Central to ALL★,N/A,"{'latitude': 29.979049682617188, 'longitude': -90.12538146972656}",N/A,N/A,N/A,N/A,N/A
Cozy 2 Bedroom 1 Mile to Ochsner,N/A,"{'latitude': 29.955713272094727, 'longitude': -90.17340850830078}",N/A,N/A,N/A,N/A,N/A
"Cute cottage in safe, quiet area",N/A,"{'latitude': 29.95976448059082, 'longitude': -90.17375183105469}",N/A,N/A,N/A,N/A,N/A
Large Home Plenty of Room,N/A,"{'latitude': 29.964170455932617, 'longitude': -90.12310028076172}",N/A,N/A,N/A,139,N/A
Amazing condo in Metairie,N/A,"{'latitude': 29.978090286254883, 'longitude': -90.19461059570312}",N/A,N/A,N/A,N/A,N/A
All New Adorable Cottage With Easy Access To All That New Orleans Offers!,N/A,"{'latitude': 29.976810455322266, 'longitude': -90.17359161376953}",N/A,https://www.bluepillow.com/search?p_id=589dfe157c00cb10c8dad71d&dest=bpvr&cat=House&accomodationids=62174a1ca72397968068cdfb,N/A,1,N/A
Heart of NOLA 3Bed  / 2 Bath by Ochsner!,N/A,"{'latitude': 29.963340759277344, 'longitude': -90.15837860107422}",N/A,https://EtikyalaEstatesLLC.holidayfuture.com/listings/290595?googleVR=1,N/A,1,N/A
Luxury renovation of historic shotgun home,N/A,"{'latitude': 29.950469970703125, 'longitude': -90.1250991821289}",N/A,N/A,N/A,17,N/A
Adorable  warm Uptown home - FULLY FURNISHED,N/A,"{'latitude': 29.957029342651367, 'longitude': -90.13375091552734}",N/A,https://www.bluepillow.com/search?p_id=5a63f498e864c01c688c4d35&dest=bpvr&cat=House&accomodationids=62178067a7239796807f8946,N/A,N/A,N/A
"Centrally located in New Orleans, Perfect for traveling professionals",N/A,"{'latitude': 29.990840911865234, 'longitude': -90.11978149414062}",N/A,N/A,N/A,N/A,N/A
The Nelson House Unbeatable Location,N/A,"{'latitude': 29.956050872802734, 'longitude': -90.11910247802734}",N/A,N/A,N/A,2,N/A
Audubon House Apt. 3: 1bd/1ba,N/A,"{'latitude': 29.936729431152344, 'longitude': -90.1336669921875}",N/A,N/A,N/A,N/A,N/A
Classic 2bd/1ba Carrollton Cottage near Streetcar line  River,N/A,"{'latitude': 29.95185089111328, 'longitude': -90.137939453125}",N/A,N/A,N/A,N/A,N/A
