Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Getaway Bungalow house in Downtown area,N/A,"{'latitude': 35.07655334472656, 'longitude': -85.29457092285156}",N/A,https://moyproperties.lodgify.com/listing/en/631299,N/A,N/A,N/A
"Private House Near Downtown, Cozy, Cute, Pet Friendly",N/A,"{'latitude': 35.101016998291016, 'longitude': -85.30280303955078}",N/A,N/A,N/A,N/A,N/A
"The Loft, A Cozy Northshore Studio just minutes from Downtown!",N/A,"{'latitude': 35.077880859375, 'longitude': -85.30095672607422}",N/A,N/A,N/A,1,N/A
"Yellow Door Cottage - 3BR, Pet Friendly",N/A,"{'latitude': 35.1083984375, 'longitude': -85.2562026977539}",N/A,https://yellow-door.holidayfuture.com/listings/95011?googleVR=1,N/A,128,N/A
GREAT MONTHLY RENTAL,N/A,"{'latitude': 35.119544982910156, 'longitude': -85.2315673828125}",N/A,N/A,N/A,100,N/A
Pet Friendly Northshore Duplex 1 Mi to Downtown Chattanooga,N/A,"{'latitude': 35.07133483886719, 'longitude': -85.3119125366211}",N/A,https://www.bringfido.com/lodging/1825363?aid=googlerentals-website,N/A,N/A,N/A
"Spacious, Homey 2-Bedroom In Chattanooga",N/A,"{'latitude': 35.08769989013672, 'longitude': -85.29570007324219}",N/A,https://www.super.com/travel/hotels/GrZbe2wG?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
"North Shore home available for long term stays! - 30 night minimum | 3 Bed, 2 Bath",N/A,"{'latitude': 35.07188034057617, 'longitude': -85.30711364746094}",N/A,N/A,N/A,N/A,N/A
"Vintage Charm, Modern Living at Downtown",N/A,"{'latitude': 35.07656478881836, 'longitude': -85.2945785522461}",N/A,https://moyiproperty.hospitable.rentals/property/home-in-heart-of-chattanooga,N/A,13,N/A
"Cozy 1-bedroom duplex in charming Chattanooga with WiFi, AC",N/A,"{'latitude': 35.12848663330078, 'longitude': -85.28202819824219}",N/A,N/A,N/A,N/A,N/A
Northshore Studio Apartment - Full space,N/A,"{'latitude': 35.07277297973633, 'longitude': -85.31864929199219}",N/A,N/A,N/A,98,N/A
Danish Cottage Chattanooga,N/A,"{'latitude': 35.10422134399414, 'longitude': -85.30422973632812}",N/A,https://www.danish-cottage.com/listing/en/440779,N/A,N/A,N/A
Casa Blanca on the Tennessee River Gorge,N/A,"{'latitude': 35.105918884277344, 'longitude': -85.36067962646484}",N/A,https://www.wanderchatt.com/listing/en/469223,N/A,N/A,N/A
"Lovely Chattanooga 2br Home - 1.5 Miles To Downtown/north Shore, 1 Block To Park",N/A,"{'latitude': 35.08679962158203, 'longitude': -85.30906677246094}",N/A,N/A,N/A,160,N/A
Little Avalon in North Chattanooga- 5 minutes from downtown!,N/A,"{'latitude': 35.09125900268555, 'longitude': -85.29424285888672}",N/A,N/A,N/A,77,N/A
"Lovely Chattanooga 2br Home - 1.5 Miles To Downtown\/north Shore, 1 Block To Park",N/A,"{'latitude': 35.0868034362793, 'longitude': -85.30907440185547}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D10886458%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
North Shore Serenity Suite,N/A,"{'latitude': 35.074337005615234, 'longitude': -85.29302215576172}",N/A,https://moyiproperty.hospitable.rentals/property/private-entrance-cozy-room-at-north-shore,N/A,297,N/A
NEW 1-BDR apt in perfect location,N/A,"{'latitude': 35.144527435302734, 'longitude': -85.2497329711914}",N/A,https://www.vrbo.com/4140441?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,1,N/A
