Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Modern Private Room/WIFI/7min to JSQ Path/Desk/TV,N/A,"{'latitude': 40.73661422729492, 'longitude': -74.06610870361328}",N/A,https://liveworkandmore.com.hospitable.rentals/property/modern-private-roomwifi7min-to-jsq-pathdesktv,N/A,8,N/A
"160 ""1F"" Private Bright room minutes to Hoboken/NYC/WIFI",N/A,"{'latitude': 40.75014114379883, 'longitude': -74.04918670654297}",N/A,https://liveworkandmore.com.hospitable.rentals/property/160-1f-bright-room-minutes-to-hobokennycwifi,N/A,5,N/A
Jersey City Vacation Rental Near Light Rail!,N/A,"{'latitude': 40.70225524902344, 'longitude': -74.07862854003906}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3464777&lc=google,N/A,N/A,N/A
"72 ""3"" Huge Bright room by Iight rail/Bus/WIFI",N/A,"{'latitude': 40.71303939819336, 'longitude': -74.07826232910156}",N/A,https://liveworkandmore.com.hospitable.rentals/property/72-3-huge-bright-room-by-iight-railbuswifi,N/A,13,N/A
Lovely 2 Bedroom Sleeps 5,N/A,"{'latitude': 40.65176773071289, 'longitude': -73.92265319824219}",N/A,https://app.your.rentals/p/70112?scid=GGLE&lang=en,N/A,N/A,N/A
"LGA Airport near, Studio walk in bsmt Apt in a Private House!",N/A,"{'latitude': 40.76100540161133, 'longitude': -73.87133026123047}",N/A,https://www.booking.com/hotel/us/lga-airport-near-studio-walk-in-bsmt-apt-in-a-private-house.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-10226299_grp-3_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-10226299;utm_campaign=en,N/A,14,N/A
"Jersey City Retreat, Sun-Filled Loft",N/A,"{'latitude': 40.72858428955078, 'longitude': -74.04135131835938}",N/A,https://jcretreat.lodgify.com/listing/en/266369,N/A,N/A,N/A
65 m² Ferienwohnung ∙ 1 Schlafzimmer ∙ 2 Gäste,N/A,"{'latitude': 40.67890167236328, 'longitude': -74.001220703125}",N/A,https://www.e-domizil.at/rental/019ded9b1e22a584?adword=edom_gvf/DE/s/ct=s/n-a/n-a/5460aeac1d0f1&utm_source=gvf,N/A,N/A,N/A
Hoboken Point,N/A,"{'latitude': 40.76042175292969, 'longitude': -74.02175903320312}",N/A,https://perezrentals.guestybookings.com/properties/663a770a9741e00083bfb69a,N/A,N/A,N/A
The Cozy Cove in Queens | Home Away From Home!,N/A,"{'latitude': 40.746559143066406, 'longitude': -73.88558197021484}",N/A,https://cozyqueens.lodgify.com/listing/en/564522,N/A,N/A,N/A
"Beautiful 2bd Apt near BK Museum, Crown Heights",N/A,"{'latitude': 40.667625427246094, 'longitude': -73.95835876464844}",N/A,https://www.enrichvacationrentals.com/listing/en/525380,N/A,N/A,N/A
LGA Private 3 BR In Astoria • 15 Min to City,N/A,"{'latitude': 40.76981735229492, 'longitude': -73.92716979980469}",N/A,https://www.zahrasuites.com/listing/en/570772,N/A,N/A,N/A
Nice 1BR next to EWR 3556,N/A,"{'latitude': 40.66322708129883, 'longitude': -74.20893096923828}",N/A,https://new.rentalsunited.com/Property/3196556?sc=554691,N/A,1,N/A
Nice Private Apartment/WIFI/5 min walk Path Train,N/A,"{'latitude': 40.72868347167969, 'longitude': -74.06700134277344}",N/A,https://liveworkandmore.com.hospitable.rentals/property/nice-private-apartmentwifi5-min-walk-path-train,N/A,17,N/A
Hudson Yard 408,N/A,"{'latitude': 40.75482940673828, 'longitude': -73.9959945678711}",N/A,https://www.booking.com/hotel/us/hudson-yard-408-new-york2.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-12447874_grp-2_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-12447874;utm_campaign=en,N/A,1,N/A
Stunning 2 Bedroom Apartment,N/A,"{'latitude': 40.7606315612793, 'longitude': -73.96923828125}",N/A,N/A,N/A,N/A,N/A
Le Palais II   1BR West Village Apt w Spa   Gym,N/A,"{'latitude': 40.733646392822266, 'longitude': -74.0097885131836}",N/A,https://www.travelstaytion.com/rooms/764169,N/A,N/A,N/A
Elegant SoHo Loft,N/A,"{'latitude': 40.721351623535156, 'longitude': -74.00325775146484}",N/A,https://www.mycasania.com/listings/317153?googleVR=1,N/A,N/A,N/A
