Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Historic NOLA Townhome ~ 4 Mi to French Quarter!,N/A,"{'latitude': 29.953371047973633, 'longitude': -90.12108612060547}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3794974&lc=google,N/A,20,N/A
Charming NOLA Home: 5 Miles to Bourbon Street!,N/A,"{'latitude': 29.961429595947266, 'longitude': -90.12175750732422}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3092599&lc=google,N/A,83,N/A
Beautiful House near Ochsner Hospital,N/A,"{'latitude': 29.935699462890625, 'longitude': -90.1604232788086}",N/A,https://www.bluepillow.com/search?p_id=5a63f498e864c01c688c4d35&dest=bpvr&cat=House&accomodationids=65cbac98d1633aac9178bd25,N/A,N/A,N/A
"Cute cottage in safe, quiet area",N/A,"{'latitude': 29.95976448059082, 'longitude': -90.17375183105469}",N/A,N/A,N/A,N/A,N/A
Cozy 2 Bedroom 1 Mile to Ochsner,N/A,"{'latitude': 29.955713272094727, 'longitude': -90.17340850830078}",N/A,N/A,N/A,N/A,N/A
74 m² Ferienwohnung ∙ 2 Schlafzimmer ∙ 4 Gäste,N/A,"{'latitude': 29.952489852905273, 'longitude': -90.1244888305664}",N/A,https://www.e-domizil.at/rental/b89886724bf437ff?adword=edom_gvf/DE/s/ct=s/n-a/n-a/5460aeac1d0f1&utm_source=gvf,N/A,N/A,N/A
Charming Bridge City House ~ 12 Mi to New Orleans!,N/A,"{'latitude': 29.936433792114258, 'longitude': -90.16093444824219}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3847038&lc=google,N/A,N/A,N/A
Charming Uptown Bungalow just steps to Magazine St,N/A,"{'latitude': 29.92037010192871, 'longitude': -90.11721801757812}",N/A,https://www.madeagainrentals.com/listing/en/637269,N/A,N/A,N/A
Cozy 1 Bedroom Double Right off St. Charles!,N/A,"{'latitude': 29.940929412841797, 'longitude': -90.12664794921875}",N/A,N/A,N/A,17,N/A
Cozy New Orleans Retreat - 5 Mi to French Quarter!,N/A,"{'latitude': 29.955041885375977, 'longitude': -90.12100219726562}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3866593&lc=google,N/A,N/A,N/A
Beautiful 2 BR Suite Uptown\/Audubon Riverside,N/A,"{'latitude': 29.921672821044922, 'longitude': -90.12384796142578}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D101950736%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Audubon House Apt. 3: 1bd/1ba,N/A,"{'latitude': 29.936729431152344, 'longitude': -90.1336669921875}",N/A,N/A,N/A,N/A,N/A
"Heart of NOLA 3Bed, 2 Bath by Ochsner",N/A,"{'latitude': 29.963340759277344, 'longitude': -90.15837860107422}",N/A,https://www.booking.com/hotel/us/heart-of-nola-3bed-2-bath-by-ochsner.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-12509863_grp-3_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-12509863;utm_campaign=en,N/A,N/A,N/A
Townhouse 3,N/A,"{'latitude': 29.960783004760742, 'longitude': -90.15156555175781}",N/A,http://arlingtonrentals.com/unit-3,N/A,N/A,N/A
Execustay Palmetto  Creek,N/A,"{'latitude': 29.964088439941406, 'longitude': -90.18536376953125}",N/A,N/A,N/A,N/A,N/A
Cozy Carrollton Cottage,N/A,"{'latitude': 29.94770050048828, 'longitude': -90.12052154541016}",N/A,https://www.bluepillow.com/search?p_id=5a63f498e864c01c688c4d35&dest=bpex&cat=House&accomodationids=65cb8a223e6d928972fa86b2,N/A,N/A,N/A
Townhouse 2,N/A,"{'latitude': 29.960792541503906, 'longitude': -90.15155792236328}",N/A,http://arlingtonrentals.com/unit-3b,N/A,N/A,N/A
PROMO 10% WEEKLY \/20% MONTHLY DISCOUNT\nSpacious 1 BR near Universities,N/A,"{'latitude': 29.95550537109375, 'longitude': -90.11691284179688}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D118133828%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
