Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
The Pelican Suite,N/A,"{'latitude': 29.920320510864258, 'longitude': -90.10430908203125}",N/A,https://www.brandyhousenola.com/listing/en/424127,N/A,135,N/A
NOLA House in Irish Channel - Walk to Magazine St!,N/A,"{'latitude': 29.92017936706543, 'longitude': -90.08869171142578}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3091275&lc=google,N/A,292,N/A
Tchop Maison off Napoleon - Stroll to Magazine!,N/A,"{'latitude': 29.91693687438965, 'longitude': -90.10636138916016}",N/A,http://pinhasproperties.com/property/tchop-maison-off-napoleon-stroll-to-magazine/,N/A,122,N/A
2bd/2b Irish Channel live local,N/A,"{'latitude': 29.91741943359375, 'longitude': -90.09139251708984}",N/A,https://www.bluepillow.com/search?p_id=5a63f498e864c01c688c4d35&dest=bpvr&cat=House&accomodationids=6217774da7239796807aa6b9,N/A,20,N/A
Beautiful Home 15 minutes from Downtown NO,N/A,"{'latitude': 29.872499465942383, 'longitude': -90.10225677490234}",N/A,https://www.bluepillow.com/search?p_id=589dfe157c00cb10c8dad71c&dest=bpvr&cat=House&accomodationids=628fae75b400525d1ddd0c72,N/A,N/A,N/A
This stylish space has a hometown vibe w/ inexpensive transport to downtown NOLA,N/A,"{'latitude': 29.87141227722168, 'longitude': -90.1053695678711}",N/A,N/A,N/A,N/A,N/A
Private 2 Bedroom Bungalow w/ Gated Parking,N/A,"{'latitude': 29.9185733795166, 'longitude': -90.11127471923828}",N/A,https://www.vrbo.com/9963977ha?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Pet-Friendly Home Base in the Irish Channel,N/A,"{'latitude': 29.91645050048828, 'longitude': -90.10709381103516}",N/A,N/A,N/A,19,N/A
Uptown Comfort with Yard-Pet Friendly with Fee,N/A,"{'latitude': 29.917255401611328, 'longitude': -90.1099853515625}",N/A,N/A,N/A,1,N/A
Apartment,N/A,"{'latitude': 29.92058753967285, 'longitude': -90.10990905761719}",N/A,N/A,N/A,49,N/A
Hotel luxury meets NOLA charm!,N/A,"{'latitude': 29.91647720336914, 'longitude': -90.10748291015625}",N/A,https://www.vrbo.com/3127490?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,31,N/A
Location! One Block From Magaizine Street!,N/A,"{'latitude': 29.921781539916992, 'longitude': -90.08998107910156}",N/A,N/A,N/A,63,N/A
Beautiful 2 BR Suite Uptown\/Audubon Riverside,N/A,"{'latitude': 29.921672821044922, 'longitude': -90.12384796142578}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D101950736%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Private 2BR/2.5BA Contemporary next to Audubon Park,N/A,"{'latitude': 29.921493530273438, 'longitude': -90.12417602539062}",N/A,N/A,N/A,2,N/A
Fully Renovated Sunny Cottage,N/A,"{'latitude': 29.916759490966797, 'longitude': -90.10831451416016}",N/A,https://www.vrbo.com/3437120?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,1,N/A
The Crescent City Cottage,N/A,"{'latitude': 29.91690444946289, 'longitude': -90.10943603515625}",N/A,https://booknola.com/property/the-crescent-city-cottage/,N/A,67,N/A
"Uptown House near Universities, Audubon Park, Whole Foods, Restaurants, Shops",N/A,"{'latitude': 29.920373916625977, 'longitude': -90.10974884033203}",N/A,N/A,N/A,23,N/A
#2 Perfect 2BR Audubon Suite.,N/A,"{'latitude': 29.92167091369629, 'longitude': -90.12384033203125}",N/A,N/A,N/A,107,N/A
