Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Jazz & Blues House - Two-Bedroom House,N/A,"{'latitude': 29.961790084838867, 'longitude': -90.0081787109375}",N/A,N/A,N/A,N/A,N/A
Birth of Jazz Immersive- near French Quarter- Pool,N/A,"{'latitude': 29.917339324951172, 'longitude': -90.00750732421875}",N/A,https://regalretreats.lodgify.com/listing/en/679683,N/A,N/A,N/A
Maison Bleue,N/A,"{'latitude': 29.963512420654297, 'longitude': -90.00846099853516}",N/A,N/A,N/A,N/A,N/A
New Orleans Lady-6miles to FQ/w&d/Pets Ok,N/A,"{'latitude': 29.922260284423828, 'longitude': -89.99736022949219}",N/A,https://www.destinationhq.org/new-orleans-ladypool-tablewdpets-ok-orp5b5358ax,N/A,42,N/A
Suburban area condo. Ideal for the avid fisherman or fishing family.,N/A,"{'latitude': 29.924785614013672, 'longitude': -89.9087905883789}",N/A,N/A,N/A,76,N/A
"Quaint New Orleans Cottage - Charming and \""NEW\""",N/A,"{'latitude': 29.964990615844727, 'longitude': -89.99555206298828}",N/A,N/A,N/A,6,N/A
"Cozy cottage perfect for Swifties, just 7.5 miles from the Superdome. Safe area!",N/A,"{'latitude': 29.946359634399414, 'longitude': -89.98007202148438}",N/A,https://www.bluepillow.com/search?p_id=589dfe127c00cb10c8dad6e9&dest=bpvr&cat=Cottage&accomodationids=65cbad94d1633aac91794bf3,N/A,N/A,N/A
New Orleans Home w/ Backyard Near French Quarter,N/A,"{'latitude': 29.928630828857422, 'longitude': -90.00602722167969}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3506428&lc=google,N/A,N/A,N/A
Best Rate- Beautiful home minutes to French Quarter,N/A,"{'latitude': 29.954069137573242, 'longitude': -90.0063705444336}",N/A,N/A,N/A,353,N/A
"NEW ORLEANS LADY- POOL TABLE, Pets OK, 4 BDRM",N/A,"{'latitude': 29.9222469329834, 'longitude': -89.99735260009766}",N/A,https://www.booking.com/hotel/us/new-orleans-lady-6miles-to-fq-w-amp-d-pets-ok.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-10662321_grp-1_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-10662321;utm_campaign=en,N/A,2,N/A
Luxury living,N/A,"{'latitude': 29.872543334960938, 'longitude': -89.8674087524414}",N/A,N/A,N/A,1,N/A
2 BEDROOM TOWNHOUSE NEAR FRENCH QUARTER,N/A,"{'latitude': 29.949737548828125, 'longitude': -89.96234893798828}",N/A,N/A,N/A,15,N/A
2-Story cottage w pool+bonfire,N/A,"{'latitude': 29.93941307067871, 'longitude': -89.96233367919922}",N/A,N/A,N/A,N/A,N/A
Quiet cabin minutes away from world-class fisheries,N/A,"{'latitude': 29.873218536376953, 'longitude': -89.86436462402344}",N/A,N/A,N/A,61,N/A
"6 bedroom & spacious, The Creole Cottage",N/A,"{'latitude': 29.96192169189453, 'longitude': -90.01367950439453}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D81670519%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Great Monthly Rate with Cleaning Included,N/A,"{'latitude': 29.88878059387207, 'longitude': -90.0091323852539}",N/A,N/A,N/A,N/A,N/A
Minutes  to French Quarter and Downtown.  3 bedrooms. LOW RATES!  $275. a night.,N/A,"{'latitude': 29.945886611938477, 'longitude': -89.97655487060547}",N/A,N/A,N/A,144,N/A
New Orleans Getaway about 7 Mi to French Quarter!,N/A,"{'latitude': 29.914989471435547, 'longitude': -90.002685546875}",N/A,N/A,N/A,21,N/A
