Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
"The ""Old Fashioned"" Luxe Cottage",N/A,"{'latitude': 29.97348403930664, 'longitude': -90.11457061767578}",N/A,https://upscalesluxuryrentals.holidayfuture.com/listings/270183?googleVR=1,N/A,3,N/A
Charming NOLA Home 5 Miles to Bourbon Street!,N/A,"{'latitude': 29.961429595947266, 'longitude': -90.12175750732422}",N/A,N/A,N/A,N/A,N/A
RAMADA LIMITED METAIRIE,N/A,"{'latitude': 30.000873565673828, 'longitude': -90.15489959716797}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D4027711%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Amazing condo in Metairie,N/A,"{'latitude': 29.978090286254883, 'longitude': -90.19461059570312}",N/A,N/A,N/A,N/A,N/A
"Two Bedroom Metairie, Louisiana",N/A,"{'latitude': 29.996379852294922, 'longitude': -90.17791748046875}",N/A,https://www.bluepillow.com/search?p_id=589dfe157c00cb10c8dad71d&dest=bkng&cat=House&accomodationids=648621ce7f7e24c192319ac9,N/A,N/A,N/A
Beautiful Old Metairie Condo!,N/A,"{'latitude': 29.983701705932617, 'longitude': -90.14513397216797}",N/A,https://www.vrbo.com/3889294?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
All New Adorable Metairie Cottage Easy Access To All That New Orleans Offers!,N/A,"{'latitude': 29.976816177368164, 'longitude': -90.17359924316406}",N/A,N/A,N/A,1,N/A
Two bedroom apartment in the heart of Metairie,N/A,"{'latitude': 30.003801345825195, 'longitude': -90.17066955566406}",N/A,N/A,N/A,N/A,N/A
La Plaza Apartments,N/A,"{'latitude': 29.99530029296875, 'longitude': -90.15879821777344}",N/A,https://www.super.com/travel/hotels/G4V6XYgl?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
5 Mi to City Park: New Orleans Area Home,N/A,"{'latitude': 29.993370056152344, 'longitude': -90.15731048583984}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3774338&lc=google,N/A,3,N/A
74 m² Ferienwohnung ∙ 2 Schlafzimmer ∙ 4 Gäste,N/A,"{'latitude': 29.952489852905273, 'longitude': -90.1244888305664}",N/A,https://www.e-domizil.at/rental/b89886724bf437ff?adword=edom_gvf/DE/s/ct=s/n-a/n-a/5460aeac1d0f1&utm_source=gvf,N/A,N/A,N/A
Private Mother In Law Suite (30 day minimum),N/A,"{'latitude': 30.016496658325195, 'longitude': -90.1401596069336}",N/A,N/A,N/A,8,N/A
Lovely Metairie 1600sft Loft 10 mnts to Hospitals,N/A,"{'latitude': 29.983179092407227, 'longitude': -90.19043731689453}",N/A,N/A,N/A,N/A,N/A
Lovely Metairie 1600sft Loft 10 mnts to Hospitals!,N/A,"{'latitude': 29.98317527770996, 'longitude': -90.19044494628906}",N/A,https://EtikyalaEstatesLLC.holidayfuture.com/listings/290599?googleVR=1,N/A,2,N/A
"Charming 2-bedroom house with AC, fitness room and WiFi in adorable Metairie",N/A,"{'latitude': 29.978708267211914, 'longitude': -90.2243881225586}",N/A,N/A,N/A,3,N/A
"Cozy 1 bedroom, 1 bathroom condo",N/A,"{'latitude': 29.995519638061523, 'longitude': -90.16507720947266}",N/A,https://www.bluepillow.com/search?p_id=589dfe157c00cb10c8dad71d&dest=bpex&cat=Apartment&accomodationids=65cb807f3e6d928972f6ab90,N/A,N/A,N/A
The Claiborne,N/A,"{'latitude': 29.960783004760742, 'longitude': -90.15156555175781}",N/A,http://arlingtonrentals.com/unit-c,N/A,12,N/A
Cozy and Private1-bedroom apartment in Metairie with WiFi  and other amenities,N/A,"{'latitude': 29.99909782409668, 'longitude': -90.2320327758789}",N/A,N/A,N/A,1,N/A
