Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Vacation Room on Canal Street,N/A,"{'latitude': 29.977237701416016, 'longitude': -90.1036148071289}",N/A,N/A,N/A,10,N/A
Historic NOLA Townhome ~ 4 Mi to French Quarter!,N/A,"{'latitude': 29.953371047973633, 'longitude': -90.12108612060547}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3794974&lc=google,N/A,20,N/A
"The ""Old Fashioned"" Luxe Cottage",N/A,"{'latitude': 29.97348403930664, 'longitude': -90.11457061767578}",N/A,https://upscalesluxuryrentals.holidayfuture.com/listings/270183?googleVR=1,N/A,3,N/A
Charming NOLA Home 5 Miles to Bourbon Street!,N/A,"{'latitude': 29.961429595947266, 'longitude': -90.12175750732422}",N/A,N/A,N/A,N/A,N/A
Beautiful Old Metairie Condo!,N/A,"{'latitude': 29.983701705932617, 'longitude': -90.14513397216797}",N/A,https://www.vrbo.com/3889294?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
RAMADA LIMITED METAIRIE,N/A,"{'latitude': 30.000873565673828, 'longitude': -90.15489959716797}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D4027711%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Heart of NOLA 3Bed / 2 Bath by Ochsner!,N/A,"{'latitude': 29.979249954223633, 'longitude': -90.12449645996094}",N/A,https://www.bluepillow.com/search?p_id=5a63f498e864c01c688c4d35&dest=bpvr&cat=House&accomodationids=621782a3a72397968080e48b,N/A,N/A,N/A
"Charming 3-bedroom house with WiFi, AC in peaceful Metairie.",N/A,"{'latitude': 29.99018669128418, 'longitude': -90.14295196533203}",N/A,N/A,N/A,N/A,N/A
Landing at Preserve - 2 Bedrooms in Mid City,N/A,"{'latitude': 29.971027374267578, 'longitude': -90.10820007324219}",N/A,https://landing.holidayfuture.com/listings/225329?googleVR=1,N/A,N/A,N/A
La Plaza Apartments,N/A,"{'latitude': 29.99530029296875, 'longitude': -90.15879821777344}",N/A,https://www.super.com/travel/hotels/G4V6XYgl?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
5 Mi to City Park: New Orleans Area Home,N/A,"{'latitude': 29.993370056152344, 'longitude': -90.15731048583984}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3774338&lc=google,N/A,3,N/A
Heart of NOLA 3Bed  \/ 2 Bath by Ochsner!,N/A,"{'latitude': 29.9792537689209, 'longitude': -90.12450408935547}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D75661599%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
"Heart of NOLA 3Bed, 2 Bath by Ochsner",N/A,"{'latitude': 29.963340759277344, 'longitude': -90.15837860107422}",N/A,https://www.booking.com/hotel/us/heart-of-nola-3bed-2-bath-by-ochsner.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-12509863_grp-3_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-12509863;utm_campaign=en,N/A,N/A,N/A
Townhouse 3,N/A,"{'latitude': 29.960783004760742, 'longitude': -90.15156555175781}",N/A,http://arlingtonrentals.com/unit-3,N/A,N/A,N/A
Mid-City Apartment 2-BR,N/A,"{'latitude': 29.97559928894043, 'longitude': -90.1053695678711}",N/A,https://www.bluepillow.com/search?p_id=5a63f498e864c01c688c4d35&dest=bpvr&cat=Apartment&accomodationids=65cc5d03d1633aac917beb9c,N/A,N/A,N/A
1 Mi to New Orleans City Park: Home w/ Fenced Yard,N/A,"{'latitude': 29.9927921295166, 'longitude': -90.1089859008789}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3897939&lc=google,N/A,N/A,N/A
Cozy New Orleans Retreat - 5 Mi to French Quarter!,N/A,"{'latitude': 29.955041885375977, 'longitude': -90.12100219726562}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3866593&lc=google,N/A,N/A,N/A
NOLA (3Bd) hub,N/A,"{'latitude': 29.993377685546875, 'longitude': -90.15731048583984}",N/A,https://www.booking.com/hotel/us/nola-3bd-hub.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-12509932_grp-0_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-12509932;utm_campaign=en,N/A,N/A,N/A
