Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Central New Orleans Apt w/ Updated Interior,N/A,"{'latitude': 29.948762893676758, 'longitude': -90.10185241699219}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3362802&lc=google,N/A,2,N/A
La Belle Cottage II 2queenbeds 10min to French Qtr,N/A,"{'latitude': 29.934064865112305, 'longitude': -90.0939712524414}",N/A,https://www.booking.com/hotel/us/la-belle-cottage-ii-2queenbeds-10min-to-french-qtr-new-orleans.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-9397767_grp-3_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-9397767;utm_campaign=en,N/A,23,N/A
The Pelican Suite,N/A,"{'latitude': 29.920320510864258, 'longitude': -90.10430908203125}",N/A,https://www.brandyhousenola.com/listing/en/424127,N/A,135,N/A
1100 ft² Apartment ∙ 2 bedrooms ∙ 4 guests,N/A,"{'latitude': 29.948759078979492, 'longitude': -90.10185241699219}",N/A,N/A,N/A,N/A,N/A
NOLA House in Irish Channel - Walk to Magazine St!,N/A,"{'latitude': 29.92017936706543, 'longitude': -90.08869171142578}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3091275&lc=google,N/A,292,N/A
Tchop Maison off Napoleon - Stroll to Magazine!,N/A,"{'latitude': 29.91693687438965, 'longitude': -90.10636138916016}",N/A,http://pinhasproperties.com/property/tchop-maison-off-napoleon-stroll-to-magazine/,N/A,122,N/A
NOLA Modern HOME Super Dome View! (Duplex),N/A,"{'latitude': 29.94381332397461, 'longitude': -90.09419250488281}",N/A,https://vacationnolarentals.com/property/H5WBNMXC67BTI5CG,N/A,35,N/A
Pluto Rooftop Villa,N/A,"{'latitude': 29.93807029724121, 'longitude': -90.08186340332031}",N/A,N/A,N/A,11,N/A
Spirits of New Orleans - Four-Bedroom House,N/A,"{'latitude': 29.935611724853516, 'longitude': -90.08682250976562}",N/A,N/A,N/A,N/A,N/A
Fantastic spacious garden apartment,N/A,"{'latitude': 29.924287796020508, 'longitude': -90.0982894897461}",N/A,N/A,N/A,144,N/A
3 Bedroom - Uptown Funk Retreat,N/A,"{'latitude': 29.92284393310547, 'longitude': -90.10420227050781}",N/A,https://booknola.com/property/3-bedroom-uptown-funk-retreat/,N/A,N/A,N/A
Charming Uptown Bungalow just steps to Magazine St,N/A,"{'latitude': 29.92037010192871, 'longitude': -90.11721801757812}",N/A,https://www.madeagainrentals.com/listing/en/637269,N/A,N/A,N/A
Beautiful 5BR House,N/A,"{'latitude': 29.922399520874023, 'longitude': -90.10209655761719}",N/A,https://www.super.com/travel/hotels/lMVDVwgj?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
Posh fully furnished uptown home one block from St. Charles street car !,N/A,"{'latitude': 29.92917823791504, 'longitude': -90.11299896240234}",N/A,https://www.us.despegar.com/hotels/h-6185607,N/A,N/A,N/A
Outdoor Living in New Orleans | Heated Pool,N/A,"{'latitude': 29.934619903564453, 'longitude': -90.09479522705078}",N/A,N/A,N/A,7,N/A
Bright and Open 5-Bedroom w/Patio | Sleeps 10!,N/A,"{'latitude': 29.91670799255371, 'longitude': -90.11695861816406}",N/A,https://www.stayredamo.com/accommodations/the-mardi-gras,N/A,29,N/A
Pet Friendly Uptown Spacious 4BD W Historic Charm,N/A,"{'latitude': 29.93477439880371, 'longitude': -90.1100082397461}",N/A,https://www.bringfido.com/lodging/1893096?aid=googlerentals-website,N/A,2,N/A
Beautiful Uptown New Orleans w/Pool Near Street Car Line,N/A,"{'latitude': 29.92538070678711, 'longitude': -90.10025024414062}",N/A,N/A,N/A,41,N/A
