Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Mays Landing Rental on Great Egg Harbor River!,N/A,"{'latitude': 39.44994354248047, 'longitude': -74.72888946533203}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3559601&lc=google,N/A,8,N/A
"Mullica River Cottage - Waterfront in Sweetwater, NJ Pine Barrens",N/A,"{'latitude': 39.62761306762695, 'longitude': -74.65548706054688}",N/A,N/A,N/A,34,N/A
Marriott Fairway Villas 2BD,N/A,"{'latitude': 39.44847869873047, 'longitude': -74.48045349121094}",N/A,https://www.bluepillow.com/search?p_id=589e038b7c00cb10c8db1db1&dest=bpex&cat=Villa&accomodationids=623382a64c4d8d9b9b77504a,N/A,N/A,N/A
New Design (Farmhouse) for couple getaway- large deck soaking tub w/shower,N/A,"{'latitude': 39.50604248046875, 'longitude': -74.50747680664062}",N/A,N/A,N/A,N/A,N/A
Galloway Townhome w/ Private Deck: Near Casinos!,N/A,"{'latitude': 39.495941162109375, 'longitude': -74.49992370605469}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3810371&lc=google,N/A,N/A,N/A
Sweetwater Mullica River Cottage Pinebarrens,N/A,"{'latitude': 39.624183654785156, 'longitude': -74.62330627441406}",N/A,https://www.vrbo.com/3692178?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,13,N/A
Designed for perfect couples get away soaking tub pets fee,N/A,"{'latitude': 39.50157165527344, 'longitude': -74.5144271850586}",N/A,N/A,N/A,N/A,N/A
Executive Lodge Absecon,N/A,"{'latitude': 39.41889953613281, 'longitude': -74.4937973022461}",N/A,https://www.super.com/travel/hotels/7GrZP71G?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
Luxury Cabin on the River!,N/A,"{'latitude': 39.42948913574219, 'longitude': -74.71415710449219}",N/A,https://www.vrbo.com/3999866?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,1,N/A
Suburban Retreat for 16!,N/A,"{'latitude': 39.42353057861328, 'longitude': -74.63575744628906}",N/A,https://www.bluepillow.com/search?p_id=589e03827c00cb10c8db1d37&dest=bpex&cat=House&accomodationids=65cb2bc83e6d928972f43197,N/A,N/A,N/A
Newly Remodeled Oceanfront Condo In The 'Heart' Of The Resort Strip.,N/A,"{'latitude': 39.43193054199219, 'longitude': -74.50827026367188}",N/A,N/A,N/A,51,N/A
"Entire Home, 3BD,2.5BA,3BR, Events, Pets allowed , experiences",N/A,"{'latitude': 39.4145622253418, 'longitude': -74.51596069335938}",N/A,https://www.us.despegar.com/hotels/h-6057108,N/A,N/A,N/A
Bridge House Romantic Lakefront scenic views,N/A,"{'latitude': 39.50453186035156, 'longitude': -74.51335144042969}",N/A,N/A,N/A,2,N/A
Luxury cottage romantic getaway 15 mi beach 10 mi to AC nightlife kayak/fishing,N/A,"{'latitude': 39.503997802734375, 'longitude': -74.5118179321289}",N/A,N/A,N/A,9,N/A
Swan Lake Resort Rentals,N/A,"{'latitude': 39.50387954711914, 'longitude': -74.51179504394531}",N/A,https://www.hotels.com/Hotel.h32049384.Hotel-Information?mdpcid=HCOM.META.HPA.WEB-ORGANIC.VR,N/A,43,N/A
Family-Friendly Mays Landing Home Near The Cove!,N/A,"{'latitude': 39.449588775634766, 'longitude': -74.73734283447266}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3809630&lc=google,N/A,1,N/A
2 BR at Marriott's Fairway Villas,N/A,"{'latitude': 39.44923400878906, 'longitude': -74.4719467163086}",N/A,N/A,N/A,N/A,N/A
SWEETWATER HOUSE ON THE MULLICA RIVER,N/A,"{'latitude': 39.626991271972656, 'longitude': -74.6270980834961}",N/A,https://www.us.despegar.com/hotels/h-5989773,N/A,N/A,N/A
