Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Vacation Room on Canal Street,N/A,"{'latitude': 29.977237701416016, 'longitude': -90.1036148071289}",N/A,N/A,N/A,10,N/A
Roami at The Lola | Near Bourbon St. | Bach Suite,N/A,"{'latitude': 29.939435958862305, 'longitude': -90.06526184082031}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=2804342,N/A,22,N/A
Central New Orleans Apt w/ Updated Interior,N/A,"{'latitude': 29.948762893676758, 'longitude': -90.10185241699219}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3362802&lc=google,N/A,2,N/A
Walk to the French Quarter from Maison des Étoiles,N/A,"{'latitude': 29.9716796875, 'longitude': -90.0648193359375}",N/A,N/A,N/A,N/A,N/A
7 BR- Sleeps 15! Celebrity Villa! Great Rates by YouRent!,N/A,"{'latitude': 30.038768768310547, 'longitude': -90.00788879394531}",N/A,https://new.rentalsunited.com/Property/2580710?sc=554691,N/A,9,N/A
The Sinnerz Loft,N/A,"{'latitude': 29.96946907043457, 'longitude': -90.07456970214844}",N/A,https://thesinnerzloft.lodgify.com/listing/en/478751,N/A,N/A,N/A
Modern New Orleans Apt ~ 3 Mi to French Quarter,N/A,"{'latitude': 30.006792068481445, 'longitude': -90.06785583496094}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3497333&lc=google,N/A,3,N/A
Modern Elegance: 2BDR/2BATH Retreat in New Orleans,N/A,"{'latitude': 29.952035903930664, 'longitude': -90.07223510742188}",N/A,N/A,N/A,3,N/A
Historic NOLA Townhome ~ 4 Mi to French Quarter!,N/A,"{'latitude': 29.953371047973633, 'longitude': -90.12108612060547}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3794974&lc=google,N/A,20,N/A
Modern New Orleans Getaway: Central Location!,N/A,"{'latitude': 29.941757202148438, 'longitude': -90.05089569091797}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3339272&lc=google,N/A,6,N/A
Lively Loft Hideaway - Minutes to French Qtr Ferry,N/A,"{'latitude': 29.948944091796875, 'longitude': -90.04987335205078}",N/A,https://particularpoint.com/property/particular-point-one,N/A,635,N/A
Charming 2BR Suite Just Steps from the French Quarter,N/A,"{'latitude': 29.966379165649414, 'longitude': -90.03929138183594}",N/A,N/A,N/A,2,N/A
1100 ft² Apartment ∙ 2 bedrooms ∙ 4 guests,N/A,"{'latitude': 29.948759078979492, 'longitude': -90.10185241699219}",N/A,N/A,N/A,N/A,N/A
Mid City Southern Charmer on Lopez (Duplex),N/A,"{'latitude': 29.962614059448242, 'longitude': -90.09708404541016}",N/A,https://vacationnolarentals.com/property/H5WBNJJ8N6C532PZ,N/A,N/A,N/A
NOLA Hideaway: Modern 1BR Condo with BBQ Patio,N/A,"{'latitude': 29.953887939453125, 'longitude': -90.0724105834961}",N/A,N/A,N/A,4,N/A
La Belle Cottage II 2queenbeds 10min to French Qtr,N/A,"{'latitude': 29.934064865112305, 'longitude': -90.0939712524414}",N/A,https://www.booking.com/hotel/us/la-belle-cottage-ii-2queenbeds-10min-to-french-qtr-new-orleans.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-9397767_grp-3_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-9397767;utm_campaign=en,N/A,23,N/A
Cozy 2 bedroom- 2.4mi from downtown New Orleans (French Quarter).,N/A,"{'latitude': 29.994159698486328, 'longitude': -90.08191680908203}",N/A,N/A,N/A,16,N/A
2BR/2BA Retreat at The Heart of New Orleans,N/A,"{'latitude': 29.939035415649414, 'longitude': -90.0750503540039}",N/A,N/A,N/A,5,N/A
