Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
River Ridge cottage sleeps 6 Pet's Welcome 30 day min,N/A,"{'latitude': 29.966270446777344, 'longitude': -90.23064422607422}",N/A,N/A,N/A,2,N/A
The Claiborne,N/A,"{'latitude': 29.960783004760742, 'longitude': -90.15156555175781}",N/A,http://arlingtonrentals.com/unit-c,N/A,12,N/A
Brignac's Best Kept Secret!,N/A,"{'latitude': 29.953062057495117, 'longitude': -90.2136001586914}",N/A,N/A,N/A,N/A,N/A
Luxury Resort Style Apartment,N/A,"{'latitude': 29.951963424682617, 'longitude': -90.19525146484375}",N/A,N/A,N/A,N/A,N/A
Amazing condo in Metairie,N/A,"{'latitude': 29.978090286254883, 'longitude': -90.19461059570312}",N/A,N/A,N/A,N/A,N/A
All New Adorable Metairie Cottage Easy Access To All That New Orleans Offers!,N/A,"{'latitude': 29.976816177368164, 'longitude': -90.17359924316406}",N/A,N/A,N/A,1,N/A
"Cute cottage in safe, quiet area",N/A,"{'latitude': 29.95976448059082, 'longitude': -90.17375183105469}",N/A,N/A,N/A,N/A,N/A
Charming cottage in Kenner with AC and WiFi. Enjoy your stay,N/A,"{'latitude': 29.975908279418945, 'longitude': -90.24304962158203}",N/A,https://www.vrbo.com/4173299?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,1,N/A
Execustay Palmetto  Creek,N/A,"{'latitude': 29.964088439941406, 'longitude': -90.18536376953125}",N/A,N/A,N/A,N/A,N/A
All New Adorable Cottage With Easy Access To All That New Orleans Offers!,N/A,"{'latitude': 29.976810455322266, 'longitude': -90.17359161376953}",N/A,https://www.bluepillow.com/search?p_id=589dfe157c00cb10c8dad71d&dest=bpvr&cat=House&accomodationids=62174a1ca72397968068cdfb,N/A,1,N/A
La Plaza Apartments,N/A,"{'latitude': 29.99530029296875, 'longitude': -90.15879821777344}",N/A,https://www.super.com/travel/hotels/G4V6XYgl?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
"Charming 2-bedroom house with AC, fitness room and WiFi in adorable Metairie",N/A,"{'latitude': 29.978708267211914, 'longitude': -90.2243881225586}",N/A,N/A,N/A,3,N/A
Relax and repeat enjoy country living,N/A,"{'latitude': 29.951580047607422, 'longitude': -90.23429107666016}",N/A,N/A,N/A,N/A,N/A
Star on N. Starrett,N/A,"{'latitude': 29.992277145385742, 'longitude': -90.22535705566406}",N/A,N/A,N/A,N/A,N/A
5 Mi to City Park: New Orleans Area Home,N/A,"{'latitude': 29.993370056152344, 'longitude': -90.15731048583984}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3774338&lc=google,N/A,3,N/A
Townhouse 2,N/A,"{'latitude': 29.960792541503906, 'longitude': -90.15155792236328}",N/A,http://arlingtonrentals.com/unit-3b,N/A,N/A,N/A
Charming & Chic Bayou Cottage Minutes from NOLA,N/A,"{'latitude': 29.89856719970703, 'longitude': -90.15088653564453}",N/A,N/A,N/A,N/A,N/A
RAMADA LIMITED METAIRIE,N/A,"{'latitude': 30.000873565673828, 'longitude': -90.15489959716797}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D4027711%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
