Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Marguerite Creole Country Cottage,N/A,"{'latitude': 29.94540786743164, 'longitude': -90.365234375}",N/A,N/A,N/A,80,N/A
River Cottage near the Airport - Three-Bedroom House,N/A,"{'latitude': 29.939130783081055, 'longitude': -90.33871459960938}",N/A,N/A,N/A,N/A,N/A
St Rose Log Cabin apartment near Airport,N/A,"{'latitude': 29.966346740722656, 'longitude': -90.29846954345703}",N/A,https://www.vrbo.com/3887896?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,1,N/A
🌹Southern’s Beauty 1🌹,N/A,"{'latitude': 30.026084899902344, 'longitude': -90.2606201171875}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D76174011%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
River Cottage minutes away from the Airport. Walking Trail  Park nearby.,N/A,"{'latitude': 29.93494987487793, 'longitude': -90.33988189697266}",N/A,N/A,N/A,26,N/A
Home Away From Home. Only 20 Minutes From New Orleans,N/A,"{'latitude': 29.955289840698242, 'longitude': -90.32096099853516}",N/A,https://www.bluepillow.com/search?p_id=589dfe177c00cb10c8dad736&dest=bpex&cat=House&accomodationids=63975331fc70cceab61d0632,N/A,N/A,N/A
Charming Louisiana Getaway w/ Deck & Yard!,N/A,"{'latitude': 29.98301887512207, 'longitude': -90.37889099121094}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3760348&lc=google,N/A,6,N/A
River Cottage minutes away from the Airport. Walking Trail & Park nearby.,N/A,"{'latitude': 29.934955596923828, 'longitude': -90.33988189697266}",N/A,https://www.us.despegar.com/hotels/h-5933549,N/A,N/A,N/A
Convenient Kenner Unit with Patio - 1 Mi to Airport! - Holiday Home,N/A,"{'latitude': 30.011152267456055, 'longitude': -90.2679672241211}",N/A,N/A,N/A,N/A,N/A
Cozy and Private1-bedroom apartment in Metairie with WiFi  and other amenities,N/A,"{'latitude': 29.99909782409668, 'longitude': -90.2320327758789}",N/A,N/A,N/A,1,N/A
Charming cottage in Kenner with AC and WiFi. Enjoy your stay,N/A,"{'latitude': 29.975908279418945, 'longitude': -90.24304962158203}",N/A,https://www.vrbo.com/4173299?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,1,N/A
🌹Southern’s beauty 🌹,N/A,"{'latitude': 30.026079177856445, 'longitude': -90.2606201171875}",N/A,https://www.bluepillow.com/search?p_id=589dfe157c00cb10c8dad70a&dest=bpex&cat=House&accomodationids=6233a3564c4d8d9b9b7c50b8,N/A,N/A,N/A
Southern’s Beauty2 very close to airport,N/A,"{'latitude': 30.022422790527344, 'longitude': -90.26578521728516}",N/A,https://www.booking.com/hotel/us/southerns-beauty2-very-close-to-airport.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-11602104_grp-0_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-11602104;utm_campaign=en,N/A,N/A,N/A
"Charming 2-bedroom house with AC, fitness room and WiFi in adorable Metairie",N/A,"{'latitude': 29.978708267211914, 'longitude': -90.2243881225586}",N/A,N/A,N/A,3,N/A
Newly Listed Spacious Cozy bedroom,N/A,"{'latitude': 30.014619827270508, 'longitude': -90.24778747558594}",N/A,https://www.bluepillow.com/search?p_id=589dfe157c00cb10c8dad70a&dest=bpex&cat=House&accomodationids=62337c6d4c4d8d9b9b767c4f,N/A,N/A,N/A
Marie Celeste Creole Country Cottage,N/A,"{'latitude': 29.94654083251953, 'longitude': -90.3661880493164}",N/A,N/A,N/A,2,N/A
Star on N. Starrett,N/A,"{'latitude': 29.992277145385742, 'longitude': -90.22535705566406}",N/A,N/A,N/A,N/A,N/A
MYS Airport New Orleans,N/A,"{'latitude': 30.004486083984375, 'longitude': -90.27127838134766}",N/A,N/A,N/A,N/A,N/A
