Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Tchop Maison off Napoleon - Stroll to Magazine!,N/A,"{'latitude': 29.91693687438965, 'longitude': -90.10636138916016}",N/A,http://pinhasproperties.com/property/tchop-maison-off-napoleon-stroll-to-magazine/,N/A,122,N/A
Audubon House Apt. 3: 1bd/1ba,N/A,"{'latitude': 29.936729431152344, 'longitude': -90.1336669921875}",N/A,N/A,N/A,N/A,N/A
Audubon House Apt. 5 Studio,N/A,"{'latitude': 29.93368911743164, 'longitude': -90.13585662841797}",N/A,N/A,N/A,N/A,N/A
Beautiful 2 BR Suite Uptown\/Audubon Riverside,N/A,"{'latitude': 29.921672821044922, 'longitude': -90.12384796142578}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D101950736%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Eclectic Westwego Retreat w/ Sunroom & Patio!,N/A,"{'latitude': 29.896684646606445, 'longitude': -90.13899230957031}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3101044&lc=google,N/A,45,N/A
Pet-Friendly Irish Channel home base,N/A,"{'latitude': 29.916458129882812, 'longitude': -90.10709381103516}",N/A,https://www.stayredamo.com/accommodations/the-tchoup,N/A,113,N/A
Audubon House Apt. 2: 2bd/1ba,N/A,"{'latitude': 29.93497085571289, 'longitude': -90.12931060791016}",N/A,https://www.bluepillow.com/search?p_id=5a63f498e864c01c688c4d35&dest=bpex&cat=Apartment&accomodationids=65cb7b653e6d928972f61f51,N/A,N/A,N/A
Uptown Comfort with Yard-Pet Friendly with Fee,N/A,"{'latitude': 29.917255401611328, 'longitude': -90.1099853515625}",N/A,N/A,N/A,1,N/A
Private 2BR Condo in Uptown,N/A,"{'latitude': 29.93478775024414, 'longitude': -90.10671997070312}",N/A,https://www.hosteeva.com/properties/available/details/2416-private-2br-condo-in-uptown?external_channel=177,N/A,140,N/A
Charming Uptown Bungalow just steps to Magazine St,N/A,"{'latitude': 29.92037010192871, 'longitude': -90.11721801757812}",N/A,https://www.madeagainrentals.com/listing/en/637269,N/A,N/A,N/A
Charming & Chic Bayou Cottage Minutes from NOLA,N/A,"{'latitude': 29.89856719970703, 'longitude': -90.15088653564453}",N/A,N/A,N/A,N/A,N/A
Freret Apartments near Street Car & Tulane,N/A,"{'latitude': 29.93507194519043, 'longitude': -90.10660552978516}",N/A,N/A,N/A,N/A,N/A
Sonder At Uptown,N/A,"{'latitude': 29.92009925842285, 'longitude': -90.10769653320312}",N/A,https://www.super.com/travel/hotels/G4VZn0Vl?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
Bright and Open 5-Bedroom w/Patio | Sleeps 10!,N/A,"{'latitude': 29.91670799255371, 'longitude': -90.11695861816406}",N/A,https://www.stayredamo.com/accommodations/the-mardi-gras,N/A,29,N/A
Bayou Dreams,N/A,"{'latitude': 29.903980255126953, 'longitude': -90.1456298828125}",N/A,N/A,N/A,N/A,N/A
Private 2BR House in Uptown,N/A,"{'latitude': 29.93475914001465, 'longitude': -90.10672760009766}",N/A,N/A,N/A,8,N/A
Laissez-Faire Lounge On Magazine,N/A,"{'latitude': 29.920499801635742, 'longitude': -90.10769653320312}",N/A,https://www.super.com/travel/hotels/lXaxxnOj?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
Audubon House Apt.1: 2bd/1ba,N/A,"{'latitude': 29.936050415039062, 'longitude': -90.13114929199219}",N/A,N/A,N/A,N/A,N/A
