Name,Description,Coordinates,Latitude,Longitude,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown,Address
Thousand Trails Forest Lake,"Woodsy cabins with kitchens, plus a pool, a hot tub, sports courts, mini-golf & a relaxed eatery.","{'latitude': 35.860118, 'longitude': -80.396121}",35.860118,-80.396121,2,https://thousandtrails.com/north-carolina/forest-lake-rv-camping-resort/?utm_source=yext&utm_medium=directory&utm_campaign=Yext%20Directory%20Listing,"[{'stars': 5, 'count': 379}, {'stars': 4, 'count': 201}, {'stars': 3, 'count': 86}, {'stars': 2, 'count': 36}, {'stars': 1, 'count': 71}]",773,"[{'name': 'Property', 'description': 'Property', 'total_mentioned': 104, 'positive': 79, 'negative': 16, 'neutral': 9}, {'name': 'Family', 'description': 'Family friendly', 'total_mentioned': 86, 'positive': 62, 'negative': 14, 'neutral': 10}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 120, 'positive': 77, 'negative': 30, 'neutral': 13}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 17, 'positive': 4, 'negative': 10, 'neutral': 3}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 17, 'positive': 1, 'negative': 13, 'neutral': 3}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 42, 'positive': 9, 'negative': 27, 'neutral': 6}]","498, Thousand Trails Drive, Davie County, North Carolina, 27006, United States"
TownePlace Suites New Orleans Metairie,"Relaxed all-suite hotel with free Wi-Fi & continental breakfast, plus a gym & an outdoor pool.","{'latitude': 29.9646448, 'longitude': -90.1912036}",29.9646448,-90.1912036,2,https://www.marriott.com/en-us/hotels/msytm-towneplace-suites-new-orleans-metairie/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 296}, {'stars': 4, 'count': 188}, {'stars': 3, 'count': 72}, {'stars': 2, 'count': 39}, {'stars': 1, 'count': 67}]",662,"[{'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 11, 'positive': 2, 'negative': 8, 'neutral': 1}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 12, 'positive': 11, 'negative': 0, 'neutral': 1}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 9, 'positive': 6, 'negative': 0, 'neutral': 3}, {'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 8, 'positive': 6, 'negative': 0, 'neutral': 2}, {'name': 'Gym', 'description': 'Gym', 'total_mentioned': 5, 'positive': 2, 'negative': 1, 'neutral': 2}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 175, 'positive': 130, 'negative': 38, 'neutral': 7}]","TownePlace Suites New Orleans Metairie, 5424, Citrus Boulevard, Elmwood, Jefferson Parish, Louisiana, 70123, United States"
Red Roof Inn New Orleans - Westbank,,"{'latitude': 29.895479599999994, 'longitude': -90.08826309999999}",29.895479599999994,-90.0882631,2,https://www.redroof.com/property/la/Harvey/RRI1087?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI1087,"[{'stars': 5, 'count': 66}, {'stars': 4, 'count': 33}, {'stars': 3, 'count': 60}, {'stars': 2, 'count': 25}, {'stars': 1, 'count': 170}]",354,"[{'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 113, 'positive': 15, 'negative': 94, 'neutral': 4}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 72, 'positive': 3, 'negative': 67, 'neutral': 2}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 82, 'positive': 4, 'negative': 76, 'neutral': 2}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 98, 'positive': 22, 'negative': 70, 'neutral': 6}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 8, 'positive': 3, 'negative': 5, 'neutral': 0}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 27, 'positive': 3, 'negative': 22, 'neutral': 2}]","3754, Westbank Expressway, Harvey, Jefferson Parish, Louisiana, 70058, United States"
Catahoula New Orleans,"Low-key rooms in a chic hotel offering a stylish cocktail bar, plus a rooftop bar with city views","{'latitude': 29.951846099999994, 'longitude': -90.0732132}",29.951846099999997,-90.0732132,2,https://catahoulahotel.com/,"[{'stars': 5, 'count': 359}, {'stars': 4, 'count': 141}, {'stars': 3, 'count': 45}, {'stars': 2, 'count': 45}, {'stars': 1, 'count': 97}]",687,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 199, 'positive': 156, 'negative': 22, 'neutral': 21}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 107, 'positive': 17, 'negative': 72, 'neutral': 18}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 122, 'positive': 33, 'negative': 72, 'neutral': 17}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 119, 'positive': 95, 'negative': 11, 'neutral': 13}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 277, 'positive': 165, 'negative': 89, 'neutral': 23}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 97, 'positive': 22, 'negative': 62, 'neutral': 13}]","Perdido Street, Storyville, New Orleans, Orleans Parish, Louisiana, 70112, United States"
Garden District Hotel Collection,"Polished rooms & suites in a stately hotel connected by courtyards, plus free breakfast & Wi-Fi.","{'latitude': 29.938013, 'longitude': -90.07464759999999}",29.938013,-90.0746476,2,,"[{'stars': 5, 'count': 70}, {'stars': 4, 'count': 47}, {'stars': 3, 'count': 7}, {'stars': 2, 'count': 4}, {'stars': 1, 'count': 9}]",137,"[{'name': 'Property', 'description': 'Property', 'total_mentioned': 67, 'positive': 54, 'negative': 8, 'neutral': 5}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 19, 'positive': 11, 'negative': 5, 'neutral': 3}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 45, 'positive': 38, 'negative': 1, 'neutral': 6}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 40, 'positive': 30, 'negative': 7, 'neutral': 3}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 14, 'positive': 12, 'negative': 1, 'neutral': 1}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 6, 'positive': 4, 'negative': 0, 'neutral': 2}]","The Prytania Park Hotel, Terpsichore Street, Lower Garden District, Garden District, New Orleans, Orleans Parish, Louisiana, 70130, United States"
Red Roof Inn Battle Creek,"Simple rooms in an unassuming hotel offering a heated pool, plus  parking & Wi-Fi access.","{'latitude': 42.260063099999996, 'longitude': -85.1967715}",42.2600631,-85.1967715,2,https://www.redroof.com/property/mi/battle-creek/RRI335?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI335,"[{'stars': 5, 'count': 193}, {'stars': 4, 'count': 124}, {'stars': 3, 'count': 133}, {'stars': 2, 'count': 92}, {'stars': 1, 'count': 214}]",756,"[{'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 278, 'positive': 92, 'negative': 175, 'neutral': 11}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 119, 'positive': 4, 'negative': 109, 'neutral': 6}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 172, 'positive': 33, 'negative': 124, 'neutral': 15}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 55, 'positive': 26, 'negative': 25, 'neutral': 4}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 57, 'positive': 5, 'negative': 45, 'neutral': 7}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 29, 'positive': 3, 'negative': 24, 'neutral': 2}]","Howard Johnson's, Beckley Road, Battle Creek, Calhoun County, Michigan, 49015, United States"
Historic Mardi Gras Inn,"Relaxed hotel offering basic rooms & suites, plus continental breakfast & shared courtyards.","{'latitude': 29.9677528, 'longitude': -90.05527500000001}",29.9677528,-90.05527500000001,2,http://www.historicmardigrasinn.com/,"[{'stars': 5, 'count': 314}, {'stars': 4, 'count': 150}, {'stars': 3, 'count': 87}, {'stars': 2, 'count': 54}, {'stars': 1, 'count': 130}]",735,"[{'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 103, 'positive': 20, 'negative': 74, 'neutral': 9}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 162, 'positive': 68, 'negative': 85, 'neutral': 9}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 115, 'positive': 35, 'negative': 76, 'neutral': 4}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 251, 'positive': 150, 'negative': 86, 'neutral': 15}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 63, 'positive': 47, 'negative': 12, 'neutral': 4}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 188, 'positive': 127, 'negative': 51, 'neutral': 10}]","Olde Town Inn, 1001, Marigny Street, French Market, Faubourg Marigny, New Orleans, Orleans Parish, Louisiana, 70117, United States"
The Lookout Inn of New Orleans,"Quirky, colorful guesthouse suites, offering free WiFi & minifridges, plus outdoor saltwater pool.","{'latitude': 29.962202099999995, 'longitude': -90.03192539999999}",29.962202099999995,-90.03192539999999,2,http://www.lookoutneworleans.com/,"[{'stars': 5, 'count': 68}, {'stars': 4, 'count': 6}, {'stars': 3, 'count': 0}, {'stars': 2, 'count': 1}, {'stars': 1, 'count': 1}]",76,"[{'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 17, 'positive': 17, 'negative': 0, 'neutral': 0}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 25, 'positive': 24, 'negative': 0, 'neutral': 1}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 15, 'positive': 14, 'negative': 1, 'neutral': 0}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 6, 'positive': 5, 'negative': 1, 'neutral': 0}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 23, 'positive': 20, 'negative': 0, 'neutral': 3}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 13, 'positive': 12, 'negative': 0, 'neutral': 1}]","833, Poland Avenue, Bywater, New Orleans, Orleans Parish, Louisiana, 70117, United States"
Lamothe House Hotel,"Refined 1839 hotel offering rooms & suites with low-key or Victorian decor, plus an outdoor pool.","{'latitude': 29.963182999999997, 'longitude': -90.0593416}",29.963183,-90.0593416,2,http://www.frenchquarterguesthouses.com/,"[{'stars': 5, 'count': 341}, {'stars': 4, 'count': 103}, {'stars': 3, 'count': 27}, {'stars': 2, 'count': 17}, {'stars': 1, 'count': 33}]",521,"[{'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 35, 'positive': 27, 'negative': 3, 'neutral': 5}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 75, 'positive': 56, 'negative': 11, 'neutral': 8}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 234, 'positive': 180, 'negative': 31, 'neutral': 23}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 173, 'positive': 148, 'negative': 11, 'neutral': 14}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 200, 'positive': 167, 'negative': 25, 'neutral': 8}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 37, 'positive': 33, 'negative': 1, 'neutral': 3}]","621, Esplanade Avenue, French Market, Faubourg Marigny, New Orleans, Orleans Parish, Louisiana, 70116, United States"
Hotel Royal,Modern rooms & suites in a restored 1827 Creole townhouse with free coffee & breakfast.,"{'latitude': 29.960487999999994, 'longitude': -90.0623506}",29.960487999999994,-90.0623506,2,http://www.hotelroyalnola.com/,"[{'stars': 5, 'count': 316}, {'stars': 4, 'count': 123}, {'stars': 3, 'count': 46}, {'stars': 2, 'count': 31}, {'stars': 1, 'count': 49}]",565,"[{'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 56, 'positive': 11, 'negative': 36, 'neutral': 9}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 243, 'positive': 160, 'negative': 51, 'neutral': 32}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 213, 'positive': 168, 'negative': 34, 'neutral': 11}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 69, 'positive': 20, 'negative': 41, 'neutral': 8}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 130, 'positive': 109, 'negative': 9, 'neutral': 12}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 59, 'positive': 10, 'negative': 41, 'neutral': 8}]","1006, Royal Street, French Quarter, New Orleans, Orleans Parish, Louisiana, 70116, United States"
