Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Four Points by Sheraton Suites Tampa Airport Westshore,"Casual quarters with kitchenettes in an informal hotel offering dining, a gym & a free area shuttle.","{'latitude': 27.951507499999998, 'longitude': -82.5185012}",3,https://www.marriott.com/en-us/hotels/tpafp-four-points-suites-tampa-airport-westshore/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 1004}, {'stars': 4, 'count': 501}, {'stars': 3, 'count': 211}, {'stars': 2, 'count': 99}, {'stars': 1, 'count': 168}]",1983,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 531, 'positive': 328, 'negative': 175, 'neutral': 28}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 226, 'positive': 168, 'negative': 29, 'neutral': 29}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 704, 'positive': 506, 'negative': 139, 'neutral': 59}, {'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 107, 'positive': 79, 'negative': 20, 'neutral': 8}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 162, 'positive': 60, 'negative': 85, 'neutral': 17}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 154, 'positive': 31, 'negative': 110, 'neutral': 13}]"
Tahitian Inn,"South Seas-themed quarters with free Wi-Fi, plus a spa & a heated outdoor pool with a tiki bar.","{'latitude': 27.939229899999997, 'longitude': -82.5064773}",3,http://www.tahitianinn.com/,"[{'stars': 5, 'count': 534}, {'stars': 4, 'count': 277}, {'stars': 3, 'count': 181}, {'stars': 2, 'count': 99}, {'stars': 1, 'count': 232}]",1323,"[{'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 207, 'positive': 132, 'negative': 55, 'neutral': 20}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 181, 'positive': 125, 'negative': 38, 'neutral': 18}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 334, 'positive': 218, 'negative': 93, 'neutral': 23}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 478, 'positive': 239, 'negative': 187, 'neutral': 52}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 164, 'positive': 26, 'negative': 127, 'neutral': 11}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 138, 'positive': 101, 'negative': 26, 'neutral': 11}]"
Chase Suite Hotel Tampa/Rocky Point,"Relaxed getaway offering contemporary studios & suites, plus a pool & happy hour with free drinks.","{'latitude': 27.9705394, 'longitude': -82.5618504}",3,https://www.chasehoteltampa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,"[{'stars': 5, 'count': 494}, {'stars': 4, 'count': 237}, {'stars': 3, 'count': 154}, {'stars': 2, 'count': 77}, {'stars': 1, 'count': 196}]",1158,"[{'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 129, 'positive': 61, 'negative': 54, 'neutral': 14}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 149, 'positive': 44, 'negative': 89, 'neutral': 16}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 296, 'positive': 161, 'negative': 119, 'neutral': 16}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 148, 'positive': 109, 'negative': 22, 'neutral': 17}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 108, 'positive': 59, 'negative': 36, 'neutral': 13}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 393, 'positive': 197, 'negative': 160, 'neutral': 36}]"
Courtyard Tampa Northwest/Veterans Expressway,"Laid-back rooms in a relaxed hotel offering a restaurant/bar, a 24/7 fitness room & an outdoor pool.","{'latitude': 28.0620016, 'longitude': -82.570866}",3,https://www.marriott.com/en-us/hotels/tpanw-courtyard-tampa-northwest-veterans-expressway/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 390}, {'stars': 4, 'count': 93}, {'stars': 3, 'count': 22}, {'stars': 2, 'count': 5}, {'stars': 1, 'count': 15}]",525,"[{'name': 'Property', 'description': 'Property', 'total_mentioned': 163, 'positive': 144, 'negative': 10, 'neutral': 9}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 142, 'positive': 126, 'negative': 13, 'neutral': 3}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 135, 'positive': 114, 'negative': 15, 'neutral': 6}]"
The Barrymore Hotel Tampa Riverwalk,"Classic rooms, an art gallery & an outdoor pool, plus a free local shuttle & a casual eatery/bar.","{'latitude': 27.952850299999998, 'longitude': -82.46382899999999}",3,https://www.barrymorehotel.com/,"[{'stars': 5, 'count': 882}, {'stars': 4, 'count': 514}, {'stars': 3, 'count': 286}, {'stars': 2, 'count': 119}, {'stars': 1, 'count': 148}]",1949,"[{'name': 'Location', 'description': 'Location', 'total_mentioned': 397, 'positive': 331, 'negative': 33, 'neutral': 33}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 504, 'positive': 358, 'negative': 118, 'neutral': 28}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 191, 'positive': 39, 'negative': 126, 'neutral': 26}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 562, 'positive': 343, 'negative': 170, 'neutral': 49}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 163, 'positive': 74, 'negative': 67, 'neutral': 22}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 360, 'positive': 225, 'negative': 116, 'neutral': 19}]"
The Godfrey Hotel & Cabanas Tampa,"Breezy waterfront property with Wi-Fi, plus an outdoor pool, live music & al fresco dining.","{'latitude': 27.9663352, 'longitude': -82.5705871}",3,https://www.godfreyhoteltampa.com/?utm_source=local-directories&utm_medium=organic&utm_campaign=travelclick-localconnect,"[{'stars': 5, 'count': 1549}, {'stars': 4, 'count': 810}, {'stars': 3, 'count': 569}, {'stars': 2, 'count': 360}, {'stars': 1, 'count': 763}]",4051,"[{'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 254, 'positive': 198, 'negative': 34, 'neutral': 22}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 737, 'positive': 312, 'negative': 350, 'neutral': 75}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 669, 'positive': 43, 'negative': 591, 'neutral': 35}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 1167, 'positive': 552, 'negative': 510, 'neutral': 105}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 445, 'positive': 221, 'negative': 177, 'neutral': 47}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 222, 'positive': 79, 'negative': 101, 'neutral': 42}]"
Sailport Waterfront Suites,"Suites with private balconies & kitchens in a waterfront venue, plus a pool & free airport shuttle.","{'latitude': 27.963661199999997, 'longitude': -82.5719014}",3,https://www.providentresorts.com/sailport-waterfront-suites/?utm_source=local&utm_campaign=gmb&utm_medium=organic,"[{'stars': 5, 'count': 1413}, {'stars': 4, 'count': 597}, {'stars': 3, 'count': 213}, {'stars': 2, 'count': 110}, {'stars': 1, 'count': 166}]",2499,"[{'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 255, 'positive': 210, 'negative': 28, 'neutral': 17}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 493, 'positive': 351, 'negative': 97, 'neutral': 45}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 308, 'positive': 224, 'negative': 51, 'neutral': 33}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 213, 'positive': 170, 'negative': 27, 'neutral': 16}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 290, 'positive': 245, 'negative': 29, 'neutral': 16}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 481, 'positive': 310, 'negative': 146, 'neutral': 25}]"
"The Westshore Grand, A Tribute Portfolio Hotel, Tampa","Polished property featuring a bar & a refined steakhouse, plus a rooftop pool, a gym & a cafe.","{'latitude': 27.943555099999998, 'longitude': -82.52540359999999}",4,https://www.marriott.com/en-us/hotels/tpagr-the-westshore-grand-a-tribute-portfolio-hotel-tampa/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 1194}, {'stars': 4, 'count': 528}, {'stars': 3, 'count': 190}, {'stars': 2, 'count': 84}, {'stars': 1, 'count': 137}]",2133,"[{'name': 'Location', 'description': 'Location', 'total_mentioned': 297, 'positive': 243, 'negative': 26, 'neutral': 28}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 174, 'positive': 82, 'negative': 63, 'neutral': 29}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 497, 'positive': 337, 'negative': 135, 'neutral': 25}, {'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 129, 'positive': 77, 'negative': 23, 'neutral': 29}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 669, 'positive': 508, 'negative': 108, 'neutral': 53}, {'name': 'Business', 'description': 'Business', 'total_mentioned': 115, 'positive': 68, 'negative': 23, 'neutral': 24}]"
Grand Hyatt Tampa Bay,"Refined rooms with flat-screens, plus a nature preserve, 2 pools & an on-site Italian restaurant.","{'latitude': 27.965196199999998, 'longitude': -82.55008579999999}",4,https://www.hyatt.com/grand-hyatt/en-US/tparw-grand-hyatt-tampa-bay?src=corp_lclb_google_seo_tparw&%3Futm_source=google&utm_medium=organic&utm_campaign=lmr,"[{'stars': 5, 'count': 2596}, {'stars': 4, 'count': 670}, {'stars': 3, 'count': 168}, {'stars': 2, 'count': 76}, {'stars': 1, 'count': 126}]",3636,"[{'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 204, 'positive': 177, 'negative': 14, 'neutral': 13}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 873, 'positive': 732, 'negative': 102, 'neutral': 39}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 222, 'positive': 137, 'negative': 59, 'neutral': 26}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 343, 'positive': 266, 'negative': 45, 'neutral': 32}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 334, 'positive': 262, 'negative': 46, 'neutral': 26}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 945, 'positive': 781, 'negative': 102, 'neutral': 62}]"
Fairfield Inn & Suites Tampa Westshore/Airport,"Warm quarters in an informal hotel with a pool, plus free breakfast & airport shuttle service.","{'latitude': 27.9617155, 'longitude': -82.5129046}",3,https://www.marriott.com/en-us/hotels/tpawa-fairfield-inn-and-suites-tampa-westshore-airport/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 489}, {'stars': 4, 'count': 235}, {'stars': 3, 'count': 48}, {'stars': 2, 'count': 19}, {'stars': 1, 'count': 45}]",836,"[{'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 110, 'positive': 78, 'negative': 19, 'neutral': 13}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 125, 'positive': 108, 'negative': 9, 'neutral': 8}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 240, 'positive': 190, 'negative': 45, 'neutral': 5}, {'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 49, 'positive': 41, 'negative': 7, 'neutral': 1}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 193, 'positive': 163, 'negative': 25, 'neutral': 5}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 53, 'positive': 33, 'negative': 10, 'neutral': 10}]"
