Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Charming Arnold Home with Patio and Chicken Coop!,N/A,"{'latitude': 38.44228744506836, 'longitude': -90.39373016357422}",N/A,https://www.booking.com/hotel/us/charming-arnold-home-with-patio-and-chicken-coop.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-11140733_grp-1_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-11140733;utm_campaign=en,N/A,N/A,N/A
Cute affordable little house -peaceful and safe,N/A,"{'latitude': 38.38129425048828, 'longitude': -90.36597442626953}",N/A,https://www.vrbo.com/3965071?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,6,N/A
Stewart Acres,N/A,"{'latitude': 38.43172073364258, 'longitude': -90.40309143066406}",N/A,N/A,N/A,N/A,N/A
Serenity Log Inn -Log out and Log Inn to Serenity,N/A,"{'latitude': 38.382442474365234, 'longitude': -90.37309265136719}",N/A,N/A,N/A,30,N/A
"Large Luxury 5-bedroom house in charming St. Louis, MO with amazing bathrooms!",N/A,"{'latitude': 38.42372131347656, 'longitude': -90.37602233886719}",N/A,https://www.vrbo.com/4278636?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Cute house in a very quiet safe area -3 br 1 b,N/A,"{'latitude': 38.38209915161133, 'longitude': -90.36730194091797}",N/A,https://www.us.despegar.com/hotels/h-5885018,N/A,N/A,N/A
Rustic Secluded Guest House w\/ Valley Views + Pool,N/A,"{'latitude': 38.33805465698242, 'longitude': -90.43485260009766}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D91714032%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Cozy Studio in the Heart of Downtown Kimmswick,N/A,"{'latitude': 38.367740631103516, 'longitude': -90.36341857910156}",N/A,https://hometeam.guestybookings.com/properties/64f7d229ab94d0004afe7155,N/A,18,N/A
Rustic Secluded Guest House w/ Valley Views + Pool,N/A,"{'latitude': 38.338050842285156, 'longitude': -90.43485260009766}",N/A,https://www.bluepillow.com/search?p_id=589dfe247c00cb10c8dad80b&dest=bpvr&cat=Apartment&accomodationids=6397589fb05b4aeb869baaa4,N/A,31,N/A
"Kimmswick Porch Haven: Hot Tub, Cozy Fire Pit, & Fenced Yard!",N/A,"{'latitude': 38.36756896972656, 'longitude': -90.36376190185547}",N/A,https://hometeam.guestybookings.com/properties/66e4981648acc8001391c035,N/A,1,N/A
"Stewart Acres...""Big City Close, w/ Big Country Charm""",N/A,"{'latitude': 38.42618942260742, 'longitude': -90.42227172851562}",N/A,https://www.bluepillow.com/search?p_id=589dfe247c00cb10c8dad80b&dest=bpex&cat=Apartment&accomodationids=62335eeb4c4d8d9b9b7219b4,N/A,N/A,N/A
Downtown Kimmswick Studio Newly Renovated,N/A,"{'latitude': 38.36768341064453, 'longitude': -90.36363983154297}",N/A,https://www.booking.com/hotel/us/downtown-kimmswick-studio-newly-renovated.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-11929106_grp-2_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-11929106;utm_campaign=en,N/A,N/A,N/A
Nice big Ranch home - 0.5 acre lot,N/A,"{'latitude': 38.39759063720703, 'longitude': -90.3969497680664}",N/A,https://www.bluepillow.com/search?p_id=589dfe247c00cb10c8dad80b&dest=bpvr&cat=House&accomodationids=65cbacbad1633aac9178ce40,N/A,1,N/A
Cozy town house - 3 Queen beds,N/A,"{'latitude': 38.33979797363281, 'longitude': -90.40216064453125}",N/A,https://www.us.despegar.com/hotels/h-5849051,N/A,N/A,N/A
Downtown Kimmswick Room~Renovated~Prime Location,N/A,"{'latitude': 38.36811447143555, 'longitude': -90.36653137207031}",N/A,https://www.booking.com/hotel/us/downtown-kimmswick-room-renovated-prime-location.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-11293995_grp-3_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-11293995;utm_campaign=en,N/A,N/A,N/A
4 Bedroom Cabin Retreat,N/A,"{'latitude': 38.41167068481445, 'longitude': -90.45631408691406}",N/A,https://www.vrbo.com/4125024?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,1,N/A
Beautiful house 5 brm 4ba,N/A,"{'latitude': 38.49477767944336, 'longitude': -90.33792114257812}",N/A,https://www.us.despegar.com/hotels/h-4892203,N/A,N/A,N/A
Beautiful House - Secure  Quiet -4 BR 2.5 B - 6 Queen Beds,N/A,"{'latitude': 38.48746109008789, 'longitude': -90.45423889160156}",N/A,https://www.bluepillow.com/search?p_id=589dfd767c00cb10c8dace18&dest=bkng&cat=House&accomodationids=648620cf7f7e24c192312bdc,N/A,N/A,N/A
