Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
"Office + 5 BR, Movie Theater , Creve Coeur -10 Sleep surface",N/A,"{'latitude': 38.654998779296875, 'longitude': -90.47563934326172}",N/A,N/A,N/A,9,N/A
"Retro Ranch With Private Indoor Pool & Sauna <br>St Louis, MO",N/A,"{'latitude': 38.5972785949707, 'longitude': -90.55211639404297}",N/A,N/A,N/A,227,N/A
"Retro Ranch With Private Indoor Pool  Sauna <br>St Louis, MO",N/A,"{'latitude': 38.59727096557617, 'longitude': -90.55210876464844}",N/A,https://www.bluepillow.com/search?p_id=589dfd747c00cb10c8dacdfb&dest=bpvr&cat=House&accomodationids=62174eeea7239796806aacd5,N/A,213,N/A
Private Home STL County/3 Bed/2 Bath/Saltwater Pool,N/A,"{'latitude': 38.61282730102539, 'longitude': -90.52476501464844}",N/A,https://www.vrbo.com/7366891ha?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,14,N/A
Private Home STL County\/3 Bed\/2 Bath\/Saltwater Pool,N/A,"{'latitude': 38.614681243896484, 'longitude': -90.52479553222656}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D116821151%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Charming Ballwin Home < 1 Mi to Vlasis Park!,N/A,"{'latitude': 38.5960807800293, 'longitude': -90.53633880615234}",N/A,https://www.vrbo.com/9704454ha?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,12,N/A
Spacious 4 bedroom home,N/A,"{'latitude': 38.6064453125, 'longitude': -90.52648162841797}",N/A,https://www.us.despegar.com/hotels/h-5049871,N/A,N/A,N/A
Convenient Newly Renovated Ballwin 2 Bedroom Condo,N/A,"{'latitude': 38.58878707885742, 'longitude': -90.5439682006836}",N/A,N/A,N/A,10,N/A
Landing at Waterford Manors - 2 Bedrooms in Valley Park,N/A,"{'latitude': 38.572330474853516, 'longitude': -90.47884368896484}",N/A,https://landing.holidayfuture.com/listings/223822?googleVR=1,N/A,N/A,N/A
Cozy centrally located home.,N/A,"{'latitude': 38.59787368774414, 'longitude': -90.50431823730469}",N/A,https://www.booking.com/hotel/us/cozy-centrally-located-home-ballwin.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-11130063_grp-3_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-11130063;utm_campaign=en,N/A,N/A,N/A
"Valley - 9 Beds, 3 TVs, Sleeps 14 - Luxury Stay.",N/A,"{'latitude': 38.53703689575195, 'longitude': -90.48812103271484}",N/A,https://saintlouis.hospitable.rentals/property/7-beds-3-tvs-sleeps-14-newly-renovated,N/A,66,N/A
Cottage of Castlewood,N/A,"{'latitude': 38.55668258666992, 'longitude': -90.54534149169922}",N/A,N/A,N/A,34,N/A
"Charming entire ranch home - 3 bedrooms , 1-restroom ❤️ Free drive way parking ❤️",N/A,"{'latitude': 38.58287811279297, 'longitude': -90.54432678222656}",N/A,N/A,N/A,9,N/A
Landing at Reflection Cove Apartments - 2 Bedrooms in Town And Country,N/A,"{'latitude': 38.59330368041992, 'longitude': -90.4841537475586}",N/A,https://landing.holidayfuture.com/listings/225218?googleVR=1,N/A,N/A,N/A
"“Ritz-Carlton” quality, The Villa on Himalayan",N/A,"{'latitude': 38.58794021606445, 'longitude': -90.62017822265625}",N/A,https://www.bluepillow.com/search?p_id=5bb577f787c3f63da40ff753&dest=bpex&cat=Villa&accomodationids=6233ada84c4d8d9b9b804aaa,N/A,N/A,N/A
Top Of Castlewood,N/A,"{'latitude': 38.549583435058594, 'longitude': -90.5536117553711}",N/A,N/A,N/A,25,N/A
Cozy and Comfortable Home in West County,N/A,"{'latitude': 38.583412170410156, 'longitude': -90.54165649414062}",N/A,N/A,N/A,69,N/A
Cabin of Castlewood,N/A,"{'latitude': 38.549251556396484, 'longitude': -90.55303955078125}",N/A,https://www.vrbo.com/9171440ha?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,31,N/A
