Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
"Office + 5 BR, Movie Theater , Creve Coeur -10 Sleep surface",N/A,"{'latitude': 38.654998779296875, 'longitude': -90.47563934326172}",N/A,N/A,N/A,9,N/A
Landing at The Parq at Chesterfield - 1 Bedroom in Chesterfield,N/A,"{'latitude': 38.64968490600586, 'longitude': -90.57020568847656}",N/A,https://www.vrbo.com/4110326?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
"Spacious Missouri Retreat w/ Pool, Gym & Game Room",N/A,"{'latitude': 38.64683532714844, 'longitude': -90.65896606445312}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3812361&lc=google,N/A,14,N/A
2 Connecting Suites at a  Hotel,N/A,"{'latitude': 38.66307830810547, 'longitude': -90.56803894042969}",N/A,https://www.bluepillow.com/search?p_id=589dfd747c00cb10c8dacdfb&dest=bpex&cat=House&accomodationids=6233aaf94c4d8d9b9b7ecede,N/A,N/A,N/A
Landing at Waterford Manors - 2 Bedrooms in Valley Park,N/A,"{'latitude': 38.572330474853516, 'longitude': -90.47884368896484}",N/A,https://landing.holidayfuture.com/listings/223822?googleVR=1,N/A,N/A,N/A
Zine Home (USA),N/A,"{'latitude': 38.65071105957031, 'longitude': -90.55961608886719}",N/A,N/A,N/A,N/A,N/A
Serenity Apartment,N/A,"{'latitude': 38.62791061401367, 'longitude': -90.52017211914062}",N/A,N/A,N/A,N/A,N/A
Private Home STL County\/3 Bed\/2 Bath\/Saltwater Pool,N/A,"{'latitude': 38.614681243896484, 'longitude': -90.52479553222656}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D116821151%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Safest place in town,N/A,"{'latitude': 38.64638900756836, 'longitude': -90.55773162841797}",N/A,N/A,N/A,N/A,N/A
Stay with us in a private home.  Easy access to Chesterfield Valley attractions.we,N/A,"{'latitude': 38.6576042175293, 'longitude': -90.58260345458984}",N/A,N/A,N/A,N/A,N/A
Newly Renovated 3 Bedroom St. Charles MO Home,N/A,"{'latitude': 38.73795700073242, 'longitude': -90.59518432617188}",N/A,N/A,N/A,1,N/A
Private Home STL County/3 Bed/2 Bath/Saltwater Pool,N/A,"{'latitude': 38.61282730102539, 'longitude': -90.52476501464844}",N/A,https://www.vrbo.com/7366891ha?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,14,N/A
Spacious Loft Suite with Fully-equipped Kitchen! W/ Pool  Sports Court Onsite!,N/A,"{'latitude': 38.65222930908203, 'longitude': -90.55198669433594}",N/A,https://www.bluepillow.com/search?p_id=589dfd747c00cb10c8dacdfb&dest=bpex&cat=House&accomodationids=65cb86cd3e6d928972f95f91,N/A,1,N/A
Full finished basement with walkout. Full bathroom and mini kitchen.,N/A,"{'latitude': 38.72930145263672, 'longitude': -90.66389465332031}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D76691270%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Landing at Reflection Cove Apartments - 1 Bedroom in Town And Country,N/A,"{'latitude': 38.59330368041992, 'longitude': -90.4841537475586}",N/A,https://landing.holidayfuture.com/listings/225217?googleVR=1,N/A,N/A,N/A
Blair's Graffiti House + Game Room - Hot Tub,N/A,"{'latitude': 38.671836853027344, 'longitude': -90.47531127929688}",N/A,N/A,N/A,26,N/A
"Retro Ranch With Private Indoor Pool & Sauna <br>St Louis, MO",N/A,"{'latitude': 38.5972785949707, 'longitude': -90.55211639404297}",N/A,N/A,N/A,227,N/A
Stunning Basement Retreat at the Heart of St. Charles!,N/A,"{'latitude': 38.7353401184082, 'longitude': -90.56890869140625}",N/A,N/A,N/A,5,N/A
