Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Cozy Retreat Near Mercy Hospital & SLUH,N/A,"{'latitude': 38.66370391845703, 'longitude': -90.3597412109375}",N/A,https://whimstay.com/detail/Cozy-Retreat-Near-Mercy-Hospital-SLUH/214507?isgoogle=true,N/A,17,N/A
"Office + 5 BR, Movie Theater , Creve Coeur -10 Sleep surface",N/A,"{'latitude': 38.654998779296875, 'longitude': -90.47563934326172}",N/A,N/A,N/A,9,N/A
West County Gem - Easy access to STL attractions!,N/A,"{'latitude': 38.59928894042969, 'longitude': -90.42861938476562}",N/A,https://www.us.despegar.com/hotels/h-5733810,N/A,N/A,N/A
"Cozy,  2 bedroom bungalow in desirable Kirkwood MO",N/A,"{'latitude': 38.60301971435547, 'longitude': -90.41699981689453}",N/A,https://www.bluepillow.com/search?p_id=589dfcdb7c00cb10c8dac743&dest=bpex&cat=House&accomodationids=65cb96e63e6d928972fd7423,N/A,N/A,N/A
Little House in Kirkwood,N/A,"{'latitude': 38.587867736816406, 'longitude': -90.4144515991211}",N/A,N/A,N/A,2,N/A
"Beethoven - Sleeps 11, 7 bed, 2 bath",N/A,"{'latitude': 38.59059524536133, 'longitude': -90.42626953125}",N/A,https://saintlouis.hospitable.rentals/property/kirkwood-paradise-30-day-rental,N/A,55,N/A
Cute 2-Bed 2- Bath Cottage in Kirkwood MO,N/A,"{'latitude': 38.56174850463867, 'longitude': -90.39997100830078}",N/A,https://www.bluepillow.com/search?p_id=589dfcdb7c00cb10c8dac743&dest=bpvr&cat=House&accomodationids=62177daea7239796807df5b6,N/A,65,N/A
Landing at Reflection Cove Apartments - 2 Bedrooms in Town And Country,N/A,"{'latitude': 38.59330368041992, 'longitude': -90.4841537475586}",N/A,https://landing.holidayfuture.com/listings/225218?googleVR=1,N/A,N/A,N/A
Cozy centrally located home.,N/A,"{'latitude': 38.59787368774414, 'longitude': -90.50431823730469}",N/A,https://www.booking.com/hotel/us/cozy-centrally-located-home-ballwin.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-11130063_grp-3_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-11130063;utm_campaign=en,N/A,N/A,N/A
Updated Fam Friendly 2 bd w\/ Large Deck!,N/A,"{'latitude': 38.60688781738281, 'longitude': -90.3712387084961}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D76386787%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
The Farmhouse,N/A,"{'latitude': 38.542198181152344, 'longitude': -90.3630599975586}",N/A,https://jandjdesignteam.hospitable.rentals/property/the-farmhouse,N/A,4,N/A
Landing at Waterford Manors - 2 Bedrooms in Valley Park,N/A,"{'latitude': 38.572330474853516, 'longitude': -90.47884368896484}",N/A,https://landing.holidayfuture.com/listings/223822?googleVR=1,N/A,N/A,N/A
Remodeled Kirkwood Guest house,N/A,"{'latitude': 38.59361267089844, 'longitude': -90.4099349975586}",N/A,N/A,N/A,67,N/A
"Home with Pool in Webster Groves, MO!",N/A,"{'latitude': 38.57040023803711, 'longitude': -90.37718200683594}",N/A,https://www.bluepillow.com/search?p_id=589dfd767c00cb10c8dace18&dest=bpvr&cat=House&accomodationids=64906bfeba24250813befe88,N/A,N/A,N/A
Glendale Charmer,N/A,"{'latitude': 38.58903884887695, 'longitude': -90.3775634765625}",N/A,https://www.vrbo.com/3383464?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Updated Fam Friendly 2 bd w/ Large Deck!,N/A,"{'latitude': 38.60688018798828, 'longitude': -90.3712387084961}",N/A,N/A,N/A,1,N/A
Crixdale,N/A,"{'latitude': 38.67335891723633, 'longitude': -90.3542251586914}",N/A,https://www.booking.com/hotel/us/crixdale.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-10222947_grp-3_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-10222947;utm_campaign=en,N/A,N/A,N/A
Webster Groves detached Mother-in-Law Suite,N/A,"{'latitude': 38.602474212646484, 'longitude': -90.34231567382812}",N/A,N/A,N/A,N/A,N/A
