Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
"St. Charles, MO house with Private Patio",N/A,"{'latitude': 38.787689208984375, 'longitude': -90.48214721679688}",N/A,https://www.bluepillow.com/search?p_id=589dfe237c00cb10c8dad800&dest=bpex&cat=House&accomodationids=63974a9dfc70cceab61aafa6,N/A,N/A,N/A
"1830's Luxury Brick Cottage, Cozy Fireplace, right off the Cobblestone Streets!",N/A,"{'latitude': 38.77674102783203, 'longitude': -90.48365020751953}",N/A,N/A,N/A,192,N/A
"1870's Luxury Guest Cottage, Historic Downtown St. Charles, Mo.",N/A,"{'latitude': 38.77743148803711, 'longitude': -90.4861068725586}",N/A,N/A,N/A,245,N/A
#4 The Penny Farthing Le Velo Inn,N/A,"{'latitude': 38.793121337890625, 'longitude': -90.47705841064453}",N/A,https://leveloinn.lodgify.com/listing/en/657288,N/A,N/A,N/A
Stay on Historic Main!,N/A,"{'latitude': 38.780311584472656, 'longitude': -90.48165893554688}",N/A,N/A,N/A,242,N/A
"Duplex Hideaway in St. Charles, MO",N/A,"{'latitude': 38.77267837524414, 'longitude': -90.48484802246094}",N/A,https://www.bluepillow.com/search?p_id=589dfe237c00cb10c8dad800&dest=bpvr&cat=Apartment&accomodationids=65cc60e1d1633aac917e58ce,N/A,N/A,N/A
Duplex Hideaway in Saint Charles MO,N/A,"{'latitude': 38.77286148071289, 'longitude': -90.48590087890625}",N/A,N/A,N/A,2,N/A
The cardinal Nest A cozy Cottage on main st,N/A,"{'latitude': 38.77286911010742, 'longitude': -90.48600006103516}",N/A,N/A,N/A,37,N/A
Boschert - 4 bedroom - 6 beds w/ finished basement,N/A,"{'latitude': 38.79432678222656, 'longitude': -90.49051666259766}",N/A,https://saintcharles.hospitable.rentals/property/4-bedroom-6-beds-w-finished-basement,N/A,18,N/A
Dreamy St Charles Retreat with Furnished Patio!,N/A,"{'latitude': 38.78871154785156, 'longitude': -90.49751281738281}",N/A,N/A,N/A,17,N/A
"#7 The Hub. Eclectic, 1 bed 1 ba perfect getaway",N/A,"{'latitude': 38.79311752319336, 'longitude': -90.47720336914062}",N/A,https://leveloinn.lodgify.com/listing/en/657265,N/A,N/A,N/A
Luxurious couples retreat just steps from Historic Main Street in St. Charles!,N/A,"{'latitude': 38.77131652832031, 'longitude': -90.48599243164062}",N/A,N/A,N/A,76,N/A
The Historic Bricks on Main,N/A,"{'latitude': 38.78255081176758, 'longitude': -90.4808578491211}",N/A,N/A,N/A,68,N/A
"1790's Renovated Barn, Main Street St. Charles, Hot Tub in private backyard!",N/A,"{'latitude': 38.77280807495117, 'longitude': -90.48326110839844}",N/A,N/A,N/A,200,N/A
Houston -5 Bed - Business professionals- work crew,N/A,"{'latitude': 38.78826904296875, 'longitude': -90.49371337890625}",N/A,https://saintcharles.hospitable.rentals/property/houston-7-bed-3-bedroom,N/A,42,N/A
Quaint 2-Bedroom in Historic Frenchtown,N/A,"{'latitude': 38.79084396362305, 'longitude': -90.47799682617188}",N/A,https://whimstay.com/detail/Charming-Historic-Haven-TV-Wifi-Deck-Washer-Dryer/334212?isgoogle=true,N/A,N/A,N/A
5th Street #1 · Historic 5th Street House - Fully Rehabbed # 1,N/A,"{'latitude': 38.776798248291016, 'longitude': -90.489501953125}",N/A,N/A,N/A,7,N/A
"Indulge in Home-Like Comfort! Fully-equipped Kitchen, Pet-friendly Property!",N/A,"{'latitude': 38.76090621948242, 'longitude': -90.45469665527344}",N/A,https://www.vrbo.com/3321548?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
