Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Fenton Oasis,N/A,"{'latitude': 38.52846145629883, 'longitude': -90.4827880859375}",N/A,N/A,N/A,7,N/A
TownePlace Suites St. Louis Fenton,N/A,"{'latitude': 38.540260314941406, 'longitude': -90.44611358642578}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D44538575%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,179,N/A
Webster Groves detached Mother-in-Law Suite,N/A,"{'latitude': 38.602474212646484, 'longitude': -90.34231567382812}",N/A,N/A,N/A,N/A,N/A
The Lake House STL,N/A,"{'latitude': 38.474273681640625, 'longitude': -90.50094604492188}",N/A,https://thelakehousestl.lodgify.com/listing/en/686553,N/A,N/A,N/A
Landing at Waterford Manors - 2 Bedrooms in Valley Park,N/A,"{'latitude': 38.572330474853516, 'longitude': -90.47884368896484}",N/A,https://landing.holidayfuture.com/listings/223822?googleVR=1,N/A,N/A,N/A
Cute 2-Bed 2- Bath Cottage in Kirkwood MO,N/A,"{'latitude': 38.56175231933594, 'longitude': -90.39997100830078}",N/A,N/A,N/A,85,N/A
The Farmhouse,N/A,"{'latitude': 38.542198181152344, 'longitude': -90.3630599975586}",N/A,https://jandjdesignteam.hospitable.rentals/property/the-farmhouse,N/A,4,N/A
Little House in Kirkwood,N/A,"{'latitude': 38.587867736816406, 'longitude': -90.4144515991211}",N/A,N/A,N/A,2,N/A
Two blocks front Grants Farm! Pets allowed fenced.,N/A,"{'latitude': 38.5390510559082, 'longitude': -90.36194610595703}",N/A,N/A,N/A,N/A,N/A
Top Of Castlewood,N/A,"{'latitude': 38.549583435058594, 'longitude': -90.5536117553711}",N/A,N/A,N/A,25,N/A
Cozy centrally located home.,N/A,"{'latitude': 38.59787368774414, 'longitude': -90.50431823730469}",N/A,https://www.booking.com/hotel/us/cozy-centrally-located-home-ballwin.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-11130063_grp-3_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-11130063;utm_campaign=en,N/A,N/A,N/A
Woodbine - Cozy Kirkwood Home - 30 Day Rental,N/A,"{'latitude': 38.57406234741211, 'longitude': -90.41728973388672}",N/A,https://saintlouis.hospitable.rentals/property/cozy-home-in-kirkwood-30-day-rental,N/A,292,N/A
Landing at Reflection Cove Apartments - 2 Bedrooms in Town And Country,N/A,"{'latitude': 38.59330368041992, 'longitude': -90.4841537475586}",N/A,https://landing.holidayfuture.com/listings/225218?googleVR=1,N/A,N/A,N/A
"Home with Pool in Webster Groves, MO!",N/A,"{'latitude': 38.57040023803711, 'longitude': -90.37718200683594}",N/A,https://www.bluepillow.com/search?p_id=589dfd767c00cb10c8dace18&dest=bpvr&cat=House&accomodationids=64906bfeba24250813befe88,N/A,N/A,N/A
Cottage of Castlewood,N/A,"{'latitude': 38.55668258666992, 'longitude': -90.54534149169922}",N/A,N/A,N/A,34,N/A
Super 8 By Wyndham Fenton/St. Louis Area,N/A,"{'latitude': 38.54188919067383, 'longitude': -90.45218658447266}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D1242066%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,7,N/A
Pet and Family Friendly House - Great Location- 30 Minutes to Downtown,N/A,"{'latitude': 38.56682586669922, 'longitude': -90.54056549072266}",N/A,https://www.us.despegar.com/hotels/h-5970249,N/A,N/A,N/A
"Huntwood - Updated, 4 Bedroom, 2 Bath - Sleeps 12",N/A,"{'latitude': 38.56807327270508, 'longitude': -90.4264907836914}",N/A,https://saintlouis.hospitable.rentals/property/updated-4-bedroom-sleeps-12,N/A,88,N/A
