Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Cozy Retreat Near Mercy Hospital & SLUH,N/A,"{'latitude': 38.66370391845703, 'longitude': -90.3597412109375}",N/A,https://whimstay.com/detail/Cozy-Retreat-Near-Mercy-Hospital-SLUH/214507?isgoogle=true,N/A,17,N/A
Beautiful 2-bedroom house in awesome Ferguson .Mo with WiFi,N/A,"{'latitude': 38.74283218383789, 'longitude': -90.28961944580078}",N/A,https://www.vrbo.com/4173508?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,1,N/A
Stylish and Classy Home for You,N/A,"{'latitude': 38.74155044555664, 'longitude': -90.30667114257812}",N/A,https://www.vrbo.com/4267682?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Delightful Cottage by Clayton,N/A,"{'latitude': 38.67157745361328, 'longitude': -90.34001922607422}",N/A,N/A,N/A,1,N/A
Pet Friendly 'Hidden Paradise' on 5 Acres With Hot Tub & Deck,N/A,"{'latitude': 38.80583572387695, 'longitude': -90.25801849365234}",N/A,https://www.bringfido.com/lodging/1860438?aid=googlerentals-website,N/A,1,N/A
Leopardprint Co.Executive Suite,N/A,"{'latitude': 38.73991012573242, 'longitude': -90.29403686523438}",N/A,https://www.vrbo.com/3491915?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,5,N/A
Charming Country Cottage minutes from amenities,N/A,"{'latitude': 38.801841735839844, 'longitude': -90.25430297851562}",N/A,https://www.bluepillow.com/search?p_id=589dfd367c00cb10c8dacbb3&dest=bpvr&cat=Apartment&accomodationids=65cbaa2ad1633aac917756de,N/A,N/A,N/A
"Cozy 3-bedroom bungalow with WiFi, AC in welcoming St. Louis county",N/A,"{'latitude': 38.751365661621094, 'longitude': -90.32371520996094}",N/A,https://www.vrbo.com/4067127?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
"4 bedroom spacious oasis with game room, sleeps 11",N/A,"{'latitude': 38.75493240356445, 'longitude': -90.31993865966797}",N/A,N/A,N/A,6,N/A
Cozy 2 Bedroom Home ( Pet Friendly),N/A,"{'latitude': 38.714481353759766, 'longitude': -90.34674072265625}",N/A,https://www.bluepillow.com/search?p_id=589dfe237c00cb10c8dad800&dest=bpex&cat=House&accomodationids=639754b9fc70cceab61da562,N/A,N/A,N/A
"Retreat Home, Swimming Pool, jacuzzi, sauna, Game room, Basketball Court .",N/A,"{'latitude': 38.759910583496094, 'longitude': -90.27938842773438}",N/A,N/A,N/A,1,N/A
Urban Farm minutes from St Louis complete with animals and outdoor entertainment,N/A,"{'latitude': 38.75028991699219, 'longitude': -90.29821014404297}",N/A,N/A,N/A,N/A,N/A
Comfy Stay Getaway,N/A,"{'latitude': 38.71908187866211, 'longitude': -90.29393005371094}",N/A,https://www.bluepillow.com/search?p_id=589dfe277c00cb10c8dad84a&dest=bpex&cat=House&accomodationids=65cb28b63e6d928972f2df3a,N/A,N/A,N/A
Zaire's Clubhouse private guest suite for two.,N/A,"{'latitude': 38.75730895996094, 'longitude': -90.31564331054688}",N/A,https://www.bluepillow.com/search?p_id=5c278605b838cd18605540d9&dest=bpex&cat=Apartment&accomodationids=6233ada44c4d8d9b9b804895,N/A,N/A,N/A
COZY SERENE 3BEDROOM 2STOREY HOME,N/A,"{'latitude': 38.78388977050781, 'longitude': -90.25960540771484}",N/A,https://www.vrbo.com/4173126?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Cozy 2bd w WiFi and Private Entry,N/A,"{'latitude': 38.738250732421875, 'longitude': -90.30508422851562}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D75700470%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
Cozy 2 Bed 1 Bath Cottage in Riverview,N/A,"{'latitude': 38.74131774902344, 'longitude': -90.2061996459961}",N/A,N/A,N/A,N/A,N/A
Newly Remodeled 3 Bedroom Home,N/A,"{'latitude': 38.74504852294922, 'longitude': -90.28079986572266}",N/A,https://www.bluepillow.com/search?p_id=5c278605b838cd18605540d9&dest=bpex&cat=House&accomodationids=65cb833c3e6d928972f7ea97,N/A,N/A,N/A
