Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Lavish Stay,N/A,"{'latitude': 38.78620910644531, 'longitude': -90.3072280883789}",N/A,https://www.us.despegar.com/hotels/h-6043061,N/A,N/A,N/A
Beautiful 2-bedroom house in awesome Ferguson .Mo with WiFi,N/A,"{'latitude': 38.74283218383789, 'longitude': -90.28961944580078}",N/A,https://www.vrbo.com/4173508?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,1,N/A
Comfy Stay Getaway,N/A,"{'latitude': 38.71908187866211, 'longitude': -90.29393005371094}",N/A,https://www.bluepillow.com/search?p_id=589dfe277c00cb10c8dad84a&dest=bpex&cat=House&accomodationids=65cb28b63e6d928972f2df3a,N/A,N/A,N/A
Pet Friendly 'Hidden Paradise' on 5 Acres With Hot Tub & Deck,N/A,"{'latitude': 38.80583572387695, 'longitude': -90.25801849365234}",N/A,https://www.bringfido.com/lodging/1860438?aid=googlerentals-website,N/A,1,N/A
"AirBnB Florissant, fire pit - pool open!",N/A,"{'latitude': 38.80897903442383, 'longitude': -90.2774429321289}",N/A,https://www.bluepillow.com/search?p_id=589dfd367c00cb10c8dacbb3&dest=bkng&cat=Villa&accomodationids=654cb0fc3011da1e8b78c784,N/A,N/A,N/A
Large Home - Tiki Room and Tub Open All Year,N/A,"{'latitude': 38.818843841552734, 'longitude': -90.25631713867188}",N/A,https://kenneth-miller.lodgify.com/listing/en/557641,N/A,N/A,N/A
Cozy 2bd w WiFi and Private Entry,N/A,"{'latitude': 38.738250732421875, 'longitude': -90.30508422851562}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D75700470%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
COZY SERENE 3BEDROOM 2STOREY HOME,N/A,"{'latitude': 38.78388977050781, 'longitude': -90.25960540771484}",N/A,https://www.vrbo.com/4173126?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Beautiful Walk-Out Garden Unit,N/A,"{'latitude': 38.80318832397461, 'longitude': -90.25895690917969}",N/A,https://www.bluepillow.com/search?p_id=589dfd367c00cb10c8dacbb3&dest=bpex&cat=Apartment&accomodationids=65cb281a3e6d928972f29ae8,N/A,N/A,N/A
Luxurious  Peaceful 2BR/2BA!,N/A,"{'latitude': 38.79772186279297, 'longitude': -90.21781921386719}",N/A,N/A,N/A,4,N/A
Best location near Saint Louis Downtown & Airport - Villa,N/A,"{'latitude': 38.754188537597656, 'longitude': -90.28759765625}",N/A,https://whimstay.com/detail/Best-location-near-Saint-Louis-Downtown-Airport-Villa/587550?isgoogle=true,N/A,N/A,N/A
Spacious 3bd/2bath Condo,N/A,"{'latitude': 38.796478271484375, 'longitude': -90.23343658447266}",N/A,https://www.bluepillow.com/search?p_id=589dfd367c00cb10c8dacbb3&dest=bpvr&cat=Apartment&accomodationids=63975624b05b4aeb869a8674,N/A,N/A,N/A
Lovely Landing Pad near Lambert Airport 3 bed bath,N/A,"{'latitude': 38.7301025390625, 'longitude': -90.34834289550781}",N/A,https://www.booking.com/hotel/us/lovely-landing-pad-near-lambert-airport-3-bed-bath.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-10609559_grp-3_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-10609559;utm_campaign=en,N/A,N/A,N/A
Comfy Cozy 3 Bedroom 2 Full Bathroom,N/A,"{'latitude': 38.75811767578125, 'longitude': -90.24705505371094}",N/A,N/A,N/A,N/A,N/A
Cozy Renovated Bungalow Perfect for Families,N/A,"{'latitude': 38.812294006347656, 'longitude': -90.2376480102539}",N/A,https://www.us.despegar.com/hotels/h-5042283,N/A,N/A,N/A
"Retreat Home, Swimming Pool, jacuzzi, sauna, Game room, Basketball Court .",N/A,"{'latitude': 38.759910583496094, 'longitude': -90.27938842773438}",N/A,N/A,N/A,1,N/A
Stylish and Classy Home for You,N/A,"{'latitude': 38.74155044555664, 'longitude': -90.30667114257812}",N/A,https://www.vrbo.com/4267682?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Serene 2 bedroom home in residential neighborhood.,N/A,"{'latitude': 38.73966979980469, 'longitude': -90.2057113647461}",N/A,https://www.bluepillow.com/search?p_id=5c278605b838cd18605540d9&dest=bpex&cat=House&accomodationids=6397566bfc70cceab61e4d86,N/A,N/A,N/A
