Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Comfy Stay Getaway,N/A,"{'latitude': 38.71908187866211, 'longitude': -90.29393005371094}",N/A,https://www.bluepillow.com/search?p_id=589dfe277c00cb10c8dad84a&dest=bpex&cat=House&accomodationids=65cb28b63e6d928972f2df3a,N/A,N/A,N/A
Lavish Stay,N/A,"{'latitude': 38.78620910644531, 'longitude': -90.3072280883789}",N/A,https://www.us.despegar.com/hotels/h-6043061,N/A,N/A,N/A
Beautiful 2-bedroom house in awesome Ferguson .Mo with WiFi,N/A,"{'latitude': 38.74283218383789, 'longitude': -90.28961944580078}",N/A,https://www.vrbo.com/4173508?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,1,N/A
"The River Stables in St. Charles, MO",N/A,"{'latitude': 38.8304328918457, 'longitude': -90.40824890136719}",N/A,N/A,N/A,9,N/A
Cozy 2bd w WiFi and Private Entry,N/A,"{'latitude': 38.738250732421875, 'longitude': -90.30508422851562}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D75700470%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
'Hidden Paradise' on 5 Acres w/ Hot Tub & Deck!,N/A,"{'latitude': 38.80583572387695, 'longitude': -90.25801849365234}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3281263&lc=google,N/A,133,N/A
Cozy 2 Bedroom Home ( Pet Friendly),N/A,"{'latitude': 38.714481353759766, 'longitude': -90.34674072265625}",N/A,https://www.bluepillow.com/search?p_id=589dfe237c00cb10c8dad800&dest=bpex&cat=House&accomodationids=639754b9fc70cceab61da562,N/A,N/A,N/A
Large Home - Tiki Room and Tub Open All Year,N/A,"{'latitude': 38.818843841552734, 'longitude': -90.25631713867188}",N/A,https://kenneth-miller.lodgify.com/listing/en/557641,N/A,N/A,N/A
Charming quiet 2-bedroom duplex,N/A,"{'latitude': 38.715110778808594, 'longitude': -90.37931060791016}",N/A,https://www.vrbo.com/4093114?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,1,N/A
Home near Airport and Highway!,N/A,"{'latitude': 38.770599365234375, 'longitude': -90.33242797851562}",N/A,https://www.bluepillow.com/search?p_id=589dfd367c00cb10c8dacbb3&dest=bpvr&cat=House&accomodationids=64906e8aba24250813c1717a,N/A,N/A,N/A
Pet-Friendly Home - 3 Mi to St Louis Airport,N/A,"{'latitude': 38.72795104980469, 'longitude': -90.39627075195312}",N/A,N/A,N/A,N/A,N/A
Best location near Saint Louis Downtown & Airport - Villa,N/A,"{'latitude': 38.754188537597656, 'longitude': -90.28759765625}",N/A,https://whimstay.com/detail/Best-location-near-Saint-Louis-Downtown-Airport-Villa/587550?isgoogle=true,N/A,N/A,N/A
"AirBnB Florissant, fire pit - pool open!",N/A,"{'latitude': 38.80897903442383, 'longitude': -90.2774429321289}",N/A,https://www.bluepillow.com/search?p_id=589dfd367c00cb10c8dacbb3&dest=bkng&cat=Villa&accomodationids=654cb0fc3011da1e8b78c784,N/A,N/A,N/A
St Ann Townhome < 1 Mi to International Airport!,N/A,"{'latitude': 38.73738479614258, 'longitude': -90.37427520751953}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3794293&lc=google,N/A,N/A,N/A
5 minutes STL Airport! Family-sized town home with full kitchen,N/A,"{'latitude': 38.737022399902344, 'longitude': -90.37430572509766}",N/A,https://www.vrbo.com/3007140?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Luxurious  Peaceful 2BR/2BA!,N/A,"{'latitude': 38.79772186279297, 'longitude': -90.21781921386719}",N/A,N/A,N/A,4,N/A
Secluded Florissant Home w/ Private Hot Tub!,N/A,"{'latitude': 38.84621810913086, 'longitude': -90.25729370117188}",N/A,https://www.bluepillow.com/search?p_id=589dfd367c00cb10c8dacbb3&dest=bpex&cat=House&accomodationids=6233ada04c4d8d9b9b80458a,N/A,N/A,N/A
Cozy Renovated Bungalow Perfect for Families,N/A,"{'latitude': 38.812294006347656, 'longitude': -90.2376480102539}",N/A,https://www.us.despegar.com/hotels/h-5042283,N/A,N/A,N/A
