Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Cozy Retreat Near Mercy Hospital & SLUH,N/A,"{'latitude': 38.66370391845703, 'longitude': -90.3597412109375}",N/A,https://whimstay.com/detail/Cozy-Retreat-Near-Mercy-Hospital-SLUH/214507?isgoogle=true,N/A,17,N/A
Keur Koura @The Ville,N/A,"{'latitude': 38.65285110473633, 'longitude': -90.23493194580078}",N/A,https://www.booking.com/hotel/us/keur-koura-the-ville.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-11456053_grp-1_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-11456053;utm_campaign=en,N/A,3,N/A
Keur Koura @The Ville - Four-Bedroom House,N/A,"{'latitude': 38.65285110473633, 'longitude': -90.23492431640625}",N/A,N/A,N/A,5,N/A
Urban Vivacious Family Home 8 Minutes from Downtown St. Louis!,N/A,"{'latitude': 38.652732849121094, 'longitude': -90.2652587890625}",N/A,N/A,N/A,3,N/A
Comfy Stay Getaway,N/A,"{'latitude': 38.71908187866211, 'longitude': -90.29393005371094}",N/A,https://www.bluepillow.com/search?p_id=589dfe277c00cb10c8dad84a&dest=bpex&cat=House&accomodationids=65cb28b63e6d928972f2df3a,N/A,N/A,N/A
Beautiful 2-bedroom house in awesome Ferguson .Mo with WiFi,N/A,"{'latitude': 38.74283218383789, 'longitude': -90.28961944580078}",N/A,https://www.vrbo.com/4173508?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,1,N/A
Kasa Forest Park St. Louis,N/A,"{'latitude': 38.647701263427734, 'longitude': -90.2791976928711}",N/A,https://www.super.com/travel/hotels/jAL4yzkl?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
1300 ft² Apartment ∙ 1 bedroom ∙ 4 guests,N/A,"{'latitude': 38.64746856689453, 'longitude': -90.2593765258789}",N/A,N/A,N/A,124,N/A
Comfortable Elegance Heart of CWE,N/A,"{'latitude': 38.64704132080078, 'longitude': -90.2584457397461}",N/A,https://CityGrove.holidayfuture.com/listings/171937?googleVR=1,N/A,129,N/A
#201 amazing location Delmar Loop 🌹🌹🌹,N/A,"{'latitude': 38.65496826171875, 'longitude': -90.29741668701172}",N/A,https://www.bluepillow.com/search?p_id=589dfe2a7c00cb10c8dad874&dest=bpvr&cat=Apartment&accomodationids=65cc3ccfd1633aac917a6e6b,N/A,N/A,N/A
St Louis Home with Mini Pool Table and Arcade Game!,N/A,"{'latitude': 38.67473602294922, 'longitude': -90.30319213867188}",N/A,https://www.booking.com/hotel/us/st-louis-home-with-mini-pool-table-and-arcade-game.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-11405335_grp-3_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-11405335;utm_campaign=en,N/A,N/A,N/A
Delightful Cottage by Clayton,N/A,"{'latitude': 38.67157745361328, 'longitude': -90.34001922607422}",N/A,N/A,N/A,1,N/A
St Louis Vacation Rental ~ 10 Mi to Downtown!,N/A,"{'latitude': 38.6987190246582, 'longitude': -90.28915405273438}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3559817&lc=google,N/A,N/A,N/A
Walk to Forest Park Euclid Fire Pit  Porch Swing,N/A,"{'latitude': 38.644874572753906, 'longitude': -90.25431823730469}",N/A,https://whimstay.com/detail/Charming-Forest-Park-Fire-Pit-Swing-House-Patio-Retreat/321857?isgoogle=true,N/A,12,N/A
Stylish and Classy Home for You,N/A,"{'latitude': 38.74155044555664, 'longitude': -90.30667114257812}",N/A,https://www.vrbo.com/4267682?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,N/A,N/A,N/A
Spacious CWE 3BR Near BJC By Zencity,N/A,"{'latitude': 38.649200439453125, 'longitude': -90.26190185546875}",N/A,https://www.super.com/travel/hotels/Gr6wyXwG?utm_source=gha_vr&utm_campaign=static,N/A,N/A,N/A
Cozy 2 Bdrm Home Newly Renovated Safe Location,N/A,"{'latitude': 38.686798095703125, 'longitude': -90.29257202148438}",N/A,https://www.bluepillow.com/search?p_id=589dfe277c00cb10c8dad84a&dest=bpex&cat=House&accomodationids=63974fdcfc70cceab61bd88f,N/A,N/A,N/A
Lovely 3 Bedroom with entertainment basement,N/A,"{'latitude': 38.70882034301758, 'longitude': -90.30307006835938}",N/A,N/A,N/A,N/A,N/A
