Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
"1 Bd Apt near Forest Park, Science Center & Dining",N/A,"{'latitude': 38.62614059448242, 'longitude': -90.26532745361328}",N/A,https://www.whitehousestl.com/listings/271251?googleVR=1,N/A,56,N/A
Historic St Louis Community living with 4 queen beds,N/A,"{'latitude': 38.60548782348633, 'longitude': -90.271484375}",N/A,https://www.booking.com/hotel/us/historic-st-louis-community-living-with-4-queen-beds.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-11742507_grp-3_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-11742507;utm_campaign=en,N/A,7,N/A
Modern Home Close to ALL THE FUN,N/A,"{'latitude': 38.602272033691406, 'longitude': -90.26070404052734}",N/A,https://google.bookeddirectly.com/g/st.-louis/modern-home-close-to-all-the-fun/d07e2b,N/A,N/A,N/A
"Forest park, Science Center, BJC & CWE eats - FL1",N/A,"{'latitude': 38.626216888427734, 'longitude': -90.26622772216797}",N/A,https://www.whitehousestl.com/listings/271250?googleVR=1,N/A,62,N/A
Quaint Two Bedroom Flat with Office,N/A,"{'latitude': 38.57909393310547, 'longitude': -90.28026580810547}",N/A,https://livelofty.holidayfuture.com/listings/221647?googleVR=1,N/A,14,N/A
2 Bedroom Apartment Heart of STL *Free Parking*,N/A,"{'latitude': 38.612159729003906, 'longitude': -90.234619140625}",N/A,https://www.dzkzgroup.com/listings/292023?googleVR=1,N/A,8,N/A
"Stylish 1 Bed SLU, Fox Thtr, CWE",N/A,"{'latitude': 38.63893508911133, 'longitude': -90.2386474609375}",N/A,https://www.whitehousestl.com/listings/271267?googleVR=1,N/A,18,N/A
Chic apartment in Historic area,N/A,"{'latitude': 38.638916015625, 'longitude': -90.23863220214844}",N/A,https://www.whitehousestl.com/listings/271261?googleVR=1,N/A,16,N/A
Keur Koura @The Ville,N/A,"{'latitude': 38.65285110473633, 'longitude': -90.23493194580078}",N/A,https://www.booking.com/hotel/us/keur-koura-the-ville.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-11456053_grp-1_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-11456053;utm_campaign=en,N/A,3,N/A
☆Spacious & Comfy☆Near Downtown☆Close to Zoo,N/A,"{'latitude': 38.58734130859375, 'longitude': -90.2778549194336}",N/A,https://huestaydirect.hospitable.rentals/property/spacious-comfynear-downtownclose-to-zoo,N/A,22,N/A
Family-Friendly St Louis Home < 6 Mi to Dtwn!,N/A,"{'latitude': 38.58281707763672, 'longitude': -90.25920104980469}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3280980&lc=google,N/A,1,N/A
(49.1W) Beautiful Getaway in Saint Louis,N/A,"{'latitude': 38.63099670410156, 'longitude': -90.29973602294922}",N/A,N/A,N/A,11,N/A
☆Spacious & Comfy☆Close to Zoo☆Near Downtown,N/A,"{'latitude': 38.58739471435547, 'longitude': -90.27789306640625}",N/A,https://huestaydirect.hospitable.rentals/property/spacious-comfyclose-to-zoonear-downtown,N/A,50,N/A
St. Louis: The Cozy Corner-2BR unit,N/A,"{'latitude': 38.595455169677734, 'longitude': -90.2294921875}",N/A,N/A,N/A,1,N/A
Luxury Apt w/ Spectrum Mood Lighting - Historic Cherokee Street Antique Row,N/A,"{'latitude': 38.59297561645508, 'longitude': -90.22404479980469}",N/A,N/A,N/A,86,N/A
Family-Friendly St Louis Home Less Than 6 Mi to Dtwn!,N/A,"{'latitude': 38.582820892333984, 'longitude': -90.25920104980469}",N/A,N/A,N/A,2,N/A
Home 4/ King Beds - Large Garage by StayStLouis,N/A,"{'latitude': 38.60049057006836, 'longitude': -90.23067474365234}",N/A,N/A,N/A,6,N/A
Keur Koura @The Ville - Four-Bedroom House,N/A,"{'latitude': 38.65285110473633, 'longitude': -90.23492431640625}",N/A,N/A,N/A,5,N/A
