Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
UNIT 22 - TREETOP 2 BEDROOM VILLA,N/A,"{'latitude': 38.187599182128906, 'longitude': -92.70182037353516}",N/A,https://ttvbookroom.lodgify.com/listing/en/357784,N/A,18,N/A
Turtle Cove   Lakefront & Indoor Pool!,N/A,"{'latitude': 38.1891975402832, 'longitude': -92.71429443359375}",N/A,https://www.shoresvacationhomes.com/listings/172787?googleVR=1,N/A,21,N/A
"Stockton Lake Escape with Kitchen, Half Mile to Lake",N/A,"{'latitude': 37.63256072998047, 'longitude': -93.80001831054688}",N/A,N/A,N/A,93,N/A
Indian Hills Hideaway,N/A,"{'latitude': 36.65849304199219, 'longitude': -94.46025085449219}",N/A,https://www.vacasa.com/unit/116824,N/A,32,N/A
Lake Ozark Getaway w/ Seasonal Pool & Private Deck,N/A,"{'latitude': 38.188133239746094, 'longitude': -92.71296691894531}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3758184&lc=google,N/A,3,N/A
UNIT 8 - TREETOP 2 BEDROOM VILLA,N/A,"{'latitude': 38.18793487548828, 'longitude': -92.6982421875}",N/A,https://ttvbookroom.lodgify.com/listing/en/357775,N/A,28,N/A
Warsaw Cabin w/ Sunroom & Lake Access!,N/A,"{'latitude': 38.261470794677734, 'longitude': -93.23426818847656}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3616350&lc=google,N/A,10,N/A
"Hillside Cabin Rentals, Hillside Cabin Rentals",N/A,"{'latitude': 37.36423110961914, 'longitude': -90.69794464111328}",N/A,https://www.hillsidecabinrentals.com/listing/en/358210,N/A,N/A,N/A
Enjoy A Great View and Work from the Lake!,N/A,"{'latitude': 38.12245559692383, 'longitude': -92.78834533691406}",N/A,https://house2play.net/the-hideout/,N/A,73,N/A
Amazing Location ~ Game Room & Hot Tub ~ Swim Dock,N/A,"{'latitude': 38.148014068603516, 'longitude': -92.70590209960938}",N/A,https://booking.ownerrez.com/request?brand=ora7ccdda463x&channel=GoogleVacationRentals&property=orp5b5c2d5x,N/A,36,N/A
Cozy Camdenton Cottage w/ Deck + Boat Dock Access!,N/A,"{'latitude': 38.066070556640625, 'longitude': -92.83209991455078}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3089987&lc=google,N/A,183,N/A
Updated A-Frame Cabin: Valley & Lake Kiwanie Views,N/A,"{'latitude': 36.3072395324707, 'longitude': -91.506103515625}",N/A,https://www.ozarkstays.com/valley-view-aframe-orp5b607acx,N/A,24,N/A
Kayaks-Lakefront Home - Kiwanie Lodge West,N/A,"{'latitude': 36.30459213256836, 'longitude': -91.5073013305664}",N/A,https://www.ozarkstays.com/kiwanie-lodge-west-orp5b4e68ax,N/A,59,N/A
Arkansas Cabin w/ Deck < 1 Mi to Norfork Lake,N/A,"{'latitude': 36.38276672363281, 'longitude': -92.22664642333984}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3801864&lc=google,N/A,4,N/A
Lake Ozark Chalet,N/A,"{'latitude': 38.132171630859375, 'longitude': -92.72403717041016}",N/A,https://salisburypropertymanagement.guestybookings.com/properties/65c63bf95918090019c0303e,N/A,1,N/A
Gorgeous chalet on lake Aspen~sleeps 8!,N/A,"{'latitude': 38.760337829589844, 'longitude': -91.02625274658203}",N/A,https://www.myvacationsfl.com/blue-haven-orp5b60ddbx,N/A,12,N/A
Lakefront Condo with Indoor Pool,N/A,"{'latitude': 38.18785095214844, 'longitude': -92.71189880371094}",N/A,https://salisburypropertymanagement.guestybookings.com/properties/637bab004c5a900049de0d37,N/A,24,N/A
"The Cove at Indian Point, #2",N/A,"{'latitude': 36.660823822021484, 'longitude': -93.35128784179688}",N/A,https://www.vacasa.com/unit/102793,N/A,33,N/A
