Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Elegant / Historic /St. Charles / W/Hot Tub,N/A,"{'latitude': 38.74677276611328, 'longitude': -90.51982116699219}",N/A,https://booking.explorestcharles.rentals/booking.php?propid=213797&sr1-best=1&apisource=58&referer=googlehpa,N/A,N/A,N/A
F 1 - 7 bed 2 bath townhouse sleeps 11.,N/A,"{'latitude': 38.772159576416016, 'longitude': -90.50540161132812}",N/A,https://saintcharles.hospitable.rentals/property/3-bed-2-bath-townhouse-sleeps-8,N/A,18,N/A
F 30 - Sleeps 8 -,N/A,"{'latitude': 38.77033615112305, 'longitude': -90.5044174194336}",N/A,https://saintcharles.hospitable.rentals/property/sleeps-7-only-2-min-from-convention-center-and,N/A,40,N/A
F 14-6 -  7 bed 2 bath townhouse Sleeps 11,N/A,"{'latitude': 38.77177429199219, 'longitude': -90.5082778930664}",N/A,https://saintcharles.hospitable.rentals/property/4-bed-2-bath-townhouse-sleeps-11,N/A,48,N/A
Dreamy St Charles Retreat w/ Furnished Patio!,N/A,"{'latitude': 38.78871154785156, 'longitude': -90.49751281738281}",N/A,https://www.us.despegar.com/hotels/h-4771415,N/A,N/A,N/A
"1870's Luxury Guest Cottage, Historic Downtown St. Charles, Mo.",N/A,"{'latitude': 38.77743148803711, 'longitude': -90.4861068725586}",N/A,N/A,N/A,245,N/A
Luxurious couples retreat just steps from Historic Main Street in St. Charles!,N/A,"{'latitude': 38.77131652832031, 'longitude': -90.48599243164062}",N/A,N/A,N/A,76,N/A
"St. Charles, MO house with Private Patio",N/A,"{'latitude': 38.787689208984375, 'longitude': -90.48214721679688}",N/A,https://www.bluepillow.com/search?p_id=589dfe237c00cb10c8dad800&dest=bpex&cat=House&accomodationids=63974a9dfc70cceab61aafa6,N/A,N/A,N/A
Quiet St Charles Cottage w/ Patio & 4 Acres,N/A,"{'latitude': 38.78813171386719, 'longitude': -90.52808380126953}",N/A,N/A,N/A,N/A,N/A
"Charming Cottage on Main St. in Historic St. Charles! Jetted Tub, 2 Fireplaces!!",N/A,"{'latitude': 38.77992248535156, 'longitude': -90.48426055908203}",N/A,N/A,N/A,228,N/A
"1790's Renovated Barn, Main Street St. Charles, Hot Tub in private backyard!",N/A,"{'latitude': 38.77280807495117, 'longitude': -90.48326110839844}",N/A,N/A,N/A,200,N/A
"1830's Luxury Brick Cottage, Cozy Fireplace, right off the Cobblestone Streets!",N/A,"{'latitude': 38.77674102783203, 'longitude': -90.48365020751953}",N/A,N/A,N/A,192,N/A
"Walk to St Charles Main St. Shops, Eateries  Bars! Close to Lindenwood U!",N/A,"{'latitude': 38.778228759765625, 'longitude': -90.48641967773438}",N/A,https://www.bluepillow.com/search?p_id=589dfe237c00cb10c8dad800&dest=bpex&cat=House&accomodationids=62df2fcf2d760a9969f2898e,N/A,N/A,N/A
Stay on Historic Main!,N/A,"{'latitude': 38.780311584472656, 'longitude': -90.48165893554688}",N/A,N/A,N/A,242,N/A
The Historic Bricks on Main,N/A,"{'latitude': 38.78255081176758, 'longitude': -90.4808578491211}",N/A,N/A,N/A,68,N/A
Quaint 2-Bedroom in Historic Frenchtown,N/A,"{'latitude': 38.79084396362305, 'longitude': -90.47799682617188}",N/A,https://whimstay.com/detail/Charming-Historic-Haven-TV-Wifi-Deck-Washer-Dryer/334212?isgoogle=true,N/A,N/A,N/A
#6 The Green Tyke Penthouse Le Velo Inn,N/A,"{'latitude': 38.793121337890625, 'longitude': -90.47705841064453}",N/A,https://leveloinn.lodgify.com/listing/en/657297,N/A,N/A,N/A
The cardinal Nest A cozy Cottage on main st,N/A,"{'latitude': 38.77286911010742, 'longitude': -90.48600006103516}",N/A,N/A,N/A,37,N/A
