Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
"160 ""1F"" Private Bright room minutes to Hoboken/NYC/WIFI",N/A,"{'latitude': 40.75014114379883, 'longitude': -74.04918670654297}",N/A,https://liveworkandmore.com.hospitable.rentals/property/160-1f-bright-room-minutes-to-hobokennycwifi,N/A,5,N/A
Hoboken Point,N/A,"{'latitude': 40.76042175292969, 'longitude': -74.02175903320312}",N/A,https://perezrentals.guestybookings.com/properties/663a770a9741e00083bfb69a,N/A,N/A,N/A
"Jersey City Retreat, Sun-Filled Loft",N/A,"{'latitude': 40.72858428955078, 'longitude': -74.04135131835938}",N/A,https://jcretreat.lodgify.com/listing/en/266369,N/A,N/A,N/A
Hudson Yard 408,N/A,"{'latitude': 40.75482940673828, 'longitude': -73.9959945678711}",N/A,https://www.booking.com/hotel/us/hudson-yard-408-new-york2.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-12447874_grp-2_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-12447874;utm_campaign=en,N/A,1,N/A
The Cozy Cove in Queens | Home Away From Home!,N/A,"{'latitude': 40.746559143066406, 'longitude': -73.88558197021484}",N/A,https://cozyqueens.lodgify.com/listing/en/564522,N/A,N/A,N/A
LGA Private 3 BR In Astoria • 15 Min to City,N/A,"{'latitude': 40.76981735229492, 'longitude': -73.92716979980469}",N/A,https://www.zahrasuites.com/listing/en/570772,N/A,N/A,N/A
Newly renovated| Mins to NYC |Private Backyard,N/A,"{'latitude': 40.73685073852539, 'longitude': -74.03311157226562}",N/A,https://homesweetjersey.lodgify.com/listing/en/609858,N/A,6,N/A
Stunning 2 Bedroom Apartment,N/A,"{'latitude': 40.7606315612793, 'longitude': -73.96923828125}",N/A,N/A,N/A,N/A,N/A
Elegant SoHo Loft,N/A,"{'latitude': 40.721351623535156, 'longitude': -74.00325775146484}",N/A,https://www.mycasania.com/listings/317153?googleVR=1,N/A,N/A,N/A
Le Palais II   1BR West Village Apt w Spa   Gym,N/A,"{'latitude': 40.733646392822266, 'longitude': -74.0097885131836}",N/A,https://www.travelstaytion.com/rooms/764169,N/A,N/A,N/A
Sophisticated 4-Bed Apt Close to NYC,N/A,"{'latitude': 40.7469596862793, 'longitude': -74.06027221679688}",N/A,N/A,N/A,N/A,N/A
Spacious 1 Bedroom Studio in Midtown East,N/A,"{'latitude': 40.75262451171875, 'longitude': -73.96793365478516}",N/A,N/A,N/A,N/A,N/A
Beautiful One  Bedroom Apartment By Central Park,N/A,"{'latitude': 40.78744888305664, 'longitude': -73.9700698852539}",N/A,N/A,N/A,102,N/A
Sobe City Apartments,N/A,"{'latitude': 40.76900100708008, 'longitude': -73.95480346679688}",N/A,https://www.super.com/travel/hotels/jKVJ78zl?utm_source=gha_vr&utm_campaign=static,N/A,2,N/A
"100% PERFECT STUDIO APARTMENT IN MIDTOWN EAST FOR AN EXTENDED STAY, 24HR DOORMEN",N/A,"{'latitude': 40.75504684448242, 'longitude': -73.97254180908203}",N/A,N/A,N/A,66,N/A
Cozy Studio,N/A,"{'latitude': 40.75499725341797, 'longitude': -73.96885681152344}",N/A,N/A,N/A,30,N/A
Live in the Heart of NYC: Studio in Midtown East The Aurora,N/A,"{'latitude': 40.747596740722656, 'longitude': -73.97714233398438}",N/A,https://whimstay.com/detail/Stunning-Condo-Elevator-Gym-AC-WiFi-Laundry/285781?isgoogle=true,N/A,18,N/A
"Cozy 2-Bedroom Apartment Suite in the Bronx, NY",N/A,"{'latitude': 40.8382453918457, 'longitude': -73.90330505371094}",N/A,https://thebestfurnished.com/product/cozy-2-bedroom-apartment-suite-in-the-bronx-ny/,N/A,N/A,N/A
